"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Dioscoreaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Robinia"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Trachycarpus"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
26643	46650	"Lago del Segrino"	45.82802	9.26482	0	"AWI"	0	-110	57	-17	0	0	0	71	11	0	2	0	16	0	0	34	0	1	1	0	16	0	0	34	13	0	0	79	0	12	0	0	0	0	0	0	6	0	46	0	0	0	0	0	0	4	7	0	0	1	0	0	1	4	0	137	0	4	0	0	0	10	241	0	4	1	53	3	0	1	0	0	0	0	7	0	0	0	2	0	0	11	4	0	0	0	11	9	0	0	2
26643	46650	"Lago del Segrino"	45.82802	9.26482	10	"AWI"	10	-67	145	32	0	0	0	67	2	0	4	1	15	0	0	34	0	1	1	0	17	0	0	28	9	0	0	56	0	15	0	0	0	0	0	0	6	0	47	0	0	0	0	0	0	2	11	0	1	2	0	0	1	5	0	141	0	7	0	0	0	6	0	0	2	0	41	3	0	0	1	0	2	24	13	0	0	0	1	0	0	6	2	0	1	1	6	11	0	0	2
26643	46650	"Lago del Segrino"	45.82802	9.26482	20	"AWI"	20	-46	259	78	1	0	0	38	10	0	5	0	10	0	0	22	0	1	0	0	30	0	0	57	14	0	0	66	0	42	0	0	0	0	0	0	5	0	17	0	0	0	0	0	0	7	5	0	1	0	0	0	0	4	0	58	0	4	0	0	0	5	353	0	3	0	28	7	0	0	0	0	2	0	10	0	0	0	1	0	0	7	1	0	0	0	6	10	0	0	1
26643	46650	"Lago del Segrino"	45.82802	9.26482	30	"AWI"	30	-16	329	130	0	0	0	74	2	0	3	0	9	0	0	18	1	0	0	0	57	0	0	38	3	0	0	82	0	25	0	0	0	7	0	3	5	0	17	1	0	0	0	4	0	9	16	0	0	0	0	0	0	12	0	59	0	2	0	0	0	9	463	0	7	0	36	0	0	0	0	0	3	24	15	2	0	0	1	7	1	1	3	0	2	0	6	13	0	1	3
26643	46650	"Lago del Segrino"	45.82802	9.26482	40	"AWI"	40	22	401	183	5	0	1	54	2	0	6	0	6	0	0	15	0	0	1	0	216	0	0	47	0	0	0	34	0	51	0	2	0	7	0	0	1	0	20	2	0	0	0	0	0	21	25	0	1	0	0	0	0	15	0	18	0	4	0	0	0	4	250	0	9	2	40	2	0	0	0	0	1	0	10	0	0	0	0	0	0	1	2	0	1	0	2	17	0	0	3
26643	46650	"Lago del Segrino"	45.82802	9.26482	50	"AWI"	50	51	478	241	0	0	0	50	4	0	4	0	9	0	0	11	1	0	0	0	263	0	0	78	0	0	0	36	1	55	0	0	0	0	0	0	3	0	13	1	0	0	0	0	0	72	12	0	0	1	0	0	0	10	0	0	2	4	0	0	0	1	158	0	2	0	73	1	0	0	0	0	3	0	16	0	0	0	1	0	1	1	0	0	0	0	4	8	0	1	3
26643	46650	"Lago del Segrino"	45.82802	9.26482	60	"AWI"	60	94	540	296	1	1	0	29	3	0	4	0	9	0	0	9	0	1	0	0	364	0	0	100	0	0	0	39	0	51	0	0	0	6	0	0	7	0	6	5	0	0	0	4	0	122	12	0	0	0	0	0	0	7	0	9	0	2	0	0	0	0	151	0	1	0	72	7	0	0	0	0	2	0	4	0	0	0	1	0	0	0	1	0	0	0	2	11	0	1	1
26643	46650	"Lago del Segrino"	45.82802	9.26482	70	"AWI"	70	124	622	349	0	0	0	30	1	0	3	0	5	0	0	5	0	1	0	0	371	0	0	81	0	0	0	38	0	48	0	0	0	3	0	0	7	0	7	1	0	0	0	0	0	138	8	0	1	0	0	0	0	3	0	7	0	1	0	0	0	1	0	0	2	0	60	1	0	0	0	0	1	0	10	0	0	0	0	0	0	0	3	0	0	0	4	11	0	0	3
26643	46650	"Lago del Segrino"	45.82802	9.26482	80	"AWI"	80	170	664	406	1	0	0	25	2	0	3	1	9	0	0	9	0	1	0	0	244	0	0	66	0	1	0	38	0	61	0	0	0	6	0	0	12	0	0	1	0	0	0	1	0	132	10	0	0	0	0	0	0	3	0	11	0	4	0	0	0	0	0	0	1	0	63	2	0	0	0	0	3	0	10	0	0	0	1	0	0	0	0	0	1	0	2	9	0	0	3
26643	46650	"Lago del Segrino"	45.82802	9.26482	90	"AWI"	90	213	727	459	0	2	0	42	3	0	5	1	12	0	0	8	0	1	0	0	32	0	0	69	0	1	0	65	0	31	0	1	0	10	0	0	12	0	12	0	0	0	0	1	0	181	1	0	0	0	0	0	0	8	0	12	0	3	0	0	0	0	0	0	0	0	84	4	0	0	0	0	1	0	23	0	0	0	2	0	1	0	0	0	0	0	5	1	0	0	7
