"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	0	"AWI"	0	-141	26	-55	0	7	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	4	0	11	0	0	0	72	65	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	4	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	6	"AWI"	6	-72	290	58	0	13	0	38	2	0	2	1	0	0	0	0	0	2	0	0	3	206	0	2	0	0	0	0	10	0	7	0	0	2	71	0	2	24	0	0	1	2	0	0	0	3	0	0	0	0	0	1	0	0	3	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	12	"AWI"	12	-21	533	177	0	5	2	0	3	0	1	0	0	0	4	0	0	1	0	0	1	455	0	0	0	0	0	0	17	0	7	0	0	0	36	38	2	64	0	0	0	2	0	0	0	4	1	0	0	0	0	3	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	18	"AWI"	18	35	640	306	0	7	0	0	1	0	3	0	0	0	2	0	5	2	0	0	2	102	0	0	0	0	0	0	19	0	3	0	0	1	36	36	3	0	4	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	24	"AWI"	24	126	746	432	0	6	0	0	1	0	2	0	0	0	0	0	0	1	0	0	2	51	0	0	0	0	0	0	13	0	6	1	0	0	46	23	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	1	0	0	0	1
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	30	"AWI"	30	207	866	570	2	9	1	0	2	0	4	0	0	0	2	0	0	3	0	0	1	206	0	0	0	0	0	0	26	0	5	0	0	0	59	0	4	24	0	0	0	4	0	0	2	2	5	0	0	1	0	1	0	0	1	1
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	36	"AWI"	36	361	924	692	0	9	0	0	1	0	9	0	0	0	4	0	0	2	0	0	3	286	0	0	0	0	0	0	0	0	9	0	2	0	59	0	0	41	0	0	0	4	0	0	0	4	1	0	0	0	0	3	0	0	2	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	42	"AWI"	42	548	1009	818	0	59	0	0	3	0	3	0	0	0	0	0	0	3	0	0	2	6	0	0	3	0	0	0	0	0	3	0	2	0	63	0	0	18	0	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	48	"AWI"	48	810	1114	948	0	6	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	1	2	0	0	0	14	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	54	"AWI"	54	979	1676	1246	1	39	0	0	6	0	8	0	0	0	0	0	0	3	0	0	5	14	0	0	4	0	0	0	0	0	10	1	0	0	85	0	3	0	0	0	0	9	0	0	0	4	5	1	0	0	1	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	60	"AWI"	60	1061	2636	1591	0	24	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	6	0	0	0	69	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	66	"AWI"	66	1298	3040	2067	0	22	0	0	1	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	67	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	1	0	0
