"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	47	"AWI"	47	198	482	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	181	"AWI"	181	1069	1283	1189	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	45	"AWI"	45	180	473	341	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	7	0	0	0	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	225	"AWI"	225	1400	1677	1545	0	301	4	0	0	0	0	54	0	0	0	0	0	0	0	69	10	0	0	50	0	0	0	0	0	0	0	0	0	0	16	2	40	0	0	0	0	42	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	357	"AWI"	357	2409	2666	2587	0	250	4	0	0	0	0	188	0	0	0	0	0	0	0	47	53	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	24	0	0	0	1	5	0	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	19	"AWI"	19	-3	258	113	0	2	4	0	0	0	0	4	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	301	"AWI"	301	1977	2244	2116	1	170	0	0	0	0	0	217	0	0	0	0	0	0	0	27	10	0	0	24	0	0	0	0	0	0	0	0	0	0	4	0	44	0	0	0	0	40	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	209	"AWI"	209	1266	1539	1406	1	196	13	0	0	0	0	65	0	0	0	0	0	0	0	79	13	0	0	99	0	0	0	0	0	0	0	0	0	0	40	6	64	0	0	0	0	36	0	0	0	0	0	0	0	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	281	"AWI"	281	1816	2114	1968	0	290	4	0	0	0	0	92	0	0	0	0	0	0	0	45	9	0	0	36	0	0	0	0	0	0	0	0	0	0	7	1	49	0	0	0	0	22	0	0	0	0	0	0	1	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	233	"AWI"	233	1459	1736	1608	0	174	5	0	0	0	0	84	0	0	0	0	0	0	0	86	18	0	0	106	0	0	0	0	0	0	0	0	0	0	11	1	104	0	0	0	0	18	0	0	0	0	0	0	0	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	35	"AWI"	35	104	399	250	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	0	1	1	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	23	"AWI"	23	25	294	148	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	28	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	52	0	7	0	0	1	0	0	0	0	0	0	1	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	89	"AWI"	89	486	722	621	0	15	1	0	0	1	0	21	0	0	0	0	0	0	0	14	7	0	0	39	0	0	1	0	0	0	0	0	0	0	7	0	37	0	0	0	0	19	0	0	0	0	2	0	0	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	257	"AWI"	257	1638	1939	1788	0	288	4	0	0	0	0	93	0	0	0	0	0	0	0	83	15	0	0	36	0	0	0	0	0	0	0	0	0	0	7	4	31	0	0	0	0	38	0	0	0	0	0	0	0	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	241	"AWI"	241	1518	1810	1668	0	289	2	0	0	0	0	48	0	0	0	0	0	0	0	71	10	0	0	63	0	0	0	0	0	0	0	0	0	0	14	0	23	0	0	0	0	58	0	0	0	0	0	0	2	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	345	"AWI"	345	2313	2591	2474	1	215	4	0	0	0	0	160	0	0	0	0	0	0	0	50	3	0	0	14	0	0	0	0	0	0	0	3	0	0	0	2	118	0	0	0	0	9	0	0	0	0	0	0	1	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	325	"AWI"	325	2160	2404	2299	0	145	3	1	0	0	0	201	0	0	0	0	0	0	0	37	15	0	0	14	0	0	0	0	0	0	0	0	0	0	2	1	92	0	0	0	0	44	0	0	0	0	0	0	0	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	153	"AWI"	153	904	1111	1015	0	252	3	0	0	0	0	53	0	0	0	0	0	0	0	53	26	0	0	74	0	0	0	0	0	0	0	1	0	0	15	2	44	7	41	0	0	60	0	0	0	0	2	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	173	"AWI"	173	1026	1236	1137	0	96	2	0	0	0	0	38	0	0	0	0	0	0	0	15	5	0	0	66	0	1	0	0	0	0	0	0	0	0	13	1	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	53	"AWI"	53	241	520	415	0	6	2	0	0	2	0	10	0	0	0	1	0	0	0	5	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	18	0	0	2	0	0	0	0	8	1	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	337	"AWI"	337	2253	2522	2402	1	220	1	2	0	0	0	189	0	1	0	0	0	0	0	29	22	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	43	0	0	0	0	5	0	0	0	0
