"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1398	1434	"Kalsa Mire"	58.19142	27.41146	3	"AWI"	3	-113	65	-16	0	19.8324022346369	1.39664804469274	0	1.39664804469274	0	0	0	0	0	0.558659217877095	0.837988826815642	13.4078212290503	0	0	0	0	0	8.93854748603352	38.268156424581	0	10.8938547486034	0.558659217877095	0	0	0	2.23463687150838	0.837988826815642	0	0	0.279329608938547	0.558659217877095
1398	1434	"Kalsa Mire"	58.19142	27.41146	8	"AWI"	8	-95	127	12	0	11.2211221122112	0.33003300330033	0	0.66006600660066	0	0	0.33003300330033	0	0	0.66006600660066	0	7.92079207920792	0	0	0	0	0	5.94059405940594	63.6963696369637	0	5.94059405940594	0	0	1.32013201320132	0	1.65016501650165	0	0	0.33003300330033	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	10	"AWI"	10	-89	156	23	0	18.0904522613065	1.00502512562814	0.251256281407035	1.00502512562814	0	0	0.50251256281407	0	0	0.251256281407035	1.00502512562814	4.02010050251256	0	0	0	0	0	6.28140703517588	60.0502512562814	0	5.52763819095477	0	0	0	0.251256281407035	0.753768844221105	0.50251256281407	0	0.50251256281407	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	14	"AWI"	14	-64	176	47	0	14.957264957265	0	0	0.427350427350427	0	0	0	0	0	0	1.28205128205128	11.5384615384615	0	0	0	0	0	3.41880341880342	55.5555555555556	0.854700854700855	6.41025641025641	0	0	0	0	5.12820512820513	0	0	0	0	0.427350427350427
1398	1434	"Kalsa Mire"	58.19142	27.41146	16	"AWI"	16	-55	191	60	0	12.75	0.75	0	1.25	1	0	0	0	0	0.5	2.75	8.75	0.25	0	0	0	0	8.5	53	0	8.75	0.25	0	0	0	1.25	0.25	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	18	"AWI"	18	-48	211	71	0	12.7371273712737	0.2710027100271	0	0.5420054200542	0	0	0	0	0	0.813008130081301	2.1680216802168	9.21409214092141	0	0	0	0	0.5420054200542	6.23306233062331	52.0325203252033	0	11.1111111111111	0.2710027100271	0.5420054200542	0	0	2.9810298102981	0	0	0	0	0.5420054200542
1398	1434	"Kalsa Mire"	58.19142	27.41146	26	"AWI"	26	-10	269	119	0	8.99470899470899	0.264550264550265	0	1.05820105820106	0	0	0	0	0	0.529100529100529	1.05820105820106	7.67195767195767	0	0	0	0	0	18.5185185185185	52.1164021164021	0	5.82010582010582	0.264550264550265	0	0.529100529100529	0	2.38095238095238	0.264550264550265	0	0	0.529100529100529	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	31	"AWI"	31	14	308	148	0	11.1111111111111	0	0.444444444444444	1.77777777777778	0	0	0	0	0	0	0.888888888888889	8.88888888888889	0	0	0	0	0	10.2222222222222	46.2222222222222	0	12.4444444444444	1.33333333333333	0	0	0	5.33333333333333	0.888888888888889	0	0	0	0.444444444444444
1398	1434	"Kalsa Mire"	58.19142	27.41146	36	"AWI"	36	41	331	181	0	16.8044077134986	0.275482093663912	0	1.37741046831956	0	0	0	0	0	0.275482093663912	1.37741046831956	13.2231404958678	0.275482093663912	0	0	0	0.275482093663912	2.75482093663912	41.5977961432507	0	15.1515151515152	0.826446280991736	0	1.10192837465565	0.275482093663912	2.75482093663912	0.826446280991736	0	0	0	0.826446280991736
1398	1434	"Kalsa Mire"	58.19142	27.41146	41	"AWI"	41	64	363	211	0	27.0618556701031	0.515463917525773	0	0.77319587628866	0	0	0	0	0	0.257731958762887	1.54639175257732	6.70103092783505	0	0	0.515463917525773	0	0	8.50515463917526	30.1546391752577	0	10.0515463917526	0.515463917525773	0	0	0	1.03092783505155	1.03092783505155	10.5670103092784	0.257731958762887	0	0.515463917525773
