"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13430	20131	"Mekelermeer"	52.770122	6.62688	36	"AWI"	36	-137	28	-52	0	4.76190476190476	0.529100529100529	0	0	0.529100529100529	0	32.8042328042328	0	0	0	0.529100529100529	0	1.05820105820106	26.4550264550265	0	0	0	1.05820105820106	0	0	0	0	0	0	0	0	0	9.52380952380952	0	0	0	0	0	2.11640211640212	0	0	0	1.58730158730159	19.047619047619	0	0	0	0	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	38	"AWI"	38	-98	160	5	0.578034682080925	2.3121387283237	0	0	0	0	0	35.8381502890173	0	0	0	0	0	0	32.9479768786127	0	0	0	0.578034682080925	0	0	0	0	0	0.578034682080925	0	0	0	6.9364161849711	0	0	0	0	0	4.6242774566474	0	0	0	4.04624277456647	10.4046242774566	0	0	0	0.578034682080925	0.578034682080925	0
13430	20131	"Mekelermeer"	52.770122	6.62688	39	"AWI"	39	-87	252	31	0	5.19480519480519	2.5974025974026	0	0	0	0	9.09090909090909	0	0	0	0	0	0	37.6623376623377	0	0	0	1.2987012987013	0.649350649350649	0	0	0	0	0	0	0.649350649350649	0	6.49350649350649	0	0	0	0	0	4.54545454545455	0	0	0	3.8961038961039	27.9220779220779	0	0	0	0	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	41	"AWI"	41	-72	445	84	0	26.4864864864865	1.08108108108108	0.540540540540541	0	0	0	16.2162162162162	0.540540540540541	0	0	0	0	6.48648648648649	10.8108108108108	0	0	0	6.48648648648649	1.08108108108108	0	0	0	0	1.08108108108108	0	2.16216216216216	0	10.8108108108108	0	0	0	0.540540540540541	0	7.56756756756757	0	0	0	5.94594594594595	0.540540540540541	0	0	1.08108108108108	0.540540540540541	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	42	"AWI"	42	-65	548	109	0	30.1204819277108	1.80722891566265	0.602409638554217	0	1.20481927710843	0	12.6506024096386	0	0	0	0	0	6.62650602409639	8.43373493975904	0	0	0	4.81927710843374	1.20481927710843	0	0	0	0	0	0	3.01204819277108	0	7.83132530120482	0	0	0	1.20481927710843	0	9.63855421686747	0	0	0	10.2409638554217	0	0	0	0	0.602409638554217	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	44	"AWI"	44	-56	739	160	0	30	1.66666666666667	0	0	0	0	14.4444444444444	0	0	0	0	0	9.44444444444444	7.77777777777778	0	0	0	3.88888888888889	0	0	0	0	0	0.555555555555556	0	0.555555555555556	0	9.44444444444444	0	0	0	0.555555555555556	0	9.44444444444444	0	0	0	11.1111111111111	0.555555555555556	0	0	0	0	0.555555555555556	0
13430	20131	"Mekelermeer"	52.770122	6.62688	46	"AWI"	46	-46	938	210	0	20.2479338842975	0.413223140495868	0	0	0	0	10.3305785123967	0	0	0	0	0	5.78512396694215	4.13223140495868	0	0	0	5.78512396694215	0	0	0.413223140495868	0	0	0	0	0.413223140495868	0	4.54545454545455	0	30.9917355371901	0	0.413223140495868	0	9.50413223140496	0	0	0	2.89256198347107	2.47933884297521	0	0	0.413223140495868	0.826446280991736	0.413223140495868	0
13430	20131	"Mekelermeer"	52.770122	6.62688	48	"AWI"	48	-39	1133	261	0	31.3953488372093	0.581395348837209	0	0	0	0	13.953488372093	0	0	0	0	0	6.97674418604651	8.13953488372093	0	0	0	5.23255813953488	0	0	0	0	0	1.16279069767442	0	0	0	7.55813953488372	0	0	0	0	0	15.6976744186047	0	0	0	8.13953488372093	1.16279069767442	0	0	0	0	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	50	"AWI"	50	-31	1328	313	0	25.6944444444444	0.694444444444444	0.694444444444444	0	0.694444444444444	0	13.1944444444444	0	0	0	0	0	12.5	7.63888888888889	0	0	0	4.86111111111111	0	0	0	0	0	2.77777777777778	0	1.38888888888889	0	2.08333333333333	0	0	0	0	0	20.8333333333333	0	0	0	5.55555555555556	0.694444444444444	0	0	0.694444444444444	0	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	52	"AWI"	52	7	1389	382	0	33.7748344370861	0	0	0	0	0	13.9072847682119	0	0	0	0.662251655629139	0	9.93377483443709	5.96026490066225	0	0	0	7.28476821192053	0	0	0	0	0	0	0.662251655629139	1.32450331125828	0	3.3112582781457	0	0	0	0	1.32450331125828	17.2185430463576	0	0	0	3.97350993377483	0	0	0	0.662251655629139	0	0	0
