"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	10	"AWI"	10	-68	212	43	0.3584229390681	0	13.0824372759857	0.17921146953405	0	0	0	0	0	0.716845878136201	0.3584229390681	0.3584229390681	1.7921146953405	0	0	2.8673835125448	0	1.25448028673835	0	63.0824372759857	0	0	0	0	0	0.537634408602151	0	0.17921146953405	0.17921146953405	0	0.17921146953405	0	0	0	0	3.2258064516129	3.584229390681	0	0	0	0	0	2.32974910394265	0.17921146953405	0.537634408602151	0	2.32974910394265	0.716845878136201	0	0.537634408602151	0	0.537634408602151	0.896057347670251	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	30	"AWI"	30	1	498	181	0.625	0.25	14.25	0.75	0	0	0	0.75	0	1.25	1.375	0.5	3.625	0	0	2	0	0.625	0	58.5	0	0	0	0	0.125	0.875	0	0.125	0.875	0.25	0.125	0	0	0	0	3.25	5	0	0	0	0	0.5	0.25	0.375	0	0.125	1.625	0.125	0.25	0.125	0	0.25	1.25	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	50	"AWI"	50	84	708	323	1.48367952522255	0.29673590504451	25.5192878338279	1.18694362017804	0	0	0	1.78041543026706	0	2.07715133531157	0.890207715133531	2.07715133531157	2.37388724035608	0	0	2.37388724035608	0	1.18694362017804	0	31.4540059347181	0	0	0	0	0.29673590504451	2.07715133531157	0	0.29673590504451	0.29673590504451	0.593471810089021	0	0	0	0	0	4.45103857566766	6.52818991097923	0	0	0	0	0.890207715133531	0.593471810089021	1.18694362017804	0	0.890207715133531	6.52818991097923	0.29673590504451	0	0.593471810089021	0	0.593471810089021	0.890207715133531	0.29673590504451	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	70	"AWI"	70	189	899	476	0.713153724247227	0.0792393026941363	9.8256735340729	0.158478605388273	0	0	0	1.03011093502377	0	0.316957210776545	0.158478605388273	0.237717908082409	0.237717908082409	0	0	0.396196513470681	0	0.792393026941363	0	76.5451664025357	0	0	0	0	0.158478605388273	0.396196513470681	0	0.0792393026941363	0	0.158478605388273	0.0792393026941363	0	0	0	0	2.45641838351822	3.01109350237718	0	0	0.158478605388273	0	0.554675118858954	0	0	0	0.0792393026941363	1.66402535657686	0.0792393026941363	0.158478605388273	0.316957210776545	0	0.0792393026941363	0.0792393026941363	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	90	"AWI"	90	298	1091	629	3.47222222222222	0.462962962962963	28.7037037037037	1.38888888888889	0	0	0	2.5462962962963	0	0.462962962962963	0	0.231481481481481	0.231481481481481	0	0	1.38888888888889	0	2.08333333333333	0	29.1666666666667	0	0	0	0	0.231481481481481	2.08333333333333	0	0.462962962962963	0.231481481481481	0	0.231481481481481	0	0	0	0	9.25925925925926	6.71296296296296	1.85185185185185	0	0	0	1.62037037037037	0.231481481481481	0.231481481481481	0	0.462962962962963	4.39814814814815	0	0.231481481481481	0.231481481481481	0	0.694444444444444	0.694444444444444	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	110	"AWI"	110	432	1257	780	3.33333333333333	0	37.6811594202899	0	0.289855072463768	0	0	0.72463768115942	0	0.72463768115942	0.144927536231884	0.144927536231884	0	0	0	0	0	0.869565217391304	0	34.3478260869565	0	0	0	0	0	0.72463768115942	0	0.144927536231884	0	0	0	0	0.144927536231884	0	0	7.97101449275362	8.55072463768116	0	0	0.144927536231884	0	0.434782608695652	0.289855072463768	0	0	0	1.73913043478261	0.434782608695652	0	0.144927536231884	0	1.01449275362319	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	130	"AWI"	130	579	1444	936	1.92307692307692	0.0874125874125874	26.8356643356643	0	4.02097902097902	0	0	0	0	1.13636363636364	0.174825174825175	0.0874125874125874	0	0	0	0.0874125874125874	0	1.48601398601399	0	53.0594405594406	0	0	0	0	0	0.437062937062937	0	0.0874125874125874	0	0	0	0	0.174825174825175	0	0	3.67132867132867	3.93356643356643	0	0	0	0	0.611888111888112	0.262237762237762	0	0	0.174825174825175	0.786713286713287	0.174825174825175	0	0	0	0.611888111888112	0.174825174825175	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	150	"AWI"	150	736	1656	1089	2.01342281879195	0.335570469798658	27.4049217002237	0	4.02684563758389	0	0	0.111856823266219	0	0.559284116331096	0	0.335570469798658	0	0	0	0.111856823266219	0	0.894854586129754	0	42.1700223713647	0	0	0	0	0	0.559284116331096	0	0.111856823266219	0	0.111856823266219	0	0	0	0	0	6.15212527964206	3.57941834451902	0	0	0	0	0.335570469798658	0.335570469798658	0	0	0	10.0671140939597	0	0.111856823266219	0.223713646532438	0	0.447427293064877	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	170	"AWI"	170	911	1855	1231	2.35294117647059	0.352941176470588	22.7058823529412	0.352941176470588	0	0	0	0.705882352941177	0	1.41176470588235	0.117647058823529	0.235294117647059	0	0	0	0	0	2.23529411764706	0	52.5882352941176	0	0	0	0	0	0.823529411764706	0.117647058823529	0	0	0	0	0	0	0	0	6.35294117647059	4.94117647058823	0	0	0	0	1.05882352941176	0.588235294117647	0	0	0	2.58823529411765	0	0	0.117647058823529	0	0.352941176470588	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	180	"AWI"	180	981	1943	1304	2.62891809908999	0	19.5146612740142	0.101112234580384	0.404448938321537	0	0	0.101112234580384	0	0.808897876643074	0	0.202224469160768	0	0	0	0	0	1.41557128412538	0	66.6329625884732	0	0	0	0	0	0.101112234580384	0	0	0	0	0	0	0	0	0	4.75227502527806	0	0	0	0	0	0.808897876643074	0.202224469160768	0	0	0	2.22446916076845	0.101112234580384	0	0	0	0	0	0	0
