"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Lamiaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
14549	22805	"Les Palanques"	42.16222	2.43806	9	"AWI"	9	-89	237	25	0	0	0	4	0	0	9.33333333333333	0.666666666666667	0	0	0.666666666666667	0	0	0	0.666666666666667	0	0	2.66666666666667	0	0.666666666666667	34.6666666666667	1.33333333333333	34.6666666666667	0	9.33333333333333	0	0.666666666666667	0	0.666666666666667	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	15	"AWI"	15	-52	327	90	0	0	0	1.55038759689922	0.775193798449612	0	17.8294573643411	0	0	0	0	0	0	0	0	0	0	0	0	0.775193798449612	42.6356589147287	0.775193798449612	29.4573643410853	1.55038759689922	4.65116279069767	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	26	"AWI"	26	13	508	202	0	0	3.2258064516129	9.67741935483871	3.2258064516129	0	54.8387096774194	0	0	0	0	0	0	0	3.2258064516129	0	0	0	0	3.2258064516129	12.9032258064516	0	0	0	9.67741935483871	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	43	"AWI"	43	128	744	385	2.38095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.6190476190476	0	0	0	0	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	52	"AWI"	52	193	865	479	3.7037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.5925925925926	0	0	3.7037037037037	0	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	60	"AWI"	60	253	974	567	0	0	0	0	2.12765957446809	0	12.7659574468085	0	0	0	0	0	0	0	2.12765957446809	0	0	0	0	0	63.8297872340426	0	0	2.12765957446809	14.8936170212766	2.12765957446809	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	69	"AWI"	69	327	1070	663	4	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	72	0	0	0	8	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	78	"AWI"	78	401	1175	758	0	0	0	0	0	0	0	0	0	0	0	4.76190476190476	0	0	28.5714285714286	0	0	0	0	0	52.3809523809524	0	0	0	9.52380952380952	4.76190476190476	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	87	"AWI"	87	478	1276	854	0	0	1.92307692307692	0	0	3.84615384615385	0	0	0	0	3.84615384615385	1.92307692307692	0	0	34.6153846153846	1.92307692307692	0	0	0	1.92307692307692	34.6153846153846	0	0	0	7.69230769230769	0	7.69230769230769	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	95	"AWI"	95	553	1360	936	0	0	0	2.12765957446809	0	2.12765957446809	0	2.12765957446809	0	0	0	2.12765957446809	8.51063829787234	0	4.25531914893617	0	0	0	0	0	70.2127659574468	2.12765957446809	0	0	6.38297872340426	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	109	"AWI"	109	677	1533	1080	2.1505376344086	0	4.3010752688172	0	0	0	5.37634408602151	0	0	0	0	0	6.45161290322581	1.0752688172043	4.3010752688172	0	0	0	0	1.0752688172043	72.0430107526882	1.0752688172043	0	1.0752688172043	1.0752688172043	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	117	"AWI"	117	751	1617	1166	2.42914979757085	0	10.1214574898785	0.404858299595142	0	0	6.88259109311741	0	0	0	0.404858299595142	0.404858299595142	55.0607287449393	0.404858299595142	1.21457489878543	0	0	0	0	0	17.4089068825911	0.404858299595142	3.64372469635628	0.404858299595142	0.809716599190283	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	130	"AWI"	130	873	1748	1306	4.08163265306122	0	0	0	0	0	9.18367346938776	0	0	0	0	1.02040816326531	64.2857142857143	0	0	0	0	0	0	0	19.3877551020408	1.02040816326531	0	0	0	0	1.02040816326531	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	140	"AWI"	140	975	1853	1414	5.88235294117647	0	1.47058823529412	1.47058823529412	1.47058823529412	0	0	0	0	0	0	1.47058823529412	19.1176470588235	0	4.41176470588235	0	1.47058823529412	0	0	0	61.7647058823529	0	0	1.47058823529412	0	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	168	"AWI"	168	1284	2124	1709	3.125	0	1.5625	0.78125	1.5625	0.78125	0	0	0	0	0	5.46875	38.28125	0	20.3125	0	0.78125	0	0	0	18.75	1.5625	0	0	6.25	0	0.78125	0	0	0	0
