"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cercis"	"Cistaceae"	"Cornus"	"Corylus"	"Cotinus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Paliurus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Vitex"
15829	24358	"Litochoro"	40.13889	22.54611	0	"AWI"	0	-118	46	-29	1.14942528735632	0	8.62068965517241	20.1149425287356	0.574712643678161	0	0	0	1.14942528735632	0	0	0	0	1.14942528735632	0	0	0	0	0	0	0	0	0	0	0	6.89655172413793	0	0	0	0.574712643678161	0	0	0	0	0	0	2.29885057471264	0	0	0	0	0	0	37.9310344827586	0	0	0	5.17241379310345	0	4.59770114942529	1.14942528735632	0	0	0	0	0	8.62068965517241	0	0	0	0	0	0	0	0
15829	24358	"Litochoro"	40.13889	22.54611	10	"AWI"	10	-83	129	12	1.36986301369863	0	13.6986301369863	18.4931506849315	0.684931506849315	0	0	0	1.36986301369863	0	0	0	0	2.05479452054794	0	0	0	0	0	0	0	0	0	0.684931506849315	0	6.16438356164384	0	0	0	0	0	0	0	0.684931506849315	0	0	2.05479452054794	0	0	0	0	0	0	45.8904109589041	0	0	0	0	0.684931506849315	0	2.05479452054794	0	0	0	1.36986301369863	0	2.73972602739726	0	0	0	0	0	0	0	0
15829	24358	"Litochoro"	40.13889	22.54611	20	"AWI"	20	-66	249	49	1.65289256198347	0	18.1818181818182	11.5702479338843	0	0	0	0	1.65289256198347	0	0	0	0	0	0	0	0	0	0	0.826446280991736	0	0	0	0.826446280991736	0	2.47933884297521	0	0	0	0	0	0	0	0	0	0	0.826446280991736	0	0	0	0	0	0	53.7190082644628	0	0	0	0	0.826446280991736	0	3.30578512396694	0	0.826446280991736	0	0	0	3.30578512396694	0	0	0	0	0	0	0	0
15829	24358	"Litochoro"	40.13889	22.54611	30	"AWI"	30	-32	317	95	1.875	0	14.375	6.875	0.625	0	1.25	0	2.5	0	0	0	0	1.875	0	0	0	0	0	0	0	0	0	0.625	0	2.5	0	0	0	0.625	4.375	0	0	1.25	1.875	0	2.5	0	0	0	0	0	0	31.25	0	1.25	0	5	0	0	3.125	0	0	0	1.25	0	13.125	0	0.625	0	0	0	0.625	0.625	0
15829	24358	"Litochoro"	40.13889	22.54611	40	"AWI"	40	-10	395	140	2.03045685279188	0	20.0507614213198	4.56852791878173	0	0	0	0	1.01522842639594	0	0	0	0	2.28426395939086	0	0	0	0	0	0.253807106598985	0	0	0	0.761421319796954	0	6.5989847715736	0	0	0	1.77664974619289	3.2994923857868	0	0	1.01522842639594	0.761421319796954	0	3.55329949238579	0	0	0	0	0.50761421319797	0	18.0203045685279	0.253807106598985	1.26903553299492	0.253807106598985	4.56852791878173	0.761421319796954	4.31472081218274	3.80710659898477	0.50761421319797	1.52284263959391	0	1.52284263959391	0	13.7055837563452	0	0	0	0.761421319796954	0	0	0.253807106598985	0
15829	24358	"Litochoro"	40.13889	22.54611	50	"AWI"	50	17	456	185	0.950118764845606	0	52.2565320665083	1.66270783847981	0	0	0	0	0.950118764845606	0	0	0	0	1.66270783847981	0	0	0	0	0	0	0	0	0	0.712589073634204	0	3.08788598574822	0	0	0	0.712589073634204	2.37529691211401	0	0	0.475059382422803	1.42517814726841	0	1.66270783847981	0	0	2.61282660332542	0	0	0	12.5890736342043	0.237529691211401	1.42517814726841	0	5.93824228028503	0.237529691211401	0	1.66270783847981	0	2.13776722090261	0	0	0	4.51306413301663	0	0	0	0	0	0	0.712589073634204	0
15829	24358	"Litochoro"	40.13889	22.54611	60	"AWI"	60	45	510	233	0.702576112412178	0	33.9578454332553	2.10772833723653	0.702576112412178	0	0	0	1.40515222482436	0	0	0	0	0.936768149882904	0	0	0.234192037470726	0	0	0.936768149882904	0	0	0	1.17096018735363	0	3.74707259953162	0	0	0	1.63934426229508	2.10772833723653	0	0	0.702576112412178	1.63934426229508	0	0.936768149882904	0	0	1.87353629976581	0	0.234192037470726	0	14.2857142857143	0	1.40515222482436	0.468384074941452	8.89929742388759	0.468384074941452	3.51288056206089	2.81030444964871	0	1.63934426229508	0	0.234192037470726	0	9.36768149882904	0	0.234192037470726	0	0.702576112412178	0	0	0.936768149882904	0
15829	24358	"Litochoro"	40.13889	22.54611	70	"AWI"	70	72	576	279	0.802139037433155	0	45.4545454545455	1.60427807486631	0.53475935828877	0	0.53475935828877	0	0.802139037433155	0	0	0	0	1.06951871657754	0	0	0	0	0	0.53475935828877	0	0	0	1.33689839572193	0	4.81283422459893	0	0	0	0.802139037433155	0	0	0	1.33689839572193	2.67379679144385	0	1.06951871657754	0	0	0	0	0	0	12.0320855614973	0.267379679144385	0.802139037433155	0	4.81283422459893	0	1.60427807486631	1.06951871657754	0	7.75401069518717	0	0	0	6.68449197860963	0	0	0	0.53475935828877	0	0	1.06951871657754	0
15829	24358	"Litochoro"	40.13889	22.54611	80	"AWI"	80	112	625	327	0	0	56.5349544072948	1.82370820668693	0	0	0.60790273556231	0	1.82370820668693	0	0	0	0	1.51975683890578	0	0	0	0	0	0.303951367781155	0	0	0	2.12765957446809	0	3.64741641337386	0	0	0	0.60790273556231	2.43161094224924	0.303951367781155	0	0.911854103343465	0.60790273556231	0	1.82370820668693	0	0	0.911854103343465	0	0	0	8.20668693009119	0.303951367781155	1.51975683890578	0	0	0.303951367781155	0	3.03951367781155	0	0.911854103343465	0	0.303951367781155	0	8.51063829787234	0	0	0	0.60790273556231	0	0	0.303951367781155	0
15829	24358	"Litochoro"	40.13889	22.54611	90	"AWI"	90	137	695	374	0.520833333333333	0	66.40625	0.520833333333333	0	0	0.260416666666667	0	1.82291666666667	0	0	0	0	1.30208333333333	0	0	0	0	0	0	0	0	0	0.78125	0	3.90625	0	0	0	0.520833333333333	2.08333333333333	0	0	0	0.260416666666667	0	0.78125	0	0	0	0	0	0	8.85416666666667	0.260416666666667	0.520833333333333	0	0	0	0	1.5625	0	0	0	0.520833333333333	0	8.33333333333333	0	0	0	0.520833333333333	0	0	0.260416666666667	0
