"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16096	24852	"Marais de Méron"	47.38056	-1.12333	8	"AWI"	8	-85	229	25	0	0.638977635782748	0.638977635782748	19.1693290734824	0.638977635782748	0.638977635782748	0	0	0.638977635782748	0	3.19488817891374	0	0	0	0	0.638977635782748	0.319488817891374	0	0	0	0.638977635782748	0	0.958466453674121	1.2779552715655	0	0	0	0.958466453674121	0.638977635782748	0	0	0	0	0	0.958466453674121	0	1.2779552715655	0.638977635782748	0	0	0	0	0	0	0.958466453674121	0.638977635782748	0	40.2555910543131	1.91693290734824	0	0	0.638977635782748	1.59744408945687	0	14.0575079872204	0	0	0	0.958466453674121	3.19488817891374	0	0	0	0	0	0	0.638977635782748	0.638977635782748	0	0	0	0.638977635782748
16096	24852	"Marais de Méron"	47.38056	-1.12333	10	"AWI"	10	-78	298	43	0	1.22137404580153	0.305343511450382	30.6870229007634	0	0	0	0	1.22137404580153	0	3.05343511450382	0	0	0	0	0	0.916030534351145	0	0	0	0.305343511450382	0	0.152671755725191	0.305343511450382	0	0	0	0.152671755725191	0	0	0	0	0.152671755725191	0	0	0	0	0	0	0	0	0	0	0	0.152671755725191	1.83206106870229	0	0	0	0	0	0.152671755725191	3.20610687022901	0	49.4656488549618	0	0.610687022900763	0.152671755725191	0	3.3587786259542	0	0	0	1.52671755725191	0	0.152671755725191	0	0.610687022900763	0	0.305343511450382	0	0
16096	24852	"Marais de Méron"	47.38056	-1.12333	13	"AWI"	13	-52	334	80	0	0.993377483443709	0	32.4503311258278	0	0	0	0	0.662251655629139	0	1.65562913907285	0	0	0	0	0	0	0	0	0	0.993377483443709	0	0.662251655629139	1.32450331125828	0	0	0	0.662251655629139	0.662251655629139	0	0	0	0	0	0.993377483443709	0	0.662251655629139	0.993377483443709	0	0	0	0	0	0	0.662251655629139	0.662251655629139	0	28.8079470198675	1.98675496688742	0	0	0.33112582781457	2.64900662251656	0	17.5496688741722	0	0	0	0	0.993377483443709	0	0	0	0.33112582781457	0	0	0.662251655629139	1.65562913907285	0.33112582781457	0	0	0.662251655629139
16096	24852	"Marais de Méron"	47.38056	-1.12333	16	"AWI"	16	-36	379	116	0	1.9774011299435	0.847457627118644	41.2429378531073	0	0	0	0	0.564971751412429	0	0.564971751412429	0	0	0.847457627118644	0	0	0.847457627118644	0	0	0	0.282485875706215	0	4.23728813559322	0	0	0	0	0.282485875706215	0	0	0	0	0.282485875706215	0	0.564971751412429	0	0	0	0	0	0.282485875706215	0	0	0	0	1.12994350282486	0	0	0	0	0	0	6.49717514124294	0	33.0508474576271	0	0	0.282485875706215	0	3.95480225988701	0	0	0	0.564971751412429	0	0	0	1.41242937853107	0	0.282485875706215	0	0
16096	24852	"Marais de Méron"	47.38056	-1.12333	20	"AWI"	20	-18	460	159	0	5.3125	0.9375	44.6875	0	0.3125	0	0	0.9375	0	0.625	0	0	0.3125	0	0.3125	1.875	0	0	0	0.9375	0	8.75	0	0	0	0	0.3125	0	0	0	0	0.3125	0	0.3125	0	0	0	0	0	0.3125	0	0	0	0	0.3125	0	0	0	0	0	0.625	9.6875	0	14.375	0	0	1.25	0	4.0625	0	0	0	0.625	0	0	0	1.5625	0.3125	0.625	0	0.3125
16096	24852	"Marais de Méron"	47.38056	-1.12333	24	"AWI"	24	19	505	210	0	6.34920634920635	1.05820105820106	14.8148148148148	0.529100529100529	1.05820105820106	0	0	1.05820105820106	0	1.58730158730159	0	0	1.58730158730159	0	1.05820105820106	0.529100529100529	0	0	0	7.40740740740741	0	6.87830687830688	3.7037037037037	0	0	0	1.58730158730159	0.529100529100529	0	0	0	0	0	1.58730158730159	0	5.82010582010582	0.529100529100529	0	0	0	0	0	0	0	1.05820105820106	0	0	7.93650793650794	0	0	0	6.87830687830688	0	17.989417989418	0	0	0.529100529100529	2.11640211640212	0	0	0	0	1.05820105820106	0	1.05820105820106	0.529100529100529	0.529100529100529	0	0	0	2.64550264550265
16096	24852	"Marais de Méron"	47.38056	-1.12333	28	"AWI"	28	44	561	257	1.08695652173913	1.08695652173913	3.26086956521739	16.304347826087	0	1.08695652173913	0	19.0217391304348	0.543478260869565	1.08695652173913	0.543478260869565	0	0	2.17391304347826	0	1.08695652173913	0	0	0	0	1.08695652173913	0	9.23913043478261	2.71739130434783	0	0	0	1.08695652173913	0	0	0	0	0.543478260869565	0	1.6304347826087	0	9.23913043478261	0	0.543478260869565	0	0	0	0	0	0	1.08695652173913	0	0	4.34782608695652	0.543478260869565	0	0	2.71739130434783	0	7.60869565217391	0	0	0	4.89130434782609	0	0	0.543478260869565	0	1.08695652173913	0	1.08695652173913	0.543478260869565	1.08695652173913	0	0	0	1.08695652173913
16096	24852	"Marais de Méron"	47.38056	-1.12333	32	"AWI"	32	79	614	302	0	2.25988700564972	1.9774011299435	11.2994350282486	0.282485875706215	0.282485875706215	0	14.1242937853107	0.847457627118644	0	0.564971751412429	0	0	1.12994350282486	0	0.282485875706215	0.847457627118644	0	0	0	1.69491525423729	0	38.7005649717514	0.564971751412429	0	0	0	0.282485875706215	0.564971751412429	0	0	0	0	0	0.847457627118644	0	0	0	0.282485875706215	0	0	0	0	0	0.282485875706215	0.847457627118644	0	0	0	0	0	0	13.5593220338983	0	1.41242937853107	0	1.69491525423729	0.282485875706215	0	1.12994350282486	0	0	0	1.12994350282486	0	0.282485875706215	0	1.41242937853107	0.564971751412429	0.564971751412429	0	0
16096	24852	"Marais de Méron"	47.38056	-1.12333	35	"AWI"	35	100	651	339	0.980392156862745	3.92156862745098	1.96078431372549	15.6862745098039	1.96078431372549	0.980392156862745	0	0	0.980392156862745	0	0	0	0	2.94117647058824	0	1.96078431372549	0	0	0	0	9.80392156862745	0.980392156862745	2.94117647058824	5.88235294117647	0	0	0	1.96078431372549	0.980392156862745	0	0	0	0	0	2.94117647058824	0	2.94117647058824	0	0	0	0	0	0	0	1.96078431372549	0.980392156862745	0	0	0	0.980392156862745	0	0.980392156862745	12.7450980392157	0	9.80392156862745	0	0	0	6.86274509803922	0.980392156862745	0	0	0	0	0	0	0	3.92156862745098	0	0	0	0.980392156862745
16096	24852	"Marais de Méron"	47.38056	-1.12333	40	"AWI"	40	133	730	396	0	4.24710424710425	1.93050193050193	15.8301158301158	0	0.772200772200772	0	0	1.54440154440154	0	0.772200772200772	0	0.386100386100386	0.386100386100386	0	0.772200772200772	0.386100386100386	0	0	0	5.40540540540541	0	18.9189189189189	0	0	0	0	0.772200772200772	0.386100386100386	0	0	0	0.386100386100386	0	0.386100386100386	0	0	0	0	0	0	0	0	0	0	0.386100386100386	0	0	0	0	0	0.772200772200772	28.5714285714286	0	10.03861003861	0	1.93050193050193	0	0	1.15830115830116	0	0	0	0.386100386100386	0	0.386100386100386	0	0.772200772200772	1.15830115830116	0	0	1.15830115830116
