"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	513	"AWI"	513	1695	2468	2161	4.43349753694581	0.246305418719212	25.8620689655172	1.47783251231527	0	0	0	9.35960591133005	0	0	0	0	0	0	0	0.738916256157635	0	0	7.14285714285714	6.40394088669951	2.70935960591133	0	0	0	0	5.91133004926108	0.492610837438424	0	0	0	2.46305418719212	0.738916256157635	0	0.985221674876847	0	0	0	0	0.738916256157635	14.2857142857143	0	0	0	0	0	0	0	7.14285714285714	0	0	0	0.246305418719212	0	0.492610837438424	0	0	0	0	0	0.246305418719212	7.88177339901478	0	0
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	532	"AWI"	532	1853	2628	2276	6.76470588235294	0.294117647058824	15.2941176470588	2.64705882352941	0	0	0	6.17647058823529	0	0	0	0	0	0	0	0.882352941176471	0	0	7.64705882352941	5	2.05882352941176	0	0	0	0	11.1764705882353	0.588235294117647	0	0	0	7.35294117647059	0	0	2.05882352941176	0	0	0	0	0.294117647058824	14.4117647058824	0	0	0	0	0	0	0	16.1764705882353	0	0	0	0	0	0.294117647058824	0	0	0	0	0	0.588235294117647	0.294117647058824	0	0
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	557	"AWI"	557	2066	2874	2441	5.43478260869565	0	14.1304347826087	0.36231884057971	0	0	0	4.34782608695652	0	0	0	0	0	0	0	0	0	0	15.5797101449275	1.44927536231884	2.17391304347826	0	0	0	0	8.69565217391304	0.36231884057971	0	0	0	4.34782608695652	0	0	0.72463768115942	0	0	0	0	0	14.4927536231884	0	0	0	0	0	0	0	27.536231884058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36231884057971
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	580	"AWI"	580	2257	3108	2610	5.05050505050505	0	7.82828282828283	2.27272727272727	0	0	0	11.1111111111111	0	0	0	0	0	0	0	0.757575757575758	0	0	19.6969696969697	1.51515151515152	0.757575757575758	0	0	0	0	5.80808080808081	0	0	0	0	0	0.252525252525253	0	0.252525252525253	0	0	0	0	0	6.56565656565657	0	0	0	0	0	0	0	34.3434343434343	0	0	0	0	0	0.252525252525253	0	0	0	0	2.52525252525253	0.757575757575758	0	0	0.252525252525253
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	600	"AWI"	600	2640	3316	2970	3.96039603960396	0	12.3762376237624	2.47524752475248	0	0	0	6.43564356435644	0	0	0	0	0	0	0	0	0	0	23.5148514851485	2.97029702970297	0.99009900990099	0	0	0	0	10.6435643564356	1.73267326732673	0	0	0	0	0.247524752475248	0	0	0	0	0	0	0	7.92079207920792	0	0	0	0	0	0	0	24.7524752475248	0	0	0	0	0	0.99009900990099	0	0	0	0.495049504950495	0	0.495049504950495	0	0	0
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	623	"AWI"	623	2858	3646	3321	2.66666666666667	0.266666666666667	32.8	2.13333333333333	0	0	0	6.93333333333333	0	0	0.266666666666667	0	0	0	0	0.266666666666667	0	0	20.2666666666667	0.8	0.8	0	0	0	0	5.06666666666667	0.266666666666667	0	0	0	0	0.533333333333333	0	0.266666666666667	0	0	0	0	0	6.66666666666667	0	0	0	0	0	0	0	18.9333333333333	0	0.266666666666667	0	0	0.266666666666667	0	0	0	0	0.266666666666667	0	0	0	0	0.266666666666667
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	640	"AWI"	640	2964	4050	3502	2.58823529411765	0.235294117647059	38.1176470588235	1.64705882352941	0	0	0	7.52941176470588	0	0	0	0	0	0	0	0.705882352941177	0	0	14.1176470588235	1.64705882352941	0.941176470588235	0	0	0	0	4.47058823529412	0.470588235294118	0	0	0	0	2.35294117647059	0.235294117647059	0.470588235294118	0	0	0	0	0	5.17647058823529	0	0	0	0	0	0	0.235294117647059	17.4117647058824	0	0	0	0.470588235294118	0	0.470588235294118	0	0	0	0	0	0.470588235294118	0.235294117647059	0	0
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	660	"AWI"	660	3102	4294	3669	4.82954545454545	0	13.3522727272727	2.55681818181818	0	0	0	9.09090909090909	0	0	0	0	0	0	0	1.13636363636364	0	0	8.23863636363636	0.852272727272727	0.568181818181818	0	0	0	0	6.25	1.13636363636364	0	0	0	1.70454545454545	1.42045454545455	0	0	0	0	0	0	0.568181818181818	5.68181818181818	22.1590909090909	0	0	0	0	0	0.852272727272727	14.7727272727273	0	0	0	0	0	1.42045454545455	0	0.284090909090909	0	0.284090909090909	0	1.98863636363636	0.852272727272727	0	0
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	680	"AWI"	680	3211	4543	3825	6.3953488372093	0	15.1162790697674	3.48837209302326	0	0	0.193798449612403	12.015503875969	0	0	0	0	0	0	0	0.968992248062015	0	0	14.7286821705426	1.16279069767442	0.193798449612403	0	0	0	0	8.33333333333333	0.387596899224806	0	0	0	0	1.16279069767442	0	0.968992248062015	0	0	0	0	0	8.72093023255814	0	0	0	0	0	0	0	23.6434108527132	0	0	0	0.193798449612403	0.968992248062015	0.387596899224806	0	0	0	0.193798449612403	0	0.775193798449612	0	0	0
23402	40317	"Lac du Mont d'Orge Sion"	46.23376	7.33926	700	"AWI"	700	3347	4693	3988	5.00927643784787	0	18.9239332096475	3.33951762523191	0	0	0	10.3896103896104	0	0	0	0	0	0	0	0.371057513914657	0	0	15.7699443413729	0.742115027829314	0.185528756957328	0	0	0	0	8.34879406307978	1.48423005565863	0	0	0	0	0	0	0.371057513914657	0	0	0	0	0	5.19480519480519	0	0	0	0	0	0	0	26.530612244898	0	0	0	0.185528756957328	1.2987012987013	0.185528756957328	0	0	0	0.371057513914657	0	1.11317254174397	0.185528756957328	0	0
