"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
23909	41479	"Creich Castle"	56.38333	-3.08333	145	"AWI"	145	10877	12163	11500	0.454545454545455	1.13636363636364	0	0	0.227272727272727	0	21.3636363636364	0.454545454545455	0	0	19.7727272727273	0	7.72727272727273	0	0	0	0	0	0	0	2.04545454545455	0.227272727272727	0	0	0	2.72727272727273	0	31.5909090909091	0	0.227272727272727	0	0	0.681818181818182	0	9.09090909090909	0	1.59090909090909	0	0.681818181818182
23909	41479	"Creich Castle"	56.38333	-3.08333	155	"AWI"	155	11257	12377	11751	0	0	0	0	15.8854166666667	0	7.8125	1.30208333333333	0	0	0.520833333333333	0	21.6145833333333	0.78125	0	0	0	0	0	0	3.64583333333333	0	0.260416666666667	0	0	3.90625	0	34.6354166666667	0	0	0.520833333333333	0	0.260416666666667	0	4.42708333333333	0.520833333333333	3.64583333333333	0	0.260416666666667
23909	41479	"Creich Castle"	56.38333	-3.08333	165	"AWI"	165	11434	12650	11993	0	0.29673590504451	0.445103857566766	0	20.6231454005935	0	4.59940652818991	1.48367952522255	0	0	1.3353115727003	0	6.67655786350148	0	0	0	0	0	0	0	0.445103857566766	0	0	0	0	5.04451038575668	0	16.3204747774481	0	0.593471810089021	0.445103857566766	0	0	32.0474777448071	6.37982195845697	0	3.11572700296736	0	0.148367952522255
23909	41479	"Creich Castle"	56.38333	-3.08333	175	"AWI"	175	11619	12917	12237	0	0	0.279329608938547	0	3.35195530726257	0	14.2458100558659	0	0	0	0	0	16.7597765363128	0	0	0	0	0	0	0	20.1117318435754	0	0	0	0	3.07262569832402	0	36.5921787709497	0	0	1.11731843575419	0	0.279329608938547	0	3.07262569832402	0	1.11731843575419	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	185	"AWI"	185	11835	13154	12478	0	0	0	0.224215246636771	0.448430493273543	0	6.50224215246637	0	0	0	1.12107623318386	0	13.2286995515695	0	0	0	0	0	0	0	3.1390134529148	0	0	0	0	0.672645739910314	0	65.9192825112108	0	0	0.224215246636771	0	1.34529147982063	0	3.58744394618834	0	3.58744394618834	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	195	"AWI"	195	12065	13371	12723	0	0.222222222222222	0	0	1.11111111111111	0	6.88888888888889	0	0	0	0.888888888888889	0	12.2222222222222	0	0	0	0	0	0	0	3.33333333333333	0.222222222222222	0	0	0	0.222222222222222	0	69.3333333333333	0	0	0	0	1.55555555555556	0	2	0	2	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	205	"AWI"	205	12321	13583	12966	0	0.225225225225225	0.225225225225225	0.225225225225225	0.45045045045045	0	12.3873873873874	0	0	0	1.8018018018018	0	10.8108108108108	0	0	0	0	0	0	0	0.900900900900901	0	0.45045045045045	0	0	0.900900900900901	0.225225225225225	61.9369369369369	0	0	0	0	2.47747747747748	0	2.92792792792793	0	4.05405405405405	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	215	"AWI"	215	12590	13810	13201	0	0	0	0	1.8595041322314	0	5.78512396694215	0	0	0	1.03305785123967	0	11.5702479338843	0	0	0	0	0	0	0	1.65289256198347	0	0	0	0	1.03305785123967	0	50.2066115702479	0	0	0	0	1.8595041322314	21.6942148760331	2.68595041322314	0	0.206611570247934	0	0.413223140495868
23909	41479	"Creich Castle"	56.38333	-3.08333	225	"AWI"	225	12886	13987	13433	0	0	0.227790432801822	0	2.0501138952164	0	12.5284738041002	0.227790432801822	0.227790432801822	0	3.18906605922551	0	10.0227790432802	0	0	0	0	0	0	0	2.27790432801822	0	0.227790432801822	0	0	10.7061503416856	0	48.5193621867882	0	0	0	0	3.87243735763098	0	5.46697038724374	0	0.455580865603645	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	235	"AWI"	235	13234	14196	13659	0	0	0.209643605870021	0	1.88679245283019	1.88679245283019	10.062893081761	0	0	0.628930817610063	1.25786163522013	0.209643605870021	14.8846960167715	0	0	0	0	3.56394129979036	0	0	0.628930817610063	0.209643605870021	0.838574423480084	0	0	1.88679245283019	0	34.8008385744235	0	0.419287211740042	0.209643605870021	0	1.88679245283019	9.64360587002096	14.6750524109015	0	0.209643605870021	0	0
