"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3299	4283	"Mossen"	60.12146	21.58979	0	"AWI"	0	-142	24	-64	0	3.87984981226533	0	0.250312891113892	0.125156445556946	0	7.25907384230288	0	0	0	0	0	0	0.500625782227785	0.500625782227785	26.7834793491865	0	0	0	0	0	0	6.5081351689612	53.9424280350438	0	0	0	0	0	0	0.125156445556946	0	0	0.125156445556946	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	5	"AWI"	5	-111	94	-23	0	2.16010165184244	0	0	0	0	7.62388818297332	0	0	0	0	0	0	0.254129606099111	0.381194409148666	34.1804320203304	0	0	0	0	0	0.127064803049555	7.1156289707751	47.5222363405337	0	0	0	0	0	0	0.254129606099111	0	0	0	0.254129606099111	0	0	0	0	0.127064803049555	0
3299	4283	"Mossen"	60.12146	21.58979	10	"AWI"	10	-95	204	15	0	1.75438596491228	0	0	0	0	2.96052631578947	0	0	0	0	0	0.109649122807018	0.328947368421053	0.328947368421053	37.9385964912281	0	0	0	0.219298245614035	0	0	8.66228070175439	47.6973684210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	15	"AWI"	15	-61	245	62	0	3.49243306169965	0.116414435389988	0	0.116414435389988	0	5.12223515715949	0	0	0	0	0	0	0	1.51338766006985	33.6437718277066	0	0	0	0.116414435389988	0	0	5.35506402793946	50.407450523865	0	0	0	0	0	0	0.116414435389988	0	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	20	"AWI"	20	-43	320	105	0	5.39523212045169	0	0	0.250941028858218	0	9.5357590966123	0	0	0	0	0	0.125470514429109	0.501882057716437	0.627352572145546	18.9460476787955	0	0	0	0.878293601003764	0	0.125470514429109	7.02634880803011	55.9598494353827	0	0	0	0.125470514429109	0	0.376411543287327	0	0	0	0.125470514429109	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	25	"AWI"	25	-4	358	152	0	7.16845878136201	0	0	0.2389486260454	0	4.8984468339307	0	0	0	0	0	0.2389486260454	0.4778972520908	0.2389486260454	23.0585424133811	0	0	0	0.597371565113501	0	0	4.0621266427718	58.7813620071685	0	0	0	0	0	0.1194743130227	0	0.1194743130227	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	30	"AWI"	30	18	421	198	0	4.90196078431373	0	0.108932461873638	0	0	8.27886710239651	0	0	0	0	0	0.65359477124183	0	0.544662309368192	24.0740740740741	0	0	0	0	0	0	4.79302832244009	54.5751633986928	0	0	0	0	0	0.65359477124183	0	0	1.4161220043573	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	35	"AWI"	35	59	453	245	0	6.57894736842105	0	0	0.119617224880383	0	8.01435406698565	0	0	0	0	0	0	0.956937799043062	0.478468899521531	51.6746411483254	0	0	0	0.119617224880383	0	0.119617224880383	3.4688995215311	28.11004784689	0	0	0	0	0	0.119617224880383	0.119617224880383	0	0	0	0	0	0	0	0	0.119617224880383	0
3299	4283	"Mossen"	60.12146	21.58979	40	"AWI"	40	85	504	290	0	7.23888314374354	0.206825232678387	0	0.517063081695967	0	8.37642192347466	0	0	0	0	0	0	0.93071354705274	1.44777662874871	39.1933815925543	0	0	0	0.103412616339193	0	0.206825232678387	3.72285418821096	37.6421923474664	0.206825232678387	0	0	0	0	0	0	0	0	0	0.103412616339193	0	0	0	0.103412616339193	0	0
3299	4283	"Mossen"	60.12146	21.58979	45	"AWI"	45	134	532	338	0	10.6635071090047	0	0	0	0	11.2559241706161	0	0	0	0	0	0	0.710900473933649	0.829383886255924	14.5734597156398	0	0	0	2.13270142180095	0	0.118483412322275	3.90995260663507	55.2132701421801	0	0	0	0	0	0.23696682464455	0.23696682464455	0	0	0	0.118483412322275	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	50	"AWI"	50	163	577	384	0	10.6719367588933	0	0.131752305665349	0.131752305665349	0	17.9183135704875	0	0	0	0	0	0.395256916996047	1.44927536231884	0.922266139657444	22.6613965744401	0	0.131752305665349	0.131752305665349	0.527009222661397	0	0	1.58102766798419	41.501976284585	0	0	0	0	0	0.790513833992095	0	0	0.922266139657444	0	0	0	0	0.131752305665349	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	55	"AWI"	55	220	602	433	0	4.33070866141732	0	0.131233595800525	0.5249343832021	0	14.1732283464567	0	0	0	0	0	0.131233595800525	0.393700787401575	1.5748031496063	28.0839895013123	0	0.131233595800525	0	0.131233595800525	0.131233595800525	0	1.44356955380577	47.244094488189	0	0	0	0	0	0.5249343832021	0.5249343832021	0	0	0	0	0	0	0.131233595800525	0.131233595800525	0.131233595800525	0.131233595800525
3299	4283	"Mossen"	60.12146	21.58979	60	"AWI"	60	255	640	484	0	10.8866442199776	0.224466891133558	0.112233445566779	0.112233445566779	0	21.4365881032548	0	0	0	0	0	0.224466891133558	1.5712682379349	0.673400673400673	26.8237934904602	0	0.112233445566779	0.112233445566779	1.34680134680135	0	0.336700336700337	2.46913580246914	33.2210998877666	0	0	0	0	0	0.112233445566779	0	0	0	0	0	0	0	0.112233445566779	0	0.112233445566779	0
