"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3479	4498	"Tullerinsuo"	61.3398	21.95107	0	"AWI"	0	-137	36	-62	0	2.5615763546798	0.0985221674876847	0.0985221674876847	0.0985221674876847	0	12.512315270936	0	0	0	0	0	0	0	0.0985221674876847	0.394088669950739	0	0.197044334975369	0	0	0	0	0.0985221674876847	0	0	18.7192118226601	64.7290640394089	0	0	0	0	0	0	0	0	0.394088669950739	0	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	5	"AWI"	5	-87	203	31	0	0	0	0	0.442477876106195	0	15.929203539823	0	0	0	0	0	0	0	0	0	0	0.442477876106195	0	0	0	0	0	0	0	29.646017699115	53.5398230088496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	10	"AWI"	10	-65	431	116	0	4.71976401179941	0.294985250737463	0	0	0	11.2094395280236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17994100294985	0	0	28.9085545722714	53.3923303834808	0	0	0	0	0	0	0	0	0	0	0	0	0.294985250737463	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	15	"AWI"	15	-48	667	199	0	3.68	0.16	0	0.16	0	8.32	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.32	0	0.16	27.68	57.92	0	0	0	0.16	0.16	0	0	0	1.12	0	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	20	"AWI"	20	-19	884	286	0	0	0	0	0.108695652173913	0	32.2826086956522	0	0	0	0	0	0	0	0.108695652173913	0.108695652173913	0	0	0	0	0	0	0	0	0	19.4565217391304	47.7173913043478	0	0	0	0	0	0	0	0	0.108695652173913	0.108695652173913	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	25	"AWI"	25	57	946	397	0	9.39663699307616	0.0989119683481701	0	0.19782393669634	0	32.9376854599407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0672601384768	44.5103857566766	0	0	0	0	0	0	0	0	0.19782393669634	0.593471810089021	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	30	"AWI"	30	99	1020	510	0	8.29170829170829	0.0999000999000999	0	0	0	42.957042957043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6873126873127	35.6643356643357	0	0	0	0	0.0999000999000999	0	0	0	0	0	0	0	0.0999000999000999	0.0999000999000999	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	35	"AWI"	35	131	1122	616	0	5.06958250497018	0	0	0	0	27.5347912524851	0	0	0	0	0	0	0	0.298210735586481	0.198807157057654	0	0	0	0	0	0	0	0	0	12.2266401590457	54.3737574552684	0	0	0	0	0.099403578528827	0	0	0	0.099403578528827	0.099403578528827	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	40	"AWI"	40	197	1249	718	0	4.52342487883683	0	0	0	0	36.3489499192246	0	0	0	0	0	0	0	0	0.161550888529887	0	0	0	0	0	0	0	0	0	32.4717285945073	26.4943457189015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	45	"AWI"	45	325	1294	817	0	1.07858243451464	0	0.154083204930663	0.154083204930663	0	47.1494607087827	0	0	0	0	0	0	0	0.308166409861325	0.154083204930663	0	0	0	0	0	0	0	0	0.154083204930663	9.8613251155624	39.2912172573189	0	0	0	0	0.308166409861325	0	0	0	0	0.61633281972265	0	0	0.154083204930663	0.61633281972265	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	50	"AWI"	50	408	1345	925	0	2.49252243270189	0	0	0	0	34.7956131605184	0	0	0	0	0	0	0	0	0.498504486540379	0	0	0	0	0	0	0	0	0	28.7138584247258	33.1006979062812	0	0	0	0	0	0	0	0	0	0.199401794616152	0	0	0	0.0997008973080758	0.0997008973080758
3479	4498	"Tullerinsuo"	61.3398	21.95107	55	"AWI"	55	466	1426	1032	0	5.97014925373134	0	0	0.099502487562189	0	28.5572139303483	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099502487562189	0	0.099502487562189	0	0.099502487562189	32.4378109452736	32.1393034825871	0	0	0.199004975124378	0	0.099502487562189	0	0	0	0	0.099502487562189	0	0	0	0	0.099502487562189
3479	4498	"Tullerinsuo"	61.3398	21.95107	60	"AWI"	60	585	1507	1130	0	19.4416749750748	0	0.0997008973080758	0.199401794616152	0	46.1615154536391	0	0	0	0	0	0	0	0.199401794616152	0.797607178464606	0	0	0	0	0	0	0	0	0	9.8703888334995	22.8315054835494	0	0	0	0	0.299102691924227	0	0	0	0	0	0	0	0.0997008973080758	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	65	"AWI"	65	819	1544	1217	0	12.9740518962076	0	0	0.0998003992015968	0	36.8263473053892	0	0	0	0	0	0	0	0	0.199600798403194	0	0	0	0	0	0	0	0	0.0998003992015968	19.6606786427146	30.0399201596806	0	0	0	0	0.0998003992015968	0	0	0	0	0	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	70	"AWI"	70	1025	1584	1305	0	21.1881188118812	0	0.198019801980198	0.198019801980198	0	45.8415841584158	0	0	0	0	0	0	0	0.198019801980198	0.891089108910891	0	0.099009900990099	0	0	0.099009900990099	0.099009900990099	0.099009900990099	0	0.099009900990099	7.02970297029703	23.2673267326733	0	0	0	0	0.297029702970297	0	0	0	0.099009900990099	0.099009900990099	0	0	0	0.099009900990099	0.099009900990099
3479	4498	"Tullerinsuo"	61.3398	21.95107	75	"AWI"	75	1176	1641	1398	0	13.1637168141593	0.221238938053097	0	0.110619469026549	0	49.5575221238938	0	0	0	0	0.110619469026549	0	0	0.221238938053097	0.663716814159292	0	0.110619469026549	0	0	0	0	0	0	0.110619469026549	14.3805309734513	20.4646017699115	0	0	0	0.110619469026549	0	0	0	0	0.110619469026549	0	0.442477876106195	0	0	0.221238938053097	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	80	"AWI"	80	1268	1704	1476	0	22.1010901883053	0	0	0.297324083250743	0	25.5698711595639	0	0	0	0.0991080277502478	0	0	0	0	0.396432111000991	0	0.198216055500496	0	0	0	0	0	0	0	21.7046580773043	27.9484638255699	0	0	0	0.0991080277502478	0.792864222001982	0	0	0	0.297324083250743	0	0	0	0.495540138751239	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	85	"AWI"	85	1328	1766	1539	0	17.8947368421053	0	0	0	0	35.2631578947368	0	0	0	0	0	0	0	0	2.23684210526316	0	0	0	0	0	0	0	0	0	9.34210526315789	29.2105263157895	0	0	0	0	0.526315789473684	0	0	0	0	0	0	0	5.52631578947368	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	90	"AWI"	90	1359	1860	1598	0	23.3250620347395	0	0	0.372208436724566	0	29.6526054590571	0	0	0	0	0	0	0	0	0.620347394540943	0	0	0	0	0	0	0	0	0.248138957816377	31.1414392059553	13.8957816377171	0	0	0	0	0.124069478908189	0	0	0	0	0	0	0	0.124069478908189	0.496277915632754	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	95	"AWI"	95	1385	1979	1653	0	19.6428571428571	0	0	0.396825396825397	0	36.9047619047619	0	0	0	0	0	0	0	0	0.396825396825397	0	0	0	0	0	0	0	0.198412698412698	0	27.9761904761905	14.484126984127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	100	"AWI"	100	1440	2046	1706	0.099009900990099	12.4752475247525	0	0	0.198019801980198	0	30.4950495049505	0	0	0	0	0	0	0	0.297029702970297	0.891089108910891	0	0	0	0	0	0	0	0	0.198019801980198	34.8514851485148	19.5049504950495	0	0	0	0	0.198019801980198	0	0	0	0.099009900990099	0	0	0	0.099009900990099	0.297029702970297	0.297029702970297
3479	4498	"Tullerinsuo"	61.3398	21.95107	105	"AWI"	105	1485	2080	1765	0	18	0	0	0.2	0	33	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	26.8	19.8	0	0	0	0	0.8	0	0	0	0.2	0	0	0	0	0.4	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	110	"AWI"	110	1529	2135	1823	0	14.6560319042871	0	0	0.0997008973080758	0	20.6380857427717	0	0	0	0	0	0	0	0	1.39581256231306	0	0	0	0	0	0	0	0	0	41.0767696909272	21.3359920239282	0	0	0	0	0.199401794616152	0	0	0	0	0	0	0	0.299102691924227	0.0997008973080758	0.199401794616152
3479	4498	"Tullerinsuo"	61.3398	21.95107	115	"AWI"	115	1557	2218	1877	0	11.87624750499	0	0.0998003992015968	0.0998003992015968	0	40.8183632734531	0	0	0	0	0	0	0	0	0.399201596806387	0	0	0	0	0	0	0	0	0.199600798403194	18.562874251497	27.1457085828343	0	0	0	0.0998003992015968	0.598802395209581	0	0	0	0	0	0	0	0.0998003992015968	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	120	"AWI"	120	1633	2257	1931	0	13.4462151394422	0	0.099601593625498	0.099601593625498	0	28.1872509960159	0	0	0	0	0	0	0	0.099601593625498	0.697211155378486	0	0	0	0	0.099601593625498	0	0	0	0.099601593625498	27.390438247012	28.9840637450199	0	0	0	0	0.398406374501992	0	0	0	0	0.099601593625498	0	0	0	0.199203187250996	0.099601593625498
3479	4498	"Tullerinsuo"	61.3398	21.95107	125	"AWI"	125	1701	2285	1989	0	16.2837162837163	0	0	0	0	33.4665334665335	0	0	0	0	0	0	0	0.0999000999000999	1.2987012987013	0	0	0	0	0	0	0	0	0	26.4735264735265	21.6783216783217	0	0	0	0	0.3996003996004	0	0	0	0.0999000999000999	0	0	0	0.0999000999000999	0.0999000999000999	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	130	"AWI"	130	1750	2329	2048	0	8.69130869130869	0	0	0.0999000999000999	0	28.2717282717283	0	0	0	0	0	0	0	0	0.999000999000999	0	0	0	0	0	0	0	0	0	45.2547452547453	16.2837162837163	0	0	0	0	0.1998001998002	0	0	0	0	0	0	0	0	0.1998001998002	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	135	"AWI"	135	1789	2395	2105	0	14.6100691016782	0.0987166831194472	0.197433366238894	0.296150049358342	0	37.314906219151	0	0	0	0	0	0	0	0	0.394866732477789	0	0	0	0	0.0987166831194472	0	0	0	0	29.1214215202369	17.4728529121422	0	0	0	0.0987166831194472	0	0	0	0	0.0987166831194472	0	0	0	0.197433366238894	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	140	"AWI"	140	1889	2426	2155	0	19.9207135777998	0	0.0991080277502478	0.198216055500496	0	44.2021803766105	0	0	0	0	0	0	0	0.198216055500496	0.792864222001982	0	0.0991080277502478	0	0	0	0.0991080277502478	0	0	0.297324083250743	5.94648166501487	27.3538156590684	0	0	0	0	0.198216055500496	0	0	0	0	0	0.297324083250743	0	0	0.297324083250743	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	145	"AWI"	145	1956	2467	2211	0	18.444666001994	0.0997008973080758	0	0.0997008973080758	0	42.5722831505484	0	0	0	0	0	0	0	0	1.19641076769691	0	0	0	0	0	0	0	0	0	21.1365902293121	15.4536390827517	0	0	0	0	0.498504486540379	0	0	0	0.0997008973080758	0	0	0	0.199401794616152	0.199401794616152	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	150	"AWI"	150	2007	2522	2268	0	14.0333660451423	0.098135426889107	0	0.392541707556428	0	23.0618253189401	0	0	0	0	0.098135426889107	0	0	1.17762512266928	0.686947988223749	0	0.098135426889107	0	0	0	0	0	0	0.196270853778214	20.9028459273798	38.2728164867517	0	0	0	0	0.785083415112856	0	0	0	0	0	0	0	0	0.196270853778214	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	155	"AWI"	155	2041	2600	2322	0	27.239263803681	0	0	0.245398773006135	0	42.5766871165644	0	0	0	0	0	0	0	0.368098159509202	2.45398773006135	0	0	0	0	0	0	0	0	0	2.69938650306748	22.6993865030675	0	0	0	0	0.736196319018405	0	0	0	0.245398773006135	0	0.122699386503067	0	0.122699386503067	0.368098159509202	0.122699386503067
3479	4498	"Tullerinsuo"	61.3398	21.95107	160	"AWI"	160	2101	2631	2369	0	17.5595238095238	0	0	0.198412698412698	0	33.0357142857143	0	0	0	0	0	0	0	0.396825396825397	1.48809523809524	0	0.0992063492063492	0	0	0.0992063492063492	0	0	0	0	24.9007936507937	20.0396825396825	0	0	0	0	1.28968253968254	0	0	0	0	0	0	0	0.595238095238095	0.297619047619048	0
