"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Liriodendron"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1100	1133	"Hudson Lake"	41.67	-86.53	25	"AWI"	25	-50	605	156	0	4	0	6	0	86	3	29	0	0	0	0	18	23	0	6	0	1	0	0	0	13	0	18	0	9	0	184	0	1	0	7	1	20
1100	1133	"Hudson Lake"	41.67	-86.53	46	"AWI"	46	-22	1160	328	0	4	1	5	0	77	3	18	0	0	0	0	20	19	0	2	0	1	0	0	0	15	0	11	0	11	0	198	0	3	0	7	1	9
1100	1133	"Hudson Lake"	41.67	-86.53	64	"AWI"	64	87	1342	516	0	6	2	5	0	60	5	30	0	0	0	3	25	25	0	9	0	2	0	0	0	15	3	18	1	4	0	203	0	3	0	8	0	14
1100	1133	"Hudson Lake"	41.67	-86.53	74	"AWI"	74	127	1426	622	0	6	4	1	0	14	4	14	0	0	0	2	33	12	0	13	0	2	0	0	0	15	0	18	3	3	0	184	0	1	0	6	1	20
1100	1133	"Hudson Lake"	41.67	-86.53	85	"AWI"	85	161	1565	734	0	11	3	0	0	8	3	19	0	0	0	0	23	28	0	4	0	0	0	0	1	8	0	16	1	1	0	199	0	2	0	5	2	19
1100	1133	"Hudson Lake"	41.67	-86.53	95	"AWI"	95	190	1711	830	0	8	2	1	0	6	2	23	0	0	0	1	31	27	0	12	0	0	0	0	0	9	0	18	1	0	0	205	0	4	0	4	5	19
1100	1133	"Hudson Lake"	41.67	-86.53	110	"AWI"	110	330	1842	973	0	15	1	2	3	3	2	11	0	0	0	4	27	14	1	6	0	0	0	0	0	15	0	10	1	2	0	139	0	5	2	3	1	7
1100	1133	"Hudson Lake"	41.67	-86.53	120	"AWI"	120	408	1919	1077	0	31	3	1	2	13	6	17	5	2	0	6	62	22	8	19	0	3	0	0	0	19	1	18	18	11	0	231	0	2	0	4	2	24
1100	1133	"Hudson Lake"	41.67	-86.53	130	"AWI"	130	468	1993	1180	0	20	4	0	0	6	8	18	0	2	3	8	43	15	6	4	0	1	0	0	0	9	0	13	3	7	1	128	1	1	0	4	1	13
1100	1133	"Hudson Lake"	41.67	-86.53	140	"AWI"	140	524	2117	1283	0	34	0	2	1	8	3	43	3	2	0	13	100	20	6	12	0	1	0	0	0	22	0	26	17	17	0	241	0	5	0	9	1	50
1100	1133	"Hudson Lake"	41.67	-86.53	150	"AWI"	150	606	2221	1377	0	10	2	1	0	7	5	13	1	2	0	3	35	13	9	4	0	0	0	0	0	12	1	13	6	6	0	83	0	2	0	2	0	15
1100	1133	"Hudson Lake"	41.67	-86.53	160	"AWI"	160	759	2278	1469	0	31	5	2	2	8	7	22	1	3	2	8	84	22	4	8	0	1	0	0	0	10	1	17	5	10	0	190	0	1	0	4	2	20
1100	1133	"Hudson Lake"	41.67	-86.53	170	"AWI"	170	882	2345	1564	0	17	3	1	3	7	4	19	0	2	0	12	53	17	5	11	0	0	0	0	0	5	0	7	12	3	0	172	0	3	0	2	3	18
1100	1133	"Hudson Lake"	41.67	-86.53	180	"AWI"	180	970	2423	1665	0	28	0	1	1	2	1	28	1	1	0	3	43	18	3	9	0	1	0	0	0	9	0	17	9	9	0	174	0	4	0	6	0	31
1100	1133	"Hudson Lake"	41.67	-86.53	190	"AWI"	190	1040	2521	1764	0	17	2	0	3	7	0	10	1	0	3	7	20	16	7	10	0	0	0	0	0	7	0	5	2	4	0	126	0	3	0	1	0	11
1100	1133	"Hudson Lake"	41.67	-86.53	210	"AWI"	210	1376	2672	1973	0	21	2	0	0	5	3	23	0	0	2	9	39	28	18	14	0	0	0	0	0	8	0	12	7	3	0	157	0	1	0	2	2	19
1100	1133	"Hudson Lake"	41.67	-86.53	220	"AWI"	220	1510	2742	2084	0	15	3	2	1	3	4	39	0	1	3	14	61	19	3	13	0	1	0	0	0	14	0	17	12	3	0	203	0	2	0	6	2	36
