"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1123	1157	"Jack Lake"	47.31667	-81.76667	1	"AWI"	1	-127	59	-34	8	2	0	0	0	2	0	132	0	1	1	0	0	0	6	21	6	0	4	0	1	0	0	11	0	0	5	0	4	0	3	36	220	1	1	11	8	10	0	0	0	0	0	0	0	0	0	6	0	1
1123	1157	"Jack Lake"	47.31667	-81.76667	10	"AWI"	10	-32	479	150	2	1	0	1	1	2	0	126	0	0	1	0	0	0	0	13	5	0	4	0	0	0	0	0	0	0	6	0	1	0	0	62	202	2	0	8	4	7	0	0	1	1	1	0	0	0	0	3	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	17	"AWI"	17	66	694	308	4	4	0	1	0	3	0	191	0	0	1	0	0	1	0	4	10	0	0	0	3	0	0	4	0	0	4	0	4	0	5	35	191	0	2	3	12	16	0	0	0	0	2	1	0	0	6	2	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	26	"AWI"	26	202	957	516	5	2	0	2	0	5	0	121	0	0	0	0	0	0	1	12	3	0	4	0	2	2	0	1	0	0	10	0	4	0	1	29	228	0	1	7	2	17	0	0	0	0	2	1	0	0	4	6	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	34	"AWI"	34	337	1179	705	1	0	0	1	0	3	0	143	0	0	1	0	0	0	4	20	8	0	16	0	2	7	0	7	0	0	5	0	7	0	6	21	227	0	0	6	1	13	0	0	0	0	3	0	0	0	3	3	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	43	"AWI"	43	504	1410	917	6	5	0	0	0	1	0	109	0	0	0	0	0	0	1	14	4	0	0	0	1	0	0	0	0	0	0	0	2	0	2	51	197	0	0	10	5	11	0	0	0	0	0	0	0	2	7	4	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	54	"AWI"	54	705	1708	1174	6	3	0	0	0	5	0	113	0	0	0	0	0	0	0	18	6	0	4	0	1	0	0	0	0	0	9	0	1	0	0	35	200	1	0	8	2	12	0	0	1	0	0	0	0	0	0	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	60	"AWI"	60	827	1856	1315	2	2	0	2	0	2	0	105	0	0	0	0	0	2	0	17	4	0	0	0	3	0	0	4	0	0	2	0	2	0	5	24	237	0	2	5	1	10	0	0	0	0	2	0	0	0	3	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	70	"AWI"	70	1036	2105	1544	3	5	0	1	0	0	0	140	0	0	0	0	0	0	3	31	9	0	0	0	3	5	0	2	0	0	6	0	3	0	4	35	168	0	1	5	9	10	0	0	0	0	0	0	0	0	0	2	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	80	"AWI"	80	1244	2330	1776	1	4	0	0	0	2	0	104	0	0	1	0	0	1	0	37	0	0	0	0	0	2	0	5	0	0	2	0	1	0	0	4	119	0	3	3	1	4	0	0	0	0	1	1	0	0	0	3	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	90	"AWI"	90	1472	2547	2012	6	2	0	0	0	1	0	171	0	0	1	0	0	0	2	36	4	0	8	0	2	4	0	1	0	0	8	0	3	0	0	22	213	0	1	6	1	6	0	0	0	0	0	0	0	0	3	8	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	100	"AWI"	100	1704	2766	2243	2	1	0	2	0	3	0	204	0	0	1	0	0	0	0	46	5	0	12	0	4	7	1	2	0	0	13	0	4	0	2	21	245	0	0	1	7	16	0	0	0	0	4	0	0	0	3	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	110	"AWI"	110	1939	2976	2473	9	1	0	0	0	2	0	146	0	0	1	1	0	0	2	19	9	0	8	0	2	10	0	1	0	0	4	0	1	0	2	32	282	0	1	3	5	18	0	0	0	0	1	0	0	0	4	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	120	"AWI"	120	2198	3169	2703	8	1	0	1	0	2	0	121	0	0	1	1	0	1	0	52	4	1	0	0	3	6	0	1	0	0	12	0	0	0	1	10	200	0	1	5	6	16	0	0	0	0	1	0	0	0	4	4	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	130	"AWI"	130	2451	3363	2939	6	3	0	0	0	2	0	146	0	0	0	0	0	0	1	14	2	0	4	0	0	3	0	0	0	0	4	0	1	0	1	25	217	0	2	4	1	10	0	0	0	0	0	0	0	0	3	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	140	"AWI"	140	2706	3550	3173	2	0	0	1	0	1	0	167	0	0	0	0	0	0	0	49	2	0	8	0	4	3	0	3	0	0	7	0	4	0	5	15	197	0	1	3	2	6	0	0	0	0	0	1	0	0	3	5	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	150	"AWI"	150	3000	3729	3404	4	2	0	0	0	3	0	180	0	0	0	0	0	0	4	30	6	0	4	0	1	0	0	1	0	0	4	0	2	0	1	24	232	1	2	3	6	9	0	0	0	0	1	0	0	0	1	6	0	1
