"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	390	"AWI"	390	7669	8419	8022	5	0	17	1	4	29	17	0	6	0	0	0	24	1	5	185	0	0	0	1	0	0	0	4	0	0	0	0	1	1	0	20	5	0	0	1	0	0	0	5	3	0	0	0	38	0	1	0	1	0	1	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	395	"AWI"	395	7733	8524	8102	5	0	43	1	0	24	0	0	3	0	0	0	41	0	19	254	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	59	13	0	0	1	0	0	0	8	1	0	0	0	101	0	0	0	1	0	2	6	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	400	"AWI"	400	7774	8679	8176	6	0	7	1	0	7	0	0	1	0	0	0	11	0	2	98	0	0	0	1	0	0	16	1	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	2	2	0	6	0	27	0	0	0	0	0	1	0	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	405	"AWI"	405	7810	8888	8246	10	0	19	0	0	15	0	0	0	0	0	2	17	0	16	80	1	1	0	3	0	0	25	29	0	0	0	0	2	1	1	30	12	0	0	1	0	0	0	9	7	0	0	0	44	0	0	0	0	0	2	4	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	410	"AWI"	410	7876	8969	8327	7	0	12	1	0	16	0	0	0	0	0	1	10	0	7	18	0	0	0	1	0	0	23	23	0	0	0	0	1	0	0	25	11	0	0	1	0	0	0	5	0	0	0	0	32	0	0	0	0	1	2	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	415	"AWI"	415	7917	9105	8409	14	0	18	1	0	2	0	0	0	0	0	1	1	0	1	16	0	0	0	0	0	0	28	73	0	0	0	0	0	0	1	19	16	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	0	0	1	5	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	420	"AWI"	420	7955	9267	8485	8	0	15	0	0	3	0	0	0	1	0	1	1	0	6	11	0	0	0	1	0	0	24	35	0	0	1	0	0	1	4	18	12	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	5	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	425	"AWI"	425	8035	9363	8564	7	0	9	0	0	7	0	0	0	0	0	0	1	0	9	23	0	1	0	0	0	0	24	33	0	0	0	1	2	1	5	0	8	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	2	0	4	0	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	430	"AWI"	430	8078	9490	8648	3	0	8	2	0	3	0	0	0	0	0	0	1	0	8	15	0	0	0	1	0	0	16	53	0	0	2	0	0	0	1	10	16	0	0	0	0	0	0	5	0	0	0	0	7	0	0	0	0	1	2	2	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	435	"AWI"	435	8118	9638	8727	9	0	4	1	0	2	0	0	0	0	0	1	1	0	6	9	0	0	0	0	0	0	21	50	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0
