"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
1410	1447	"Kellys Hollow"	45.3	-90.35	0	"AWI"	0	-131	16	-47	2	0	6	2	3	0	21	0	0	0	0	0	3	0	0	7	0	0	0	0	1	2	13	1	0	4	0	0	10	0	0	0	0	1	0	0	3	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	10	"AWI"	10	-63	111	23	0	0	4	1	0	0	56	0	0	0	1	0	3	0	0	12	0	0	0	0	2	3	12	0	0	3	0	0	0	0	0	0	0	1	0	0	25	2	0
1410	1447	"Kellys Hollow"	45.3	-90.35	20	"AWI"	20	67	312	159	0	0	6	0	1	0	46	0	0	0	0	1	0	0	0	6	0	0	0	0	3	0	65	0	0	1	0	0	2	1	0	0	0	0	0	0	6	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	30	"AWI"	30	271	2823	1146	0	0	1	1	0	0	27	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	53	0	0	0	0	0	1	0	0	0	0	0	0	0	19	1	0
1410	1447	"Kellys Hollow"	45.3	-90.35	40	"AWI"	40	899	4221	2519	1	0	1	0	1	0	54	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	50	"AWI"	50	1706	4819	3810	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	98	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
1410	1447	"Kellys Hollow"	45.3	-90.35	60	"AWI"	60	4450	5210	4901	0	0	17	0	4	0	7	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	2	0
1410	1447	"Kellys Hollow"	45.3	-90.35	80	"AWI"	80	4853	6130	5411	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	93	0	0	0	0	0	6	0	0	0	0	0	0	1	0	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	100	"AWI"	100	5277	6783	5965	0	9	0	0	0	0	11	0	0	0	0	0	2	0	0	8	0	0	2	0	14	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	120	"AWI"	120	5763	7331	6538	0	0	1	0	2	0	6	0	0	0	0	0	4	0	0	2	0	0	1	0	3	1	84	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	140	"AWI"	140	6307	7814	7120	5	0	1	1	0	0	18	0	1	0	1	0	4	0	0	3	0	0	1	0	1	0	64	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0
1410	1447	"Kellys Hollow"	45.3	-90.35	160	"AWI"	160	6899	8233	7690	0	0	2	5	5	0	7	0	1	3	0	1	1	0	0	3	0	3	0	0	2	0	57	0	0	0	0	0	9	0	0	0	0	2	0	2	0	0	0
1410	1447	"Kellys Hollow"	45.3	-90.35	180	"AWI"	180	7642	8534	8236	1	0	4	0	3	0	10	0	0	0	1	1	6	0	0	0	0	0	0	0	2	0	91	0	0	0	0	1	3	0	1	0	0	0	0	0	0	7	0
1410	1447	"Kellys Hollow"	45.3	-90.35	200	"AWI"	200	8371	9074	8641	1	0	3	3	2	0	17	0	1	0	0	0	2	0	0	5	0	3	0	0	1	0	74	0	0	0	4	0	7	0	0	0	0	0	0	0	0	3	0
1410	1447	"Kellys Hollow"	45.3	-90.35	220	"AWI"	220	8620	9635	9038	5	0	3	0	3	0	14	0	0	0	0	2	1	3	0	3	0	0	1	0	1	4	48	0	0	2	0	0	7	0	0	0	2	1	0	0	0	0	0
1410	1447	"Kellys Hollow"	45.3	-90.35	240	"AWI"	240	8914	10100	9452	4	0	2	1	2	0	30	0	2	0	0	0	1	0	0	1	0	1	1	0	3	4	29	0	0	0	0	0	6	1	0	0	0	0	0	0	0	7	1
1410	1447	"Kellys Hollow"	45.3	-90.35	260	"AWI"	260	9275	10507	9846	3	0	2	0	0	0	31	0	1	0	0	0	5	0	0	1	0	2	3	0	4	5	35	0	0	0	0	0	6	0	0	0	0	0	0	0	0	23	0
1410	1447	"Kellys Hollow"	45.3	-90.35	270	"AWI"	270	9460	10699	10048	2	0	0	1	1	0	4	1	0	0	0	1	3	0	0	4	0	3	0	0	6	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	8	0
1410	1447	"Kellys Hollow"	45.3	-90.35	290	"AWI"	290	9880	11078	10457	5	0	2	1	0	0	34	0	2	0	0	0	1	0	0	1	0	0	1	0	4	9	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	10	0
1410	1447	"Kellys Hollow"	45.3	-90.35	300	"AWI"	300	10112	11283	10651	1	0	4	1	2	0	11	0	0	0	0	0	0	0	0	2	0	1	5	1	1	3	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	9	0
