"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Anacardium"	"Arecaceae"	"Asteraceae"	"Byrsonima"	"Cannabaceae"	"Cecropia"	"Celtis"	"Chrysophyllum"	"Combretaceae"	"Copaifera"	"Cyperaceae"	"Didymopanax"	"Dilleniaceae"	"Euphorbiaceae"	"Fabaceae"	"Indeterminable"	"Loranthaceae"	"Luehea"	"Malpighiaceae"	"Myrsine"	"Myrtaceae"	"Nyctaginaceae"	"Peraceae"	"Petiveriaceae"	"Piper"	"Poaceae"	"Protium"	"Pseudobombax"	"Psychotria"	"Pteridophyta (monolete, psilate, <50 µm)"	"Schinus"	"Spirotheca"
1575	1621	"Lago do Pires"	-17.95	-42.21667	0	"AWI"	0	-136	26	-51	4	2	7	10	0	62	42	16	0	5	4	18	0	1	8	0	34	0	3	1	4	7	0	1	3	1	200	1	1	4	1	1	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	10	"AWI"	10	-100	114	-5	9	4	5	9	3	75	49	14	0	5	6	17	0	0	5	5	16	0	0	1	5	8	2	0	3	6	212	1	1	4	1	1	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	30	"AWI"	30	-31	274	95	20	4	19	8	4	104	115	4	1	3	4	7	0	0	24	1	38	0	0	3	9	18	1	0	9	19	13	2	2	15	2	1	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	50	"AWI"	50	38	403	200	36	8	24	7	7	70	78	15	0	15	6	2	0	0	30	3	36	0	0	4	13	23	4	0	10	15	11	0	0	11	1	1	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	70	"AWI"	70	116	518	304	24	4	25	3	5	106	58	17	0	17	8	4	0	1	22	4	37	0	0	3	14	31	4	3	14	13	12	0	1	13	5	0	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	90	"AWI"	90	213	619	409	22	4	19	0	4	83	46	16	2	13	14	4	0	0	25	1	42	0	0	3	21	29	1	1	5	14	21	0	0	4	2	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	110	"AWI"	110	316	720	515	19	7	23	0	6	89	70	12	0	9	5	5	0	1	20	0	45	0	1	5	17	36	2	3	10	16	13	2	0	7	2	3	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	130	"AWI"	130	422	806	617	27	4	26	4	3	91	91	17	0	6	13	8	0	0	25	5	26	2	0	6	16	36	0	7	4	16	12	0	0	4	3	2	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	150	"AWI"	150	542	888	721	19	10	21	5	7	77	73	8	0	15	10	8	0	0	20	14	29	0	1	2	29	21	1	4	4	16	19	2	0	2	1	8	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	170	"AWI"	170	683	973	823	16	9	9	27	2	106	37	10	1	18	12	6	0	1	48	11	39	0	0	1	16	13	0	3	5	12	14	0	1	1	1	12	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	185	"AWI"	185	740	1087	900	19	4	5	57	4	72	53	15	2	11	17	5	0	0	29	12	40	0	0	0	15	11	4	5	3	10	33	1	1	3	2	6	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	210	"AWI"	210	835	1260	1024	34	6	7	17	5	110	36	11	1	10	6	10	0	0	37	16	35	0	0	2	12	28	1	6	4	8	20	3	1	0	2	2	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	230	"AWI"	230	909	1384	1120	44	4	5	11	7	95	55	16	5	17	5	11	0	1	27	5	41	1	0	4	18	20	0	3	1	11	20	2	2	1	1	3	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	250	"AWI"	250	994	1511	1224	20	10	2	12	3	71	75	20	2	9	6	13	1	0	33	10	41	2	0	1	12	17	0	4	2	15	30	0	1	3	2	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	275	"AWI"	275	1096	1661	1353	17	8	5	27	4	77	57	10	3	13	16	9	1	1	43	12	43	0	0	4	15	28	0	2	5	7	21	0	0	0	0	11	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	297	"AWI"	297	1192	1790	1468	18	3	2	19	2	99	84	18	0	19	5	18	0	1	23	6	30	0	0	1	17	14	0	1	0	8	32	2	1	0	0	3	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	330	"AWI"	330	1337	1970	1637	25	7	3	13	2	85	49	20	1	18	17	9	0	0	21	8	36	0	0	7	12	27	2	6	1	23	20	1	0	1	2	1	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	345	"AWI"	345	1407	2053	1714	28	14	3	20	8	97	49	11	0	16	14	10	0	1	23	13	28	2	0	8	14	12	2	6	12	9	22	1	0	0	0	5	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	361	"AWI"	361	1486	2149	1795	22	4	5	15	6	123	74	11	1	15	9	2	0	0	60	8	23	0	0	4	9	20	0	7	5	8	21	0	1	2	1	1	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	385	"AWI"	385	1599	2271	1919	26	5	5	6	5	91	78	12	2	19	8	5	0	0	40	5	35	2	0	3	25	19	0	3	2	3	25	2	1	0	1	6	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	415	"AWI"	415	1755	2424	2073	14	13	6	23	2	95	51	14	1	14	16	11	0	0	37	12	33	3	0	2	21	26	3	2	1	4	43	3	0	4	1	8	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	435	"AWI"	435	1866	2519	2177	14	8	2	13	1	157	57	5	1	12	13	5	0	1	60	12	40	1	0	3	16	17	0	1	1	8	21	1	0	1	3	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	455	"AWI"	455	1965	2617	2281	20	7	8	5	6	116	69	7	0	12	17	5	0	0	30	9	42	0	0	1	25	25	1	7	5	8	21	0	2	0	0	4	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	475	"AWI"	475	2068	2714	2383	20	6	13	17	5	134	53	6	2	13	12	11	1	1	58	7	28	0	0	4	21	8	0	5	1	11	13	0	3	0	0	8	3
