"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Myrica"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Tilia"	"Ulmus"
1580	1627	"Lesnaya River Exposure"	44	145.75	15	"AWI"	15	28	949	348	131	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	47	7	1	0	0	7	0	0	1
1580	1627	"Lesnaya River Exposure"	44	145.75	40	"AWI"	40	412	2036	1107	137	0	48	1	0	2	0	77	0	0	1	0	0	0	0	1	0	0	0	26	17	4	0	0	5	0	0	4
1580	1627	"Lesnaya River Exposure"	44	145.75	110	"AWI"	110	2231	4074	3251	0	0	163	0	0	4	0	109	0	0	2	0	0	0	0	0	2	0	0	0	0	29	0	0	0	0	1	1
1580	1627	"Lesnaya River Exposure"	44	145.75	130	"AWI"	130	2948	4544	3879	2	0	149	18	0	6	70	91	1	0	3	0	0	0	0	0	0	0	0	41	17	5	0	0	8	40	0	4
1580	1627	"Lesnaya River Exposure"	44	145.75	135	"AWI"	135	3133	4615	4030	18	0	28	1	0	14	0	0	0	0	0	7	1	0	0	6	0	0	0	25	13	33	0	0	118	3	3	4
1580	1627	"Lesnaya River Exposure"	44	145.75	150	"AWI"	150	3812	4880	4508	15	0	0	1	0	1	0	0	0	0	0	33	0	0	0	2	0	0	0	13	20	15	0	0	122	0	0	18
1580	1627	"Lesnaya River Exposure"	44	145.75	165	"AWI"	165	4626	5156	4889	2	0	0	3	0	11	16	0	0	4	18	1	0	2	0	6	0	4	0	0	8	161	0	0	177	0	0	29
1580	1627	"Lesnaya River Exposure"	44	145.75	175	"AWI"	175	4776	5455	5108	2	0	0	0	0	11	5	0	2	2	0	0	0	1	0	8	0	1	0	0	10	152	0	0	156	0	0	10
1580	1627	"Lesnaya River Exposure"	44	145.75	180	"AWI"	180	4829	5586	5225	2	0	0	0	5	1	1	0	0	2	1	0	1	3	0	53	0	3	9	3	14	160	0	0	150	0	0	18
1580	1627	"Lesnaya River Exposure"	44	145.75	205	"AWI"	205	5545	5956	5761	1	0	47	0	0	0	0	128	0	0	18	5	0	0	0	1	1	0	0	0	73	90	0	0	33	0	0	1
1580	1627	"Lesnaya River Exposure"	44	145.75	218	"AWI"	218	5732	6168	5968	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	9	0	1	0	0	18	150	0	0	98	0	0	15
1580	1627	"Lesnaya River Exposure"	44	145.75	230	"AWI"	230	5996	6279	6150	0	0	250	0	0	4	1	0	0	0	36	0	3	0	0	3	0	0	0	0	5	130	0	0	9	1	0	1
1580	1627	"Lesnaya River Exposure"	44	145.75	250	"AWI"	250	6127	6533	6334	0	0	0	0	0	10	0	0	0	0	0	16	0	0	0	14	0	0	0	0	22	99	0	0	84	0	0	8
1580	1627	"Lesnaya River Exposure"	44	145.75	260	"AWI"	260	6223	6616	6420	1	0	0	2	1	10	2	0	0	1	0	5	0	1	0	25	0	1	2	0	32	111	0	0	123	1	0	22
1580	1627	"Lesnaya River Exposure"	44	145.75	280	"AWI"	280	6341	6789	6549	1	0	0	2	2	16	8	0	0	2	38	5	0	0	0	23	0	1	1	6	19	46	0	0	54	0	0	8
1580	1627	"Lesnaya River Exposure"	44	145.75	305	"AWI"	305	6484	6981	6716	3	1	0	6	2	14	7	0	0	0	8	20	0	7	0	30	0	4	1	25	41	67	0	0	100	1	0	15
1580	1627	"Lesnaya River Exposure"	44	145.75	330	"AWI"	330	6627	7174	6881	8	1	72	4	2	6	5	39	0	0	1	1	0	0	0	26	0	0	7	26	31	50	0	0	88	2	0	12
1580	1627	"Lesnaya River Exposure"	44	145.75	340	"AWI"	340	6685	7249	6948	2	2	0	1	0	18	1	0	0	0	3	4	0	8	0	27	0	3	7	0	28	48	0	0	88	1	0	11
1580	1627	"Lesnaya River Exposure"	44	145.75	350	"AWI"	350	6747	7318	7016	2	1	0	0	0	7	2	0	0	0	5	1	0	6	0	18	0	5	6	0	48	55	0	0	141	0	0	16
1580	1627	"Lesnaya River Exposure"	44	145.75	355	"AWI"	355	6787	7350	7047	11	0	0	1	2	8	4	0	0	0	20	1	0	2	0	21	0	6	5	21	23	57	0	1	124	0	1	12
1580	1627	"Lesnaya River Exposure"	44	145.75	370	"AWI"	370	6890	7464	7146	8	0	0	0	2	13	3	0	0	0	17	6	1	1	0	22	0	10	6	13	34	98	0	0	110	0	0	20
1580	1627	"Lesnaya River Exposure"	44	145.75	375	"AWI"	375	6930	7496	7179	1	0	55	1	0	4	0	0	0	0	32	8	0	2	0	20	0	5	1	2	20	28	0	0	101	0	0	19
1580	1627	"Lesnaya River Exposure"	44	145.75	405	"AWI"	405	7162	7696	7371	2	0	21	0	0	3	0	0	0	0	27	3	12	2	0	13	0	3	0	0	9	190	1	0	190	0	0	27
1580	1627	"Lesnaya River Exposure"	44	145.75	410	"AWI"	410	7189	7738	7402	0	0	66	2	0	13	0	0	0	0	1	4	0	1	0	9	0	1	3	0	19	170	0	0	151	0	0	15
1580	1627	"Lesnaya River Exposure"	44	145.75	415	"AWI"	415	7237	7778	7442	0	1	0	3	1	13	8	0	0	3	0	3	0	1	2	18	0	3	3	0	43	27	0	0	152	0	1	4
