"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Dacrydium"	"Ericales"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
1581	1628	"Lesnoye Lake"	59.58333	151.86667	0	"AWI"	0	-142	20	-56	13	1	235	0	5	4	0	234	0	0	0	0	0	0	0	6	0	34	0	60	0	0	1	0	1	3	5	0	15	0	0	0	0	1	0	0	2	0	61	261	0	71	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	1	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	8	"AWI"	8	-18	456	180	10	1	0	0	1	6	0	0	0	0	0	4	0	0	1	1	1	30	0	53	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	98	306	0	101	0	0	0	0	0	0	2	1	0	0	0	6	0	0	1	31	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	13	"AWI"	13	71	642	337	6	0	0	0	1	1	0	0	0	0	0	3	0	0	0	4	0	28	0	54	0	0	0	0	0	1	3	0	7	0	0	0	0	1	0	0	1	0	110	277	0	103	0	0	0	1	0	1	3	1	0	0	0	4	0	0	1	47	5	0	1	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	25	"AWI"	25	405	979	719	7	1	0	2	1	2	0	0	0	0	0	4	0	0	0	2	0	36	0	87	0	0	0	0	2	0	2	0	5	3	0	0	0	0	0	0	1	0	44	219	0	112	0	0	0	0	1	1	10	1	0	0	0	6	0	0	3	18	1	0	0	1
1581	1628	"Lesnoye Lake"	59.58333	151.86667	31	"AWI"	31	705	1110	914	7	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	22	0	0	0	0	0	0	0	1	1	0	5	1	0	0	0	0	0	1	2	0	36	234	1	47	0	0	0	0	2	0	6	1	0	0	0	5	0	2	3	22	2	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	40	"AWI"	40	895	1499	1152	2	1	0	0	2	6	0	0	0	0	0	1	0	0	0	3	0	27	0	65	0	1	0	0	0	0	1	0	6	0	0	0	0	1	0	0	1	0	34	439	0	16	0	0	0	0	0	0	8	3	0	0	0	2	0	1	0	15	2	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	50	"AWI"	50	1083	1858	1426	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	24	0	47	0	0	0	0	0	0	1	0	8	2	0	0	0	0	0	0	0	0	47	271	0	80	0	0	0	0	0	0	4	2	0	0	0	8	2	0	1	16	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	60	"AWI"	60	1300	2154	1698	1	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	24	0	57	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	1	0	50	260	0	29	1	0	0	0	0	0	6	1	0	0	0	5	0	2	1	26	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	65	"AWI"	65	1405	2309	1840	10	0	117	0	0	2	0	151	0	0	0	1	0	0	0	0	0	30	0	57	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	28	276	0	32	0	0	0	0	0	0	9	1	0	0	0	4	2	0	1	12	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	70	"AWI"	70	1528	2442	1979	1	0	0	2	0	9	0	0	0	0	0	0	0	0	0	1	0	66	0	34	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	21	213	0	40	0	0	0	0	2	1	11	1	0	0	0	8	3	0	0	17	0	0	0	0
