"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	700	"AWI"	700	6115	7879	7280	5	0	3	0	22	0	0	0	0	0	0	0	0	0	7	266	7	0	1	0	1	0	0	0	0	1	1	2	1	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	720	"AWI"	720	7103	8053	7548	2	0	3	0	26	0	0	0	0	2	0	0	0	1	16	247	11	0	0	0	2	1	0	0	0	0	2	0	0	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	740	"AWI"	740	7535	8486	7927	6	0	6	0	21	0	0	0	0	6	0	0	0	1	1	403	6	0	1	0	1	0	0	0	0	1	1	0	0	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	760	"AWI"	760	7767	9201	8339	3	1	9	1	64	0	0	0	0	8	0	0	0	2	6	332	16	0	11	1	1	0	0	0	0	0	1	0	11	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	780	"AWI"	780	8010	9842	8765	3	1	5	0	33	0	2	0	0	7	1	1	0	6	5	257	7	0	5	0	3	1	0	0	0	2	5	0	2	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	800	"AWI"	800	8236	10379	9205	3	0	12	1	28	0	0	0	0	1	1	2	0	3	10	235	11	0	11	2	5	2	0	0	0	0	0	4	0	1
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	820	"AWI"	820	8648	10760	9687	5	0	1	1	48	0	0	0	0	4	0	0	0	2	11	214	3	0	4	0	5	0	0	0	0	1	2	2	5	1
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	840	"AWI"	840	9069	11104	10151	8	0	13	1	27	0	0	0	0	21	2	0	0	2	9	274	16	0	0	0	8	2	0	0	0	0	6	3	2	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	860	"AWI"	860	9525	11406	10607	5	0	22	2	45	0	2	0	0	13	1	0	0	6	7	308	9	0	5	0	2	1	0	0	0	0	2	0	1	0
1588	1637	"Lily Lake Fen"	43.76667	-110.31667	880	"AWI"	880	10155	11689	11052	2	0	14	1	30	0	0	0	0	14	1	0	0	3	4	272	11	0	11	0	9	2	0	0	0	2	2	0	0	0
