"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Juncaceae"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Scrophulariaceae"	"Tsuga"	"Urticaceae"
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	1	"AWI"	1	-36	310	89	0	33	2	1	0	102	1	82	12	0	0	0	0	76	64	2	0	5	0	4	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	3	"AWI"	3	1	904	276	1	48	0	0	0	79	1	71	6	0	0	1	5	89	36	2	0	1	0	3	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	5	"AWI"	5	28	1499	462	2	33	0	0	0	70	0	51	22	0	0	5	0	44	48	17	0	5	4	11	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	7	"AWI"	7	170	1690	717	0	35	0	2	0	69	6	58	10	1	0	0	3	103	44	1	0	0	0	3	1	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	9	"AWI"	9	246	1970	952	1	25	0	0	0	60	1	63	8	0	0	3	0	80	59	6	0	0	0	6	0	1	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	11	"AWI"	11	388	2279	1185	1	33	0	0	0	63	4	73	10	0	3	1	5	101	52	1	0	0	0	7	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	13	"AWI"	13	525	2481	1442	0	42	0	0	0	58	0	70	19	0	0	1	0	103	82	6	0	0	0	15	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	15	"AWI"	15	628	2819	1675	0	36	0	1	0	60	2	41	12	0	3	0	6	102	41	1	0	2	0	3	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	17	"AWI"	17	897	2947	1907	0	44	0	0	0	127	0	117	10	0	0	5	3	131	77	9	1	1	6	9	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	19	"AWI"	19	1047	3158	2154	0	17	0	0	0	15	3	177	2	0	0	22	1	80	22	1	0	0	0	0	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	21	"AWI"	21	1270	3348	2377	0	17	0	0	0	50	0	25	7	0	0	0	0	55	32	2	0	0	0	2	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	25	"AWI"	25	1651	3687	2863	0	10	0	0	0	11	0	5	6	0	0	0	0	7	3	2	0	1	0	4	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	29	"AWI"	29	2376	3886	3338	1	38	0	0	0	35	0	14	58	0	0	1	0	98	55	6	0	0	0	4	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	33	"AWI"	33	3231	4069	3735	0	36	0	0	0	45	0	3	131	0	0	0	0	97	31	2	0	5	0	0	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	35	"AWI"	35	3536	4209	3934	2	12	0	0	0	43	1	63	101	0	0	0	0	62	23	4	0	1	0	24	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	37	"AWI"	37	3709	4272	4029	0	44	0	0	0	320	0	65	37	0	0	0	0	139	81	3	0	2	0	5	0	0	1
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	39	"AWI"	39	3774	4434	4134	2	13	1	0	0	27	1	89	1	0	0	0	0	172	28	0	0	0	0	4	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	41	"AWI"	41	3846	4591	4215	1	21	1	0	0	31	1	187	2	0	0	0	0	48	55	4	0	1	0	4	0	0	2
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	45	"AWI"	45	3958	4825	4361	0	17	0	2	0	13	0	190	0	0	0	0	0	66	41	2	0	0	0	0	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	49	"AWI"	49	4099	4980	4513	0	34	0	0	0	14	0	171	8	0	0	0	0	58	37	0	0	0	0	3	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	53	"AWI"	53	4210	5169	4669	0	18	0	0	0	20	0	136	1	0	0	0	0	106	35	3	0	0	0	3	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	55	"AWI"	55	4259	5293	4743	0	305	0	0	0	15	0	26	0	0	0	0	0	39	9	1	0	0	0	0	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	57	"AWI"	57	4345	5348	4819	0	127	0	0	0	14	0	56	2	0	0	0	0	113	36	0	0	0	0	4	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	61	"AWI"	61	4469	5521	4969	0	30	0	0	0	9	0	143	3	0	0	0	0	99	30	2	1	0	0	3	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	65	"AWI"	65	4592	5676	5123	0	16	0	0	0	14	0	145	6	0	0	0	0	125	34	12	0	0	0	0	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	69	"AWI"	69	4746	5802	5284	1	23	1	0	0	16	15	135	0	0	0	1	0	112	29	3	0	2	0	1	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	73	"AWI"	73	4906	5932	5445	0	11	0	0	0	13	2	192	5	0	0	1	0	105	18	1	0	1	0	5	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	77	"AWI"	77	5087	6049	5597	0	10	0	0	0	6	0	174	0	0	0	0	0	78	33	2	0	0	0	2	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	81	"AWI"	81	5248	6163	5751	0	13	0	0	0	6	1	168	1	0	0	0	0	84	26	1	0	1	0	5	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	85	"AWI"	85	5403	6279	5902	1	8	0	0	0	6	0	231	0	0	0	0	0	61	16	0	0	1	0	0	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	89	"AWI"	89	5616	6362	6057	0	8	1	0	0	17	1	147	0	0	0	0	0	48	15	0	1	0	0	1	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	93	"AWI"	93	5863	6458	6197	1	11	0	0	0	19	1	154	3	0	0	1	0	91	29	2	0	0	0	2	0	0	0
1608	1659	"Long Lake (CA:Nunavut)"	62.63333	-101.23333	97	"AWI"	97	6034	6590	6343	0	20	0	0	0	26	1	181	2	0	0	0	0	65	27	2	0	0	0	4	0	0	0
