"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Asteraceae"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Isoëtes"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Tsuga"
1618	1670	"Louise Pond"	52.946308	-131.764478	2.5	"AWI"	2.5	-97	152	7.5	0	0	35	0	3	4	4	151	8	1	0	0	381
1618	1670	"Louise Pond"	52.946308	-131.764478	15	"AWI"	15	3	912	285	33	0	32	2	5	1	10	243	12	2	0	2	503
1618	1670	"Louise Pond"	52.946308	-131.764478	25	"AWI"	25	103	1223	547	55	5	36	6	25	2	8	220	16	4	9	3	427
1618	1670	"Louise Pond"	52.946308	-131.764478	35	"AWI"	35	284	1450	821	0	0	33	3	7	2	7	174	13	0	0	0	400
1618	1670	"Louise Pond"	52.946308	-131.764478	45	"AWI"	45	487	1685	1078	0	0	11	7	4	2	6	143	9	2	0	0	309
1618	1670	"Louise Pond"	52.946308	-131.764478	55	"AWI"	55	716	1897	1333	59	0	8	9	19	2	3	163	17	4	8	0	365
1618	1670	"Louise Pond"	52.946308	-131.764478	65	"AWI"	65	951	2083	1594	68	0	15	7	9	1	12	141	21	2	13	4	303
1618	1670	"Louise Pond"	52.946308	-131.764478	75	"AWI"	75	1321	2208	1832	0	0	15	0	12	3	0	180	4	0	0	4	405
1618	1670	"Louise Pond"	52.946308	-131.764478	85	"AWI"	85	1754	2381	2075	48	0	21	0	6	0	2	164	5	1	0	0	331
1618	1670	"Louise Pond"	52.946308	-131.764478	95	"AWI"	95	1956	2784	2336	40	0	16	4	5	1	2	155	12	0	0	0	382
1618	1670	"Louise Pond"	52.946308	-131.764478	105	"AWI"	105	2101	3234	2574	0	0	8	3	8	2	3	131	4	0	0	0	350
1618	1670	"Louise Pond"	52.946308	-131.764478	115	"AWI"	115	2268	3594	2840	53	2	14	3	12	2	4	159	4	6	0	3	342
1618	1670	"Louise Pond"	52.946308	-131.764478	125	"AWI"	125	2477	3790	3108	82	3	24	3	14	4	3	140	9	1	7	7	354
1618	1670	"Louise Pond"	52.946308	-131.764478	135	"AWI"	135	2726	4034	3374	102	0	41	3	22	2	5	164	7	1	0	0	337
1618	1670	"Louise Pond"	52.946308	-131.764478	145	"AWI"	145	2973	4263	3644	50	0	14	2	7	1	10	135	6	0	7	0	287
1618	1670	"Louise Pond"	52.946308	-131.764478	157.5	"AWI"	157.5	3309	4508.5	3972	18	2	18	0	7	2	1	153	1	0	0	3	320
