"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Geraniaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"
1632	1687	"Lake Madjagara"	64.83333	120.96667	10	"AWI"	10	-25	479	174	32	2	0	5	0	111	0	0	9	1	25	0	30	0	1	21	33	0	0	0	9	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	20	"AWI"	20	5	959	366	18	0	1	5	0	73	0	1	2	1	18	0	16	0	16	89	45	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	30	"AWI"	30	181	1137	589	0	0	1	2	0	106	0	0	4	1	24	0	20	0	4	29	32	0	0	0	8	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	40	"AWI"	40	295	1281	834	31	0	1	3	0	117	0	1	6	0	30	0	22	0	2	17	29	0	0	0	9	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	50	"AWI"	50	556	1415	1032	26	0	0	1	0	102	1	0	6	1	25	0	24	0	2	25	19	0	0	1	12	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	60	"AWI"	60	821	1494	1232	0	0	0	3	0	116	0	0	3	1	32	0	24	0	1	26	24	0	0	0	3	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	70	"AWI"	70	974	1608	1388	53	0	1	2	0	83	1	0	5	1	26	0	12	0	3	31	35	0	0	0	13	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	80	"AWI"	80	1061	1689	1458	0	0	0	2	0	88	0	0	2	0	29	0	28	0	4	40	13	0	0	0	7	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	90	"AWI"	90	1131	1806	1525	0	0	1	3	0	93	0	0	4	0	27	0	30	0	4	35	18	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	100	"AWI"	100	1230	1860	1597	28	0	1	2	0	91	1	1	7	1	24	0	27	0	6	32	26	0	0	0	5	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	110	"AWI"	110	1294	1951	1665	0	0	1	1	0	92	0	0	5	0	28	0	28	0	3	51	11	0	0	0	2	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	120	"AWI"	120	1393	1994	1736	28	0	1	1	0	84	0	0	6	1	23	0	20	0	3	38	29	0	0	0	9	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	130	"AWI"	130	1463	2069	1806	33	0	1	1	0	111	0	0	8	0	31	0	31	0	9	31	29	0	0	0	12	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	140	"AWI"	140	1574	2125	1872	33	0	0	9	0	91	0	0	5	2	31	0	19	0	4	34	24	0	0	0	8	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	150	"AWI"	150	1666	2180	1942	46	0	0	2	0	105	0	0	12	1	29	0	4	0	1	30	30	0	0	0	7	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	160	"AWI"	160	1777	2225	2007	46	0	0	5	0	89	0	0	4	0	25	0	2	0	2	34	18	0	0	0	9	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	170	"AWI"	170	1880	2265	2073	0	1	1	8	0	93	0	0	2	1	29	0	16	0	9	48	22	0	0	0	3	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	180	"AWI"	180	1966	2310	2144	49	0	0	0	0	107	2	0	4	4	30	0	6	0	2	23	33	0	0	0	4	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	190	"AWI"	190	2041	2371	2232	44	0	0	2	0	98	0	1	15	1	22	0	23	0	6	24	28	0	0	0	6	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	200	"AWI"	200	2096	2511	2313	62	0	1	1	0	85	1	0	6	1	31	0	22	0	4	22	36	0	0	0	18	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	210	"AWI"	210	2176	2690	2427	53	0	0	1	0	101	0	0	5	0	29	0	9	0	1	30	21	0	0	0	9	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	220	"AWI"	220	2220	2948	2530	0	0	1	5	0	85	0	0	15	0	27	0	12	0	5	32	23	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	230	"AWI"	230	2347	3016	2659	36	0	2	1	0	91	0	0	8	1	25	0	14	0	6	40	25	0	0	0	8	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	240	"AWI"	240	2412	3127	2789	0	0	1	1	0	97	0	0	4	0	28	0	12	0	4	35	28	0	0	0	5	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	250	"AWI"	250	2612	3201	2907	22	1	0	2	0	40	0	0	3	1	13	0	5	0	3	15	13	0	0	0	2	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	260	"AWI"	260	2764	3266	3030	0	1	1	1	0	102	0	0	2	0	23	0	23	0	2	31	18	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	270	"AWI"	270	2891	3352	3139	48	0	0	1	0	109	0	0	7	1	8	0	15	0	3	39	17	0	0	0	6	0
