"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	200	"AWI"	200	8654	10426	9349	4	0	49	1	0	3	0	110	0	0	0	5	407	2	0	0	0	6	0	0	0	0	1	0	3	19	1	0	3	0	0	6	0	0	0	4	0	0	4	1	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	210	"AWI"	210	9053	12159	10111	5	0	80	0	0	5	3	152	0	0	0	0	531	2	0	1	0	5	0	0	1	0	0	0	0	0	0	0	3	0	0	7	0	5	0	0	0	0	3	4	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	220	"AWI"	220	9492	13705	10955	3	0	0	0	0	6	7	91	0	1	0	0	274	19	0	2	0	25	0	0	0	0	0	2	1	16	3	0	37	0	0	2	0	2	0	84	0	0	0	1	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	225	"AWI"	225	9805	14290	11392	2	0	18	0	0	2	4	78	0	1	0	4	251	6	0	0	0	5	0	3	0	0	0	0	0	24	0	43	15	0	0	6	0	4	0	16	0	0	1	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	230	"AWI"	230	9982	15087	11793	4	0	0	0	0	4	0	40	0	0	0	0	79	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	20	0	0	0	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	235	"AWI"	235	10278	15672	12243	1	0	15	0	0	10	7	82	0	1	0	2	226	5	1	1	0	6	0	0	1	0	0	0	5	0	1	0	34	0	0	3	1	0	0	77	0	0	1	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	10	"AWI"	10	-44	932	219	17	0	15	1	1	1	0	127	0	0	0	0	12	5	0	7	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	2	0	0	1	0	0	0	1	0	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	25	"AWI"	25	202	1573	712	25	0	11	0	0	5	0	106	0	1	0	0	7	4	0	0	0	0	0	0	1	0	0	0	1	82	0	0	0	0	0	5	0	0	1	1	0	0	1	1	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	40	"AWI"	40	474	2175	1188	44	0	29	1	0	1	0	359	0	0	0	1	102	16	0	13	0	1	0	0	1	0	0	0	1	117	0	0	1	0	0	6	0	0	0	0	0	0	11	7	0
1636	1691	"Tourbière du lac Malbaie"	47.59722	-70.97639	50	"AWI"	50	690	2507	1505	35	0	11	0	0	1	0	275	2	0	1	0	24	17	0	9	0	4	0	0	3	0	0	0	2	114	2	0	1	0	0	5	0	0	0	0	0	0	9	3	0
