"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1662	1718	"Mayflower Lake"	45.30278	-66.07083	328	"AWI"	328	8602	10975	10039	11	0	7	0	0	0	2	165	0	0	0	0	0	1	1	0	0	1	0	0	9	15	3	0	6	0	19	0	0	4	23	60	0	1	0	43	0	0	0	0	1	0	0	0	3	4
1662	1718	"Mayflower Lake"	45.30278	-66.07083	332	"AWI"	332	8972	11169	10319	4	0	0	1	0	3	0	129	0	0	0	0	0	0	2	1	0	5	0	0	0	28	1	0	5	0	12	0	0	10	22	51	0	2	2	37	0	0	0	1	2	0	1	0	1	2
1662	1718	"Mayflower Lake"	45.30278	-66.07083	336	"AWI"	336	9428	11360	10609	7	0	0	1	0	1	4	145	0	4	0	0	0	0	7	8	0	4	0	0	3	29	2	0	6	0	15	0	0	10	0	39	0	2	3	43	0	0	0	0	1	0	0	0	1	7
1662	1718	"Mayflower Lake"	45.30278	-66.07083	340	"AWI"	340	9915	11545	10899	8	0	0	0	0	0	0	111	0	0	0	0	0	1	4	3	0	0	0	0	4	12	0	0	4	0	19	0	0	2	46	35	0	1	2	44	0	0	0	0	2	0	0	1	0	4
1662	1718	"Mayflower Lake"	45.30278	-66.07083	344	"AWI"	344	10450	11716	11186	0	0	16	0	0	2	7	66	0	1	0	0	0	0	23	7	0	1	0	0	3	10	2	0	3	0	26	0	0	6	47	25	0	2	8	45	0	0	0	0	8	0	0	0	3	1
1662	1718	"Mayflower Lake"	45.30278	-66.07083	347	"AWI"	347	10998	11827	11386	1	0	0	0	0	2	0	76	0	0	0	0	0	1	49	11	1	1	0	0	3	13	4	0	0	0	17	0	0	8	62	38	0	4	3	29	0	0	0	0	10	0	0	0	0	4
1662	1718	"Mayflower Lake"	45.30278	-66.07083	349	"AWI"	349	11218	11934	11531	0	0	0	0	0	2	4	64	0	0	0	0	0	0	26	11	0	3	0	0	0	9	0	0	0	0	23	0	0	0	78	51	0	2	1	14	0	0	0	0	6	0	0	0	3	2
1662	1718	"Mayflower Lake"	45.30278	-66.07083	350	"AWI"	350	11272	12010	11596	0	0	25	1	0	1	0	88	0	1	0	0	1	0	50	16	0	0	1	0	8	26	7	0	1	0	20	0	0	1	81	57	0	4	1	20	0	0	0	0	10	0	0	0	4	5
1662	1718	"Mayflower Lake"	45.30278	-66.07083	351	"AWI"	351	11309	12106	11661	0	0	0	0	0	1	0	67	1	1	0	1	0	0	34	13	0	3	0	0	2	25	7	0	0	0	19	0	1	1	32	82	0	8	1	14	0	0	0	0	15	0	0	0	2	4
1662	1718	"Mayflower Lake"	45.30278	-66.07083	353	"AWI"	353	11363	12358	11787	0	0	25	0	0	4	0	84	0	0	0	0	0	0	0	69	0	0	0	0	1	18	9	0	0	0	19	0	0	1	0	47	0	4	0	5	0	0	0	0	14	0	0	0	0	2
1662	1718	"Mayflower Lake"	45.30278	-66.07083	354	"AWI"	354	11444	12403	11852	1	0	33	1	0	4	0	42	0	0	0	0	0	0	1	77	0	1	0	0	0	12	0	0	0	0	2	0	0	2	31	69	0	3	0	5	0	0	0	0	9	0	0	0	1	2
1662	1718	"Mayflower Lake"	45.30278	-66.07083	355	"AWI"	355	11513	12459	11915	0	0	35	1	0	4	4	53	0	0	0	0	0	0	1	81	0	0	0	0	0	24	0	0	0	0	3	0	0	2	24	75	0	8	0	3	0	0	0	1	14	0	2	0	2	3
1662	1718	"Mayflower Lake"	45.30278	-66.07083	357	"AWI"	357	11587	12609	12047	0	0	0	0	0	2	0	40	0	0	0	0	0	0	5	82	0	0	0	0	1	20	0	0	0	0	1	0	0	0	23	53	0	1	0	2	0	0	0	0	10	0	0	0	1	2
1662	1718	"Mayflower Lake"	45.30278	-66.07083	359	"AWI"	359	11719	12737	12155	0	0	0	0	0	3	0	20	0	0	1	1	0	0	1	91	1	2	0	0	0	22	0	0	0	0	5	0	0	2	38	78	0	6	1	2	0	0	0	1	9	0	0	0	1	1
1662	1718	"Mayflower Lake"	45.30278	-66.07083	361	"AWI"	361	11872	12796	12249	0	0	33	1	0	3	8	27	0	0	2	0	0	1	7	54	1	0	0	0	1	14	0	0	0	0	5	0	0	2	36	107	0	7	2	2	0	0	0	0	8	0	0	0	1	1
