"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cyperaceae"	"Fraxinus"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
1676	1732	"Medicine Lake"	44.98282	-97.352702	2268	"AWI"	2268	8180	9458	9003	0	2	1	9	63	0	0	0	0	1	13	0	0	0	3	0	0	1	49	0	49	0	4	0	12
1676	1732	"Medicine Lake"	44.98282	-97.352702	2274	"AWI"	2274	8333	9616	9148	0	1	3	4	45	0	3	2	0	1	13	0	0	0	2	0	0	0	56	1	17	0	4	0	28
1676	1732	"Medicine Lake"	44.98282	-97.352702	2280	"AWI"	2280	8532	9847	9324	0	1	3	4	34	14	8	3	0	1	25	5	0	1	10	3	0	0	53	0	14	0	1	0	37
1676	1732	"Medicine Lake"	44.98282	-97.352702	2284	"AWI"	2284	8634	9978	9421	0	0	1	5	22	0	8	1	0	3	11	0	0	0	5	5	0	0	31	1	29	0	1	2	49
1676	1732	"Medicine Lake"	44.98282	-97.352702	2288	"AWI"	2288	8731	10104	9520	1	1	0	0	7	0	6	3	0	1	10	0	1	0	5	2	15	0	21	0	38	0	4	0	52
1676	1732	"Medicine Lake"	44.98282	-97.352702	2308	"AWI"	2308	9200	10602	9984	0	2	0	2	5	0	6	4	1	2	3	4	0	0	7	2	12	0	16	0	27	0	1	1	45
1676	1732	"Medicine Lake"	44.98282	-97.352702	2314	"AWI"	2314	9366	10745	10131	0	0	1	1	4	0	13	1	0	1	5	7	2	0	3	5	0	0	9	0	43	0	5	0	25
1676	1732	"Medicine Lake"	44.98282	-97.352702	2322	"AWI"	2322	9563	10933	10320	0	3	2	0	6	0	17	2	1	4	9	0	0	0	6	2	0	0	10	4	57	0	1	0	39
1676	1732	"Medicine Lake"	44.98282	-97.352702	2330	"AWI"	2330	9764	11114	10513	0	1	0	1	4	7	29	0	1	1	5	0	1	0	7	3	0	0	4	0	45	0	2	0	41
1676	1732	"Medicine Lake"	44.98282	-97.352702	2338	"AWI"	2338	9968	11309	10706	0	0	2	1	2	0	41	1	0	0	15	0	0	0	2	2	0	0	12	3	12	0	0	1	26
1676	1732	"Medicine Lake"	44.98282	-97.352702	2342	"AWI"	2342	10062	11393	10799	1	2	2	2	8	0	52	2	0	9	15	4	1	1	3	7	0	0	25	0	19	1	3	0	22
1676	1732	"Medicine Lake"	44.98282	-97.352702	2346	"AWI"	2346	10168	11473	10893	0	2	0	1	9	0	60	0	0	1	3	0	1	0	3	3	0	0	9	1	16	0	0	0	26
1676	1732	"Medicine Lake"	44.98282	-97.352702	2354	"AWI"	2354	10379	11651	11086	1	1	8	3	8	0	47	0	0	9	12	0	1	2	6	24	0	0	16	2	7	0	5	0	16
1676	1732	"Medicine Lake"	44.98282	-97.352702	2362	"AWI"	2362	10606	11819	11278	1	5	7	3	6	0	54	0	0	4	12	0	0	1	8	21	0	0	14	1	22	0	3	0	16
1676	1732	"Medicine Lake"	44.98282	-97.352702	2366	"AWI"	2366	10713	11897	11372	1	3	11	3	11	0	80	0	0	6	14	0	0	0	6	15	0	0	12	1	26	0	15	0	14
1676	1732	"Medicine Lake"	44.98282	-97.352702	2370	"AWI"	2370	10821	11980	11466	2	2	2	1	2	0	76	0	0	0	12	0	0	2	3	20	0	0	12	1	8	0	5	0	12
1676	1732	"Medicine Lake"	44.98282	-97.352702	2380	"AWI"	2380	11097	12177	11714	0	1	6	3	7	0	19	0	0	5	10	0	0	3	3	58	0	0	13	3	5	0	9	0	3
1676	1732	"Medicine Lake"	44.98282	-97.352702	2390	"AWI"	2390	11403	12361	11957	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	52	0	0	3	1	1	0	1	0	0
1676	1732	"Medicine Lake"	44.98282	-97.352702	2400	"AWI"	2400	11695	12548	12200	0	0	0	2	7	0	1	0	0	0	18	0	0	0	4	69	0	0	11	1	2	0	2	0	1
1676	1732	"Medicine Lake"	44.98282	-97.352702	2425	"AWI"	2425	12393	13041	12682	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	16	0	0	5	1	1	0	0	0	0
