"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Dodonaea"	"Ericales"	"Escallonia"	"Gentianaceae"	"Geraniaceae"	"Hedyosmum"	"Hypericaceae"	"Ilex"	"Isoëtes"	"Juglans"	"Montiaceae"	"Myrica"	"Myrsine"	"Myrtaceae"	"Onagraceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Portulacaceae"	"Proteaceae"	"Vallea"	"Weinmannia"
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	10	"AWI"	10	-33	1019	269	12	0	170	8	3	1	49	102	1	0	0	5	0	2	0	0	5	0	1	0	0	0	0	0	417	7	0	0	0	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	20	"AWI"	20	126	1499	681	8	0	160	3	0	1	23	152	0	0	0	0	2	4	0	0	4	0	4	0	0	0	0	0	376	4	0	0	0	2	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	30	"AWI"	30	395	1920	1103	7	0	201	8	0	1	12	245	0	0	0	3	1	6	0	0	5	0	0	0	0	0	0	0	358	11	1	1	0	0	1
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	40	"AWI"	40	736	2220	1513	6	0	190	5	0	2	12	265	1	0	0	4	1	7	0	0	4	0	4	0	0	0	0	0	437	9	2	0	0	3	2
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	45	"AWI"	45	981	2322	1715	2	0	141	1	2	1	4	141	1	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	316	8	0	1	0	0	1
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	50	"AWI"	50	1095	2479	1918	4	0	209	1	0	1	64	119	1	1	0	2	2	9	0	0	3	1	0	0	0	0	0	11	552	21	0	0	0	2	1
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	60	"AWI"	60	1631	2676	2301	6	0	147	6	1	3	41	100	0	1	0	7	1	5	0	0	5	0	2	0	0	0	0	0	372	16	0	0	0	2	3
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	70	"AWI"	70	2402	2995	2677	6	0	190	2	2	3	38	89	0	1	0	7	2	7	0	0	6	0	0	0	0	0	0	0	390	15	3	0	0	3	3
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	75	"AWI"	75	2558	3343	2905	5	0	114	0	0	1	75	95	0	0	0	0	1	3	0	0	2	1	1	0	0	0	0	0	486	11	0	1	0	1	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	80	"AWI"	80	2625	3886	3114	12	0	172	0	0	1	25	76	0	0	0	5	1	9	0	0	3	3	1	0	0	0	0	0	350	16	1	0	0	2	2
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	85	"AWI"	85	2815	4042	3370	10	0	240	3	2	3	36	161	0	0	1	0	1	5	0	0	6	4	1	0	0	0	0	0	447	20	0	3	0	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	90	"AWI"	90	2914	4372	3620	2	0	108	0	0	2	40	160	0	0	0	0	1	13	0	0	0	3	5	0	0	0	0	0	345	18	4	0	0	5	1
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	95	"AWI"	95	3188	4499	3877	10	0	188	2	2	3	25	97	0	0	0	5	0	14	0	0	2	3	4	0	0	0	0	0	409	23	1	0	0	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	110	"AWI"	110	4098	5069	4612	10	0	230	4	4	0	11	348	2	0	0	2	1	9	0	0	42	0	7	0	3	0	0	9	715	14	1	2	0	0	8
