"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	5	"AWI"	5	-89	72	-11	6	0	0	1	0	0	40	28	0	0	0	1	8	39	0	3	0	0	0	0	0	0	1	0	1	66	66	0	0	0	22	0	0	0	0	37	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	20	"AWI"	20	-25	214	107	1	12	0	1	0	2	62	46	1	2	0	1	7	7	0	1	2	3	0	0	0	0	1	0	8	46	56	0	44	0	21	0	0	0	0	10	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	40	"AWI"	40	22	460	262	0	9	7	0	5	7	14	42	2	2	0	1	5	71	0	5	1	0	0	0	0	1	0	0	3	35	20	0	58	0	17	4	4	6	1	35	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	85	"AWI"	85	253	790	523	29	22	114	0	0	0	0	91	0	0	0	10	0	3	0	10	0	2	1	0	0	0	0	0	15	26	16	0	0	10	29	0	1	0	0	44	3
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	150	"AWI"	150	594	1108	823	1	3	95	0	0	0	0	119	1	0	0	3	0	1	0	7	0	7	0	0	0	0	2	0	10	25	26	0	0	0	23	1	2	0	0	47	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	200	"AWI"	200	898	1780	1324	3	15	155	0	0	0	0	60	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	16	23	29	0	1	7	25	0	0	0	0	19	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	250	"AWI"	250	1736	2466	2146	10	19	60	0	0	0	3	137	0	0	0	2	0	2	0	9	0	17	9	0	0	0	0	0	9	23	0	0	2	0	26	0	2	1	0	17	1
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	300	"AWI"	300	2184	2842	2556	38	12	112	0	0	1	0	105	2	0	0	4	1	0	0	5	0	4	0	0	0	0	5	0	11	35	16	0	0	7	14	0	4	0	0	11	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	315	"AWI"	315	2289	2924	2629	13	20	100	0	0	0	0	156	0	0	0	4	0	1	0	9	1	19	8	0	0	0	5	0	7	48	20	0	0	0	16	3	8	0	0	11	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	348	"AWI"	348	2435	3086	2790	19	8	21	0	0	1	0	196	2	0	0	3	2	3	0	6	1	9	0	0	0	0	2	0	3	26	0	0	0	2	20	4	2	0	0	15	0
1707	1763	"Monhegan Island Meadow"	43.76667	-69.3	373	"AWI"	373	2641	3145	2901	2	8	51	0	0	1	0	98	4	0	0	6	2	35	0	9	3	49	0	0	0	0	23	1	5	31	49	0	2	7	39	7	3	0	0	8	2
