"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tsuga"	"Ulmus"
1713	1770	"Mordsger Lake"	51.38333	-94.25	1	"AWI"	1	-64	184	31	0	25	2	0	8	0	15	1	0	0	0	0	2	0	0	0	0	0	1	14	0	0	0	0	50	184	3	0	2	0	0	2	2	0	1	0
1713	1770	"Mordsger Lake"	51.38333	-94.25	10	"AWI"	10	18	1740	475	0	27	1	0	3	0	29	0	0	0	0	2	2	0	0	0	1	0	2	32	0	2	1	0	38	185	6	0	0	0	0	1	0	0	0	0
1713	1770	"Mordsger Lake"	51.38333	-94.25	20	"AWI"	20	270	2633	1097	1	38	1	0	1	0	26	0	0	0	0	1	3	0	0	0	1	0	5	1	0	2	0	0	39	176	1	0	5	0	0	1	1	0	0	1
1713	1770	"Mordsger Lake"	51.38333	-94.25	30	"AWI"	30	620	3338	1747	0	44	0	0	6	0	43	0	0	0	1	0	0	0	0	0	2	0	2	5	0	0	0	1	27	164	6	0	2	0	0	2	0	0	0	1
1713	1770	"Mordsger Lake"	51.38333	-94.25	40	"AWI"	40	1067	4058	2425	1	39	0	0	6	0	41	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	26	176	3	0	1	0	0	0	0	0	0	2
1713	1770	"Mordsger Lake"	51.38333	-94.25	50	"AWI"	50	1566	4623	3042	0	45	2	0	9	0	34	0	0	0	1	2	1	0	0	0	1	0	2	12	0	2	2	0	44	149	3	0	2	0	0	0	0	2	0	0
1713	1770	"Mordsger Lake"	51.38333	-94.25	60	"AWI"	60	2050	5105	3656	1	68	2	0	14	0	45	0	0	0	0	0	0	0	0	0	1	0	0	9	0	1	1	0	22	132	4	1	3	0	0	2	0	0	0	0
1713	1770	"Mordsger Lake"	51.38333	-94.25	70	"AWI"	70	2735	5654	4286	0	58	1	0	7	0	50	0	0	0	1	0	1	0	0	0	3	0	2	0	0	2	2	0	19	142	6	1	0	0	0	2	0	0	0	2
1713	1770	"Mordsger Lake"	51.38333	-94.25	80	"AWI"	80	3355	6062	4891	0	59	2	0	9	0	61	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	2	29	124	4	1	0	0	0	0	2	0	0	1
1713	1770	"Mordsger Lake"	51.38333	-94.25	90	"AWI"	90	4110	6430	5529	1	57	3	0	9	0	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	22	134	3	0	3	0	0	2	0	1	0	0
1713	1770	"Mordsger Lake"	51.38333	-94.25	100	"AWI"	100	5012	6721	6116	2	42	1	0	3	0	39	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	1	2	26	163	6	1	4	0	0	0	0	0	0	1
1713	1770	"Mordsger Lake"	51.38333	-94.25	110	"AWI"	110	6121	6946	6625	0	67	7	0	8	0	75	0	0	0	2	1	1	0	0	0	2	0	5	0	0	0	0	1	27	100	2	0	2	0	0	1	0	0	0	0
1713	1770	"Mordsger Lake"	51.38333	-94.25	120	"AWI"	120	6555	7355	6933	0	63	5	0	9	0	44	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	1	1	12	148	4	0	2	0	0	2	0	1	0	1
1713	1770	"Mordsger Lake"	51.38333	-94.25	130	"AWI"	130	6696	7690	7143	0	52	4	0	10	0	52	0	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	16	132	11	0	3	0	0	4	0	0	0	1
