"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Discaria"	"Drimys"	"Embothrium"	"Ericales"	"Escallonia"	"Fabaceae"	"Gentianaceae"	"Grossulariaceae"	"Gunneraceae"	"Indeterminable"	"Liliaceae"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Pilgerodendron"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Santalaceae"	"Tropaeolaceae"	"Urticaceae"	"Verbenaceae"
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	0	"AWI"	0	-150	17	-69	0	0	0	0	0	1	0	0	1	67	0	24	1	0	0	1	0	0	1	19	0	2	16	0	200	0	0	12	1	1	0	0	4	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	10	"AWI"	10	35	581	250	0	0	0	0	0	0	0	0	0	60	0	1	0	7	0	0	0	0	0	3	0	0	2	0	245	0	0	7	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	20	"AWI"	20	278	990	590	0	0	0	0	0	0	0	0	1	26	1	1	0	9	0	0	0	0	0	9	0	0	1	0	298	0	0	0	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	30	"AWI"	30	549	1389	931	0	0	0	0	0	0	0	0	1	22	0	2	0	0	0	0	0	1	1	4	0	0	5	0	267	0	0	2	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	40	"AWI"	40	840	1765	1272	0	0	1	0	0	0	0	1	0	31	0	1	0	1	0	0	0	0	0	5	0	0	2	0	301	0	0	26	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	50	"AWI"	50	1133	2125	1614	0	0	0	0	0	0	0	0	0	19	0	0	0	1	1	0	0	0	0	6	0	0	1	0	238	0	0	13	0	0	0	4	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	60	"AWI"	60	1445	2474	1945	0	0	1	0	0	0	0	0	0	70	0	1	0	4	0	1	0	0	0	0	0	0	7	0	274	0	1	1	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	70	"AWI"	70	1768	2809	2286	0	0	0	0	0	0	0	0	0	29	1	1	0	3	0	0	0	1	1	1	0	0	8	0	387	0	0	14	0	0	0	0	1	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	80	"AWI"	80	2099	3137	2629	0	0	0	0	0	0	0	0	0	50	0	1	0	6	1	0	0	2	0	2	0	1	5	0	285	0	0	18	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	90	"AWI"	90	2453	3472	2965	0	0	1	0	0	0	0	0	0	15	0	0	0	1	1	3	0	1	0	10	0	1	1	0	274	0	0	8	0	0	0	0	0	0	0	0	0
1714	1771	"Moreno Glacier Bog"	-50.46667	-73	100	"AWI"	100	2806	3771	3306	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	19	0	0	1	1	262	0	0	26	0	0	0	0	0	0	0	0	0
