"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
202	202	"Anderson Lake"	46.41667	-92.71667	755	"AWI"	755	11224	12146	11696	6	0	33	1	4	0	68	1	1	0	0	0	1	10	0	0	0	0	12	0	4	0	0	5	31	90	3	6	0	5	17	0	0	0	5	0	0	0	37	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	760	"AWI"	760	11243	12168	11720	1	0	38	1	5	0	55	0	4	0	0	0	0	5	0	0	0	0	22	0	4	0	0	3	19	109	0	6	0	10	25	0	0	0	7	0	0	0	29	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	770	"AWI"	770	11292	12217	11768	2	0	13	5	6	0	75	0	2	0	2	0	0	9	0	0	0	0	24	0	10	0	0	9	49	152	0	10	0	7	39	0	0	0	9	1	0	0	20	0	1
202	202	"Anderson Lake"	46.41667	-92.71667	780	"AWI"	780	11339	12257	11812	0	0	10	0	14	9	48	1	1	0	0	2	0	5	0	0	0	0	6	0	6	0	0	7	48	101	2	5	0	7	24	0	0	0	12	0	0	1	22	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	790	"AWI"	790	11385	12302	11860	2	0	7	1	17	0	36	1	2	0	0	2	3	9	0	0	0	20	23	0	4	0	0	6	76	129	0	7	0	2	29	0	0	0	16	2	0	0	23	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	800	"AWI"	800	11434	12348	11905	2	0	5	1	15	0	25	0	0	0	0	2	1	7	0	0	0	18	17	4	12	0	0	2	151	111	0	9	0	2	17	1	0	0	5	0	0	0	24	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	810	"AWI"	810	11478	12390	11951	0	0	6	2	14	0	37	0	1	0	2	2	1	20	0	0	0	0	11	0	11	0	0	9	162	61	0	4	0	10	22	0	0	0	5	1	0	0	26	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	820	"AWI"	820	11528	12437	11997	3	0	9	0	14	0	21	1	0	0	0	1	0	23	2	0	0	0	5	0	14	0	1	5	131	48	0	3	0	5	16	2	0	2	16	0	0	0	27	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	830	"AWI"	830	11571	12484	12044	2	4	5	5	19	0	35	1	0	1	0	7	3	17	0	0	0	29	32	0	30	2	1	2	200	43	0	9	0	14	23	1	0	0	20	1	0	0	37	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	835	"AWI"	835	11593	12503	12068	0	0	5	1	4	0	5	0	0	0	0	0	2	10	0	0	0	0	2	0	16	1	0	0	56	12	0	2	0	3	7	0	0	0	6	0	0	0	9	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	840	"AWI"	840	11617	12529	12091	0	0	9	3	15	0	24	1	0	0	0	7	5	20	0	0	0	0	17	0	19	0	0	6	130	14	0	4	1	14	18	0	0	0	10	0	1	0	27	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	845	"AWI"	845	11641	12552	12113	0	0	2	0	2	0	7	0	0	0	0	0	2	9	0	0	0	0	2	0	9	3	0	0	47	4	0	1	0	3	3	1	0	0	4	0	0	0	3	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	850	"AWI"	850	11659	12575	12138	6	0	9	5	9	6	41	1	2	0	1	4	5	18	0	0	0	0	41	0	20	1	0	6	188	15	0	8	0	10	20	4	0	0	23	1	1	0	44	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	860	"AWI"	860	11700	12618	12186	2	0	7	4	17	0	39	0	0	1	0	4	0	38	0	0	0	14	14	0	21	0	0	4	184	19	0	15	0	4	16	11	0	0	9	0	0	0	17	7	0
