"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Syringa"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
251	256	"Belaya Skala Exposure"	43.25	134.56667	10	"AWI"	10	-46	1138	284	0	0	76	2	1	2	4	0	0	0	1	104	0	1	2	0	3	2	0	0	1	0	0	4	53	1	1	0	1	11	1	1	1	0	4	1	10	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	40	"AWI"	40	544	2903	1603	1	0	0	0	0	13	11	0	1	0	0	0	3	0	2	0	16	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	60	"AWI"	60	1189	3820	2502	2	0	101	1	0	6	2	0	3	0	1	0	0	0	3	0	0	6	0	0	0	3	0	0	0	1	3	84	0	0	0	0	0	0	0	2	4	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	100	"AWI"	100	3110	4992	4242	1	0	20	1	0	1	1	0	1	0	0	72	1	0	0	0	0	1	0	0	0	0	0	2	0	5	0	0	1	0	0	2	1	0	0	0	5	1
251	256	"Belaya Skala Exposure"	43.25	134.56667	110	"AWI"	110	3889	5224	4625	0	0	0	1	0	7	1	0	0	0	0	9	1	0	2	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	10	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	140	"AWI"	140	4976	6056	5567	0	0	100	0	2	6	4	0	0	0	1	100	0	0	1	0	1	6	0	1	0	0	0	0	0	1	2	0	4	23	1	4	1	0	1	1	6	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	160	"AWI"	160	5452	6463	6028	1	1	0	1	0	9	0	0	0	0	1	15	0	0	0	0	0	12	0	0	0	3	0	0	0	26	1	0	0	0	0	0	0	0	0	1	10	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	180	"AWI"	180	5769	6741	6291	1	1	26	1	2	11	2	0	0	0	1	43	0	1	0	0	0	1	0	0	0	1	0	0	0	36	0	0	2	0	0	8	8	0	0	1	7	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	195	"AWI"	195	6027	6943	6490	0	0	11	1	1	8	2	0	2	0	3	48	1	0	0	0	0	1	1	0	0	2	1	0	0	21	0	0	3	0	0	3	8	0	0	0	18	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	200	"AWI"	200	6110	6997	6556	1	0	0	1	0	6	0	0	0	0	3	21	0	1	3	0	0	19	0	0	0	2	2	0	0	10	0	0	0	0	0	0	0	0	0	0	14	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	205	"AWI"	205	6166	7067	6619	0	0	30	0	0	12	1	0	0	0	2	42	0	0	0	0	0	0	1	0	0	2	0	0	0	24	0	0	0	0	1	6	9	1	0	1	10	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	210	"AWI"	210	6292	7122	6688	1	0	21	2	1	1	2	0	0	0	0	50	0	0	4	0	0	5	0	1	0	1	0	2	0	2	2	0	2	0	2	4	4	0	2	0	4	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	215	"AWI"	215	6374	7188	6763	1	0	47	0	1	4	3	0	0	1	3	40	1	0	0	1	0	5	1	1	0	3	0	0	14	10	0	0	1	0	0	5	9	7	0	0	12	0
251	256	"Belaya Skala Exposure"	43.25	134.56667	220	"AWI"	220	6434	7308	6835	0	0	0	0	0	5	0	0	0	0	2	11	0	0	0	0	0	20	0	0	0	0	4	6	34	2	3	147	0	0	0	0	0	1	0	0	16	0
