"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cephalanthus"	"Clethra"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Liquidambar"	"Liriodendron"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Vitaceae"
275	281	"BL-Tombigbee"	33.56333	-88.47444	1	"AWI"	1	-117	39	-40	0	9	2	0	0	0	5	2	0	0	0	0	4	8	0	0	0	4	0	0	8	0	20	0	3	0	0	1	0	0	0	33	0	0	1	0	2	0	6	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	5	"AWI"	5	-8	158	79	0	2	0	0	0	0	5	0	1	0	0	0	3	5	0	0	0	5	0	0	8	0	25	0	0	0	0	1	0	0	0	31	0	0	0	0	0	0	2	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	10	"AWI"	10	91	341	232	0	9	1	0	0	1	3	0	0	0	0	0	0	24	0	0	0	0	0	0	8	0	27	0	1	0	0	0	0	1	0	43	0	0	0	0	0	0	2	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	15	"AWI"	15	167	537	384	0	1	1	1	11	0	5	0	0	0	0	0	0	13	0	0	0	6	0	0	8	0	37	0	0	0	0	0	0	1	0	54	0	0	0	0	0	0	0	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	20	"AWI"	20	241	737	536	0	1	2	1	15	1	4	0	0	0	0	0	1	17	0	0	1	0	0	0	6	0	52	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	30	"AWI"	30	1028	1511	1326	0	3	2	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0	11	0	73	0	1	0	0	0	0	1	0	79	0	0	1	0	0	0	1	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	40	"AWI"	40	1608	2418	2148	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	81	0	0	0	0	0	0	0	0	49	0	0	0	0	1	0	0	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	48	"AWI"	48	1721	2529	2211	0	0	1	0	0	5	38	0	4	0	0	0	0	0	0	0	0	1	0	0	10	0	8	0	0	0	0	0	8	3	0	112	0	0	6	0	3	1	1	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	102	"AWI"	102	2250	3555	2653	0	0	1	0	0	1	17	0	1	0	0	0	0	0	0	0	1	0	1	0	7	0	27	0	0	0	0	0	0	0	0	77	0	0	6	0	0	0	1	0	2
275	281	"BL-Tombigbee"	33.56333	-88.47444	105	"AWI"	105	2293	3610	2677	0	0	0	0	0	2	33	1	1	0	0	0	0	0	0	1	0	0	0	0	9	0	24	0	2	0	0	0	3	1	0	85	0	0	0	0	1	0	5	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	112	"AWI"	112	2369	3717	2735	0	1	0	0	0	3	26	0	5	1	0	0	0	0	0	0	1	6	0	0	3	0	13	0	2	0	0	0	0	1	0	89	0	0	2	0	0	0	3	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	117	"AWI"	117	2414	3826	2775	0	0	0	0	0	2	28	1	2	0	0	0	0	1	0	1	1	0	0	2	13	0	8	0	2	0	0	1	0	3	0	148	0	0	16	0	6	0	12	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	123	"AWI"	123	2754	4189	2985	0	3	0	0	0	3	14	0	2	0	0	2	0	0	0	1	1	0	2	0	5	1	2	0	2	0	0	0	0	1	0	110	0	0	12	0	2	0	3	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	127	"AWI"	127	2837	4675	3251	0	1	0	1	0	0	20	1	1	3	0	0	0	0	0	1	2	7	0	0	7	0	6	0	0	0	0	2	0	0	0	109	1	0	3	0	0	0	7	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	132	"AWI"	132	2903	5499	3548	0	3	0	0	0	4	23	1	8	1	0	1	0	0	0	3	0	9	0	0	2	0	2	0	0	0	0	0	0	0	0	87	0	0	3	0	0	0	6	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	142	"AWI"	142	3652	7283	4597	0	28	0	0	0	1	8	3	3	0	0	0	0	0	0	3	0	3	0	0	2	0	0	0	4	0	0	1	0	0	0	93	0	0	4	0	0	0	3	0	3
275	281	"BL-Tombigbee"	33.56333	-88.47444	147	"AWI"	147	5307	7924	6007	0	8	0	0	0	2	17	1	7	0	0	0	0	0	0	6	0	1	0	0	4	0	3	0	2	0	0	1	0	0	0	107	0	0	4	0	0	0	3	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	152	"AWI"	152	6918	8634	7425	0	2	0	0	0	2	9	0	6	0	0	0	1	2	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	1	0	78	1	0	19	0	0	0	5	0	3
275	281	"BL-Tombigbee"	33.56333	-88.47444	157	"AWI"	157	8477	9399	8841	0	0	0	0	0	0	11	1	3	0	0	0	0	0	4	4	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	111	0	0	4	0	0	0	9	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	166	"AWI"	166	9540	10231	9850	0	1	0	0	0	2	13	0	6	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	2	0	0	0	94	0	0	3	1	0	0	7	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	172	"AWI"	172	9638	10503	10045	0	0	0	0	0	1	19	0	0	0	0	1	0	2	0	6	2	0	1	0	0	0	1	0	2	0	0	0	0	0	0	102	0	0	3	0	0	0	8	1	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	177	"AWI"	177	9684	10824	10200	0	1	0	0	0	4	20	1	0	0	0	0	0	0	0	4	2	0	0	0	1	0	1	0	5	0	0	0	0	1	0	90	0	0	1	0	0	0	6	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	182	"AWI"	182	9801	11049	10342	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	10	1	0	0	0	5	0	0	0	4	0	0	1	0	1	0	84	0	0	0	0	0	0	17	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	202	"AWI"	202	10405	11589	10957	0	3	0	0	0	0	9	2	1	0	1	0	0	1	0	7	1	1	0	4	2	0	6	1	0	0	0	0	0	0	0	82	0	0	1	0	0	0	8	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	220	"AWI"	220	10938	12918	11647	0	0	0	0	0	1	20	13	0	0	1	0	0	1	0	9	3	0	0	0	1	0	1	0	4	1	6	3	0	0	1	106	1	0	0	0	0	0	23	0	2
275	281	"BL-Tombigbee"	33.56333	-88.47444	230	"AWI"	230	11219	13833	12190	0	1	0	0	0	2	9	3	0	0	0	0	0	0	0	2	6	1	0	0	1	0	0	0	4	0	0	1	0	0	0	85	0	0	1	1	0	0	11	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	240	"AWI"	240	11352	15351	12660	0	3	0	1	0	1	9	1	0	0	0	0	3	0	0	5	4	2	1	0	1	0	1	0	2	0	0	1	0	0	0	84	0	0	2	0	0	0	6	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	244	"AWI"	244	11565	15552	12890	0	0	0	0	0	11	35	4	3	0	1	1	2	2	0	3	4	3	0	0	0	0	0	0	1	0	0	10	0	1	1	152	2	0	1	0	0	0	8	0	0
275	281	"BL-Tombigbee"	33.56333	-88.47444	249	"AWI"	249	11713	15941	13170	0	1	0	1	0	9	15	5	0	0	0	0	5	2	0	5	5	0	0	0	2	0	0	0	0	0	0	8	0	0	0	85	0	0	3	2	0	0	8	0	0
