"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Larix"	"Morus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Taxus"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
304	311	"Brisay 2"	54.35583	-70.35778	143	"AWI"	143	6435	7495	6949	0	0	454	0	1	0	52	0	4	3	1	0	0	0	0	0	4	0	0	0	0	15	0	1	0	0	0	0	0	4	0	0	0	1	0
304	311	"Brisay 2"	54.35583	-70.35778	0	"AWI"	0	-145	22	-65	0	0	179	0	0	0	100	0	3	4	0	2	0	1	6	0	2	0	1	1	0	107	0	10	0	0	1	0	0	0	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	10	"AWI"	10	172	897	479	1	0	0	2	4	3	115	0	14	3	0	0	0	0	9	0	1	0	3	0	0	169	0	0	0	0	1	0	5	1	0	0	0	1	0
304	311	"Brisay 2"	54.35583	-70.35778	20	"AWI"	20	638	1486	1050	1	0	161	0	1	2	116	0	14	3	0	0	0	0	11	0	3	0	0	0	0	121	13	6	0	0	1	0	2	1	0	0	0	0	1
304	311	"Brisay 2"	54.35583	-70.35778	30	"AWI"	30	1214	1985	1618	3	0	231	0	0	0	117	0	15	5	0	1	0	0	14	0	1	1	3	0	0	150	18	6	0	0	1	0	1	3	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	40	"AWI"	40	1832	2463	2152	7	0	183	0	0	0	101	0	12	2	0	1	0	0	13	0	2	0	4	0	1	137	0	6	0	2	0	0	0	1	0	0	0	1	1
304	311	"Brisay 2"	54.35583	-70.35778	50	"AWI"	50	2221	3108	2629	6	0	152	0	1	0	136	0	12	5	0	0	0	0	21	0	1	0	1	0	0	164	0	6	0	0	2	0	0	1	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	60	"AWI"	60	2644	3631	3117	11	0	247	0	1	0	164	0	10	4	0	0	0	0	8	0	2	0	7	0	0	165	16	9	0	0	0	0	1	3	0	1	0	2	0
304	311	"Brisay 2"	54.35583	-70.35778	70	"AWI"	70	3104	4121	3604	8	0	218	0	4	0	177	0	14	3	0	0	0	0	4	0	2	0	3	0	0	112	13	4	0	0	0	0	0	1	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	80	"AWI"	80	3583	4563	4088	5	0	273	0	4	6	194	0	20	2	1	1	1	0	1	0	2	0	5	0	0	146	12	3	0	0	0	0	3	3	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	85	"AWI"	85	3856	4777	4333	1	0	208	0	2	2	135	0	11	1	0	3	0	0	1	0	0	0	1	0	0	114	0	1	0	0	0	0	0	0	0	0	0	2	0
304	311	"Brisay 2"	54.35583	-70.35778	90	"AWI"	90	4125	4984	4580	8	0	230	0	1	0	58	0	20	1	1	1	0	0	0	0	1	0	0	0	0	123	0	3	0	0	0	0	0	1	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	95	"AWI"	95	4413	5184	4812	2	0	153	1	0	0	157	0	8	1	0	0	0	0	2	0	1	0	0	0	0	97	0	1	1	0	1	0	1	2	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	100	"AWI"	100	4651	5412	5034	3	0	190	1	0	0	200	0	14	2	0	0	0	0	2	0	0	0	1	0	0	100	0	2	0	0	1	0	0	3	1	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	110	"AWI"	110	5020	5951	5477	7	0	292	0	2	0	314	0	22	1	0	0	0	0	3	3	1	0	1	0	0	130	14	6	0	0	0	0	0	1	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	120	"AWI"	120	5439	6433	5925	4	0	212	0	3	0	247	0	4	0	0	0	0	0	1	3	2	0	0	0	0	68	8	9	0	0	1	0	2	14	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	130	"AWI"	130	5872	6891	6374	0	0	227	1	0	0	432	0	4	0	0	1	0	0	1	0	2	0	0	0	0	90	0	0	0	0	1	2	1	2	0	0	1	2	0
304	311	"Brisay 2"	54.35583	-70.35778	135	"AWI"	135	6094	7110	6592	0	0	171	0	2	0	200	0	0	0	0	1	0	0	0	0	1	0	0	0	0	66	0	3	0	0	0	0	0	0	0	0	0	0	0
304	311	"Brisay 2"	54.35583	-70.35778	140	"AWI"	140	6328	7331	6817	0	0	519	1	2	0	59	1	10	4	0	0	0	0	0	0	11	0	1	0	0	13	0	3	0	0	0	0	0	3	0	0	0	0	0
