"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Morus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
322	329	"Saint-Calixte"	45.96111	-73.86806	584	"AWI"	584	10808	11708	11236	3	0	0	1	0	4	0	0	122	0	0	0	0	3	0	24	0	0	0	0	0	0	8	0	0	1	0	73	0	1	0	0	3	0	198	0	16	0	0	0	0	0	0	0	1	0	0	6	0
322	329	"Saint-Calixte"	45.96111	-73.86806	594	"AWI"	594	10913	11995	11401	0	0	12	0	0	5	0	0	169	0	0	0	0	0	0	23	0	5	3	0	0	0	8	0	4	0	0	2	0	0	0	0	3	0	48	0	10	0	1	0	0	0	0	0	0	0	2	3	0
322	329	"Saint-Calixte"	45.96111	-73.86806	600	"AWI"	600	10966	12185	11503	5	0	9	0	0	17	0	0	71	1	0	0	0	8	0	32	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	0	38	1	0	0	28	0	6	0	0	0	0	2	0	1	1	3	0
322	329	"Saint-Calixte"	45.96111	-73.86806	605	"AWI"	605	11042	12293	11593	1	0	19	2	1	18	0	0	112	4	2	0	0	4	0	37	1	1	2	32	0	3	1	0	13	0	0	1	1	2	0	0	57	2	16	0	69	0	2	0	37	0	0	3	0	0	1	8	0
322	329	"Saint-Calixte"	45.96111	-73.86806	610	"AWI"	610	11090	12446	11679	3	0	30	1	0	18	0	0	63	0	0	1	0	2	0	16	0	0	1	0	0	3	3	0	5	2	0	0	0	1	0	0	65	0	13	0	23	0	2	0	0	0	0	6	0	1	0	1	0
322	329	"Saint-Calixte"	45.96111	-73.86806	615	"AWI"	615	11161	12557	11767	0	0	59	1	0	12	0	0	84	2	1	3	0	0	0	11	0	2	2	0	0	2	4	0	15	1	0	0	0	0	0	0	30	1	8	0	25	0	2	0	0	0	0	0	0	1	1	8	0
322	329	"Saint-Calixte"	45.96111	-73.86806	620	"AWI"	620	11217	12698	11850	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	1	1	2	0
322	329	"Saint-Calixte"	45.96111	-73.86806	625	"AWI"	625	11304	12781	11941	1	0	41	0	0	7	0	0	87	2	1	1	0	0	0	18	0	0	0	0	0	4	5	0	19	0	0	2	0	1	0	0	13	0	0	0	18	0	1	0	0	0	0	0	0	0	0	4	0
322	329	"Saint-Calixte"	45.96111	-73.86806	629	"AWI"	629	11345	12887	12008	2	0	7	0	0	0	0	0	96	1	0	1	0	4	1	26	0	0	10	0	0	0	0	0	5	1	0	1	0	3	0	0	7	1	0	0	10	0	0	0	0	0	0	0	0	0	1	4	0
322	329	"Saint-Calixte"	45.96111	-73.86806	5	"AWI"	5	-93	294	36	8	0	13	0	0	6	0	0	339	1	1	1	0	4	0	3	0	1	58	0	0	1	0	0	0	4	0	1	0	3	0	0	16	0	0	0	20	0	0	15	0	0	0	1	0	1	35	8	0
