"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Thalictrum"	"Tsuga"
336	343	"Carp Lake"	45.91806	-120.88056	0	"AWI"	0	-136	37	-51	6	0	10	1	1	6	0	0	2	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	26	12	0	0	0	0	0	0	0	14
336	343	"Carp Lake"	45.91806	-120.88056	8	"AWI"	8	-50	817	192	10	0	20	0	1	5	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	2	0	0	1	140	0	7	0	0	0	43	5	0	0	0	0	0	0	0	18
336	343	"Carp Lake"	45.91806	-120.88056	18	"AWI"	18	97	1537	571	6	0	0	2	1	12	0	0	1	0	0	0	0	7	12	0	0	0	0	3	0	10	0	0	2	180	0	12	0	0	0	29	12	0	2	0	0	0	0	0	18
336	343	"Carp Lake"	45.91806	-120.88056	28	"AWI"	28	270	2222	964	7	0	0	1	1	3	0	0	0	0	0	0	0	4	29	0	0	0	0	0	0	4	0	0	0	230	0	10	0	0	0	55	5	0	0	0	0	0	0	31	21
336	343	"Carp Lake"	45.91806	-120.88056	38	"AWI"	38	456	2523	1351	4	0	0	0	2	3	0	0	1	0	0	0	0	0	6	0	0	0	0	3	0	3	1	0	3	247	0	6	0	0	0	31	5	0	1	0	1	0	1	0	19
336	343	"Carp Lake"	45.91806	-120.88056	48	"AWI"	48	716	2889	1708	4	0	10	2	1	1	0	0	1	1	0	0	0	4	15	0	0	0	0	1	0	3	0	0	1	310	0	6	0	0	0	48	10	0	0	0	0	0	0	0	13
336	343	"Carp Lake"	45.91806	-120.88056	53	"AWI"	53	852	3094	1891	9	0	8	0	0	3	0	0	2	0	0	0	0	7	14	0	0	0	0	1	0	3	0	0	1	429	0	10	0	0	0	55	19	0	0	0	0	0	1	0	30
336	343	"Carp Lake"	45.91806	-120.88056	58	"AWI"	58	1057	3217	2085	44	0	0	1	0	1	0	0	0	0	0	0	0	3	118	0	0	0	0	7	0	3	0	0	2	285	0	32	0	0	0	12	4	0	0	0	1	0	0	0	11
336	343	"Carp Lake"	45.91806	-120.88056	64	"AWI"	64	1202	3491	2312	8	0	7	0	1	3	0	0	1	0	0	0	0	14	21	0	0	0	0	0	0	6	0	0	1	299	0	6	0	0	0	28	12	0	0	0	1	0	0	0	13
336	343	"Carp Lake"	45.91806	-120.88056	70	"AWI"	70	1407	3650	2507	4	0	17	0	3	1	0	0	0	0	0	0	0	10	16	0	0	0	0	2	0	5	0	0	1	481	0	25	0	0	0	44	26	0	0	0	2	0	0	0	16
336	343	"Carp Lake"	45.91806	-120.88056	81	"AWI"	81	1789	4022	2898	9	0	0	1	9	3	0	0	0	3	0	0	0	2	277	0	0	0	0	4	4	2	0	0	2	310	0	27	0	0	0	26	10	0	0	0	4	0	0	0	11
336	343	"Carp Lake"	45.91806	-120.88056	88	"AWI"	88	1996	4259	3174	3	0	11	0	42	2	0	0	0	0	0	2	0	3	5	0	0	1	1	1	22	6	1	0	1	0	0	9	0	0	0	16	21	0	0	0	1	0	0	0	7
336	343	"Carp Lake"	45.91806	-120.88056	95	"AWI"	95	2354	4446	3445	7	0	10	2	23	5	0	0	0	0	0	0	0	5	0	0	0	0	0	1	369	5	0	0	1	0	0	8	0	0	0	7	12	0	0	0	0	0	0	0	5
336	343	"Carp Lake"	45.91806	-120.88056	103	"AWI"	103	2690	4719	3727	6	0	16	1	20	4	0	0	0	0	0	0	0	5	1	0	0	0	0	0	27	10	0	0	0	199	0	10	0	0	0	10	25	0	0	0	1	0	0	0	9
336	343	"Carp Lake"	45.91806	-120.88056	108	"AWI"	108	2920	4853	3910	6	0	15	2	18	4	0	0	0	0	0	0	0	6	1	0	0	0	0	1	0	1	0	1	1	253	0	5	0	0	0	4	8	0	0	0	0	0	0	0	14
336	343	"Carp Lake"	45.91806	-120.88056	119	"AWI"	119	3302	5308	4310	10	0	16	0	1	4	0	0	0	0	0	0	0	7	8	0	0	0	1	2	0	4	0	0	0	211	0	7	0	0	0	12	27	0	0	0	1	0	0	0	5
336	343	"Carp Lake"	45.91806	-120.88056	128	"AWI"	128	3629	5602	4643	7	0	4	1	1	2	0	0	0	0	0	0	2	3	3	0	0	0	2	0	71	4	0	0	0	237	0	8	0	0	0	5	15	0	0	0	1	0	0	0	8
336	343	"Carp Lake"	45.91806	-120.88056	138	"AWI"	138	3992	5869	5002	2	0	0	6	3	10	0	0	0	0	0	0	2	5	8	0	0	0	0	3	47	1	0	0	1	0	0	11	0	0	0	25	13	0	0	3	3	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	148	"AWI"	148	4373	6116	5366	5	0	19	1	63	6	0	0	1	0	0	0	0	4	0	0	0	0	0	2	0	1	1	2	1	295	0	8	0	0	0	7	24	0	0	0	2	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	158	"AWI"	158	4752	6345	5742	0	0	15	3	0	9	0	0	1	1	0	0	0	5	4	0	0	0	0	1	0	0	0	1	2	258	0	12	0	0	0	6	9	0	0	0	1	0	0	0	4
336	343	"Carp Lake"	45.91806	-120.88056	168	"AWI"	168	5175	6553	6105	6	1	9	1	20	10	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0	320	0	15	0	0	0	10	10	0	0	0	1	0	0	0	4
336	343	"Carp Lake"	45.91806	-120.88056	178	"AWI"	178	6099	6649	6410	4	1	0	1	1	3	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	290	0	14	0	0	0	2	9	0	0	0	0	0	0	0	2
336	343	"Carp Lake"	45.91806	-120.88056	183	"AWI"	183	6341	6736	6559	3	0	0	1	1	4	0	0	0	0	0	0	0	3	22	0	0	0	0	3	0	0	0	0	0	353	0	10	0	0	0	3	12	0	0	0	4	0	0	0	7
336	343	"Carp Lake"	45.91806	-120.88056	198	"AWI"	198	6602	7260	6872	3	0	4	2	0	1	0	0	1	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	1	303	0	12	0	0	0	2	7	0	0	0	2	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	208	"AWI"	208	6712	7512	7060	2	0	0	2	0	4	0	0	1	0	0	0	0	1	17	0	0	0	0	2	0	3	0	0	0	318	0	11	0	0	0	2	4	0	0	2	1	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	218	"AWI"	218	6853	7693	7271	8	0	17	4	4	4	0	0	0	2	0	0	0	5	80	0	0	1	0	2	0	4	0	0	0	289	0	23	0	0	0	2	7	0	0	2	3	0	0	0	2
336	343	"Carp Lake"	45.91806	-120.88056	223	"AWI"	223	6989	7778	7362	6	0	14	3	20	12	0	0	0	0	0	1	0	1	49	0	0	0	0	2	0	0	0	2	0	195	0	61	0	0	0	0	4	0	0	2	3	2	0	0	4
336	343	"Carp Lake"	45.91806	-120.88056	235	"AWI"	235	7266	7976	7603	4	0	25	11	16	9	0	0	1	0	0	0	0	0	72	0	0	0	0	4	2	2	0	0	4	487	0	42	0	0	0	6	25	0	0	12	5	0	0	0	4
336	343	"Carp Lake"	45.91806	-120.88056	237	"AWI"	237	7340	8006	7646	3	0	9	2	55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	135	0	5	0	0	0	2	3	0	0	1	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	238	"AWI"	238	7372	8024	7669	4	0	10	0	3	4	0	0	0	0	0	1	0	4	4	0	0	0	0	6	0	2	0	0	0	245	0	5	0	0	0	0	10	0	0	0	1	0	0	0	8
336	343	"Carp Lake"	45.91806	-120.88056	243	"AWI"	243	7472	8138	7775	0	0	14	2	2	2	0	0	0	0	0	0	0	2	10	0	0	0	0	2	0	2	0	0	0	285	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	248	"AWI"	248	7560	8274	7892	4	0	14	4	89	3	0	0	1	0	0	1	0	7	4	0	0	0	0	1	0	5	0	1	1	0	0	20	0	0	0	2	13	0	0	0	0	1	0	1	6
336	343	"Carp Lake"	45.91806	-120.88056	258	"AWI"	258	7691	8736	8123	6	0	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	3	110	0	6	0	0	0	3	6	0	0	1	1	0	0	0	6
336	343	"Carp Lake"	45.91806	-120.88056	268	"AWI"	268	7881	8976	8391	14	0	14	6	15	3	0	0	0	0	0	0	0	2	6	0	0	0	0	2	6	1	0	1	7	262	0	6	0	0	0	5	6	0	0	1	1	0	0	0	4
336	343	"Carp Lake"	45.91806	-120.88056	278	"AWI"	278	8109	9247	8634	0	0	0	5	1	8	0	0	0	0	0	0	0	0	3	0	0	0	0	40	0	0	0	1	3	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	283	"AWI"	283	8180	9372	8767	0	0	10	0	3	9	0	0	0	1	0	0	0	0	1	0	0	0	0	17	40	3	0	1	0	0	0	22	0	0	0	5	1	0	0	3	0	0	1	0	2
336	343	"Carp Lake"	45.91806	-120.88056	293	"AWI"	293	8468	9645	9004	2	0	7	54	0	101	0	1	0	1	0	0	0	0	0	0	0	0	0	28	3	0	1	0	16	0	0	84	0	0	0	3	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	298	"AWI"	298	8621	9823	9142	0	0	4	0	2	5	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	4	0	0	1	0	1	12	0	0	0	3	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	308	"AWI"	308	9123	10270	9518	0	0	0	52	0	114	0	0	0	0	0	0	1	0	2	0	0	0	0	37	0	2	0	0	12	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	310	"AWI"	310	9158	10415	9585	1	0	13	32	4	246	0	0	3	1	1	0	0	0	3	0	0	0	0	21	0	0	1	0	6	0	0	63	0	0	0	0	0	0	0	0	6	0	0	2	0
336	343	"Carp Lake"	45.91806	-120.88056	320	"AWI"	320	9674	11760	10621	0	0	0	54	2	74	0	0	0	3	0	0	0	0	14	0	0	0	0	59	0	1	0	1	14	0	0	73	0	0	0	0	0	0	0	0	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	328	"AWI"	328	10013	12801	11273	3	0	0	2	0	109	0	0	0	2	0	0	0	0	8	1	0	0	0	4	0	0	0	0	22	69	1	118	0	0	0	0	0	0	0	0	3	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	351	"AWI"	351	11142	15581	13016	3	0	0	0	0	65	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	22	0	0	84	2	0	0	0	0	0	0	0	1	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	361	"AWI"	361	11683	16221	13763	2	0	5	8	8	102	0	0	0	1	4	0	0	0	13	1	0	0	0	3	2	1	0	1	13	45	0	91	2	0	0	1	1	0	1	0	0	0	0	0	1
