"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Cactaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Solanaceae"
483	495	"Cerro Calvario"	-16.25	-68.5	1050	"AWI"	1050	4981	5527	5282	1	6	0	0	2	0	0	2	0	1	0	0	0	0	92	6	3
483	495	"Cerro Calvario"	-16.25	-68.5	1440	"AWI"	1440	5721	6538	6128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	1500	"AWI"	1500	5860	6658	6260	0	0	0	0	0	1	1	1	0	0	1	0	0	0	17	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	1670	"AWI"	1670	6260	7027	6641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	1760	"AWI"	1760	6490	7188	6844	0	0	0	0	0	1	0	2	1	0	0	8	1	0	74	2	1
483	495	"Cerro Calvario"	-16.25	-68.5	1800	"AWI"	1800	6607	7258	6937	1	2	0	0	0	1	0	2	0	1	0	13	0	0	70	1	1
483	495	"Cerro Calvario"	-16.25	-68.5	1850	"AWI"	1850	6729	7384	7072	2	2	0	0	0	1	2	1	0	0	0	3	1	0	89	3	2
483	495	"Cerro Calvario"	-16.25	-68.5	1910	"AWI"	1910	6889	7540	7241	0	3	0	0	1	3	0	2	0	0	0	13	1	0	108	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	1960	"AWI"	1960	7032	7659	7382	0	6	0	0	0	2	44	3	0	2	0	2	0	0	72	0	1
483	495	"Cerro Calvario"	-16.25	-68.5	2050	"AWI"	2050	7374	7837	7619	1	4	0	32	3	4	2	2	0	0	1	3	1	0	54	3	0
483	495	"Cerro Calvario"	-16.25	-68.5	2100	"AWI"	2100	7464	8034	7723	0	6	5	0	3	4	2	9	0	0	0	8	0	0	48	2	0
483	495	"Cerro Calvario"	-16.25	-68.5	2140	"AWI"	2140	7534	8183	7813	0	5	0	0	3	0	0	1	0	0	2	3	0	0	80	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	2180	"AWI"	2180	7607	8328	7905	0	4	0	0	1	1	2	2	0	0	0	2	1	0	51	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	2220	"AWI"	2220	7668	8457	8000	0	0	0	0	0	1	1	6	0	0	1	5	0	0	114	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	2260	"AWI"	2260	7733	8585	8094	0	0	0	0	2	3	0	3	0	0	0	5	0	0	79	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	2300	"AWI"	2300	7790	8717	8186	0	3	0	0	2	1	3	8	0	0	3	41	1	0	71	1	0
483	495	"Cerro Calvario"	-16.25	-68.5	2340	"AWI"	2340	7855	8842	8285	0	0	0	0	0	0	2	3	0	2	0	1	0	0	21	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	2380	"AWI"	2380	7926	8971	8380	1	0	0	0	7	0	1	1	0	1	3	2	1	0	83	0	0
483	495	"Cerro Calvario"	-16.25	-68.5	2420	"AWI"	2420	8001	9083	8473	0	0	0	0	0	2	3	0	0	4	1	22	0	1	82	2	0
483	495	"Cerro Calvario"	-16.25	-68.5	2480	"AWI"	2480	8103	9275	8618	0	0	0	0	0	1	1	1	0	2	0	11	0	0	30	0	0
