"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
484	496	"Coghill Lake"	53.9	-66.76667	565	"AWI"	565	-114	53	-34	2	0	51	0	4	0	40	23	0	3	0	0	1	7	0	0	0	21	66	0	3	2	0	4	0	23	3	0	0	0	0	0	0	0	0	2
484	496	"Coghill Lake"	53.9	-66.76667	579	"AWI"	579	82	808	365	1	0	56	0	4	0	30	17	0	0	0	0	0	2	2	0	0	7	68	0	1	0	0	1	0	16	3	1	1	0	0	0	0	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	593	"AWI"	593	377	1332	782	4	0	0	0	3	0	46	23	0	1	0	0	0	6	2	0	0	17	98	0	3	0	1	4	0	0	1	0	0	0	0	1	0	0	0	2
484	496	"Coghill Lake"	53.9	-66.76667	608	"AWI"	608	729	1819	1234	5	0	54	0	1	0	48	28	0	2	0	0	0	2	1	0	0	7	92	0	3	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	623	"AWI"	623	1121	2272	1689	4	0	58	1	3	0	38	25	0	0	0	0	0	2	2	1	0	14	79	0	4	1	0	1	0	15	2	0	0	0	0	1	0	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	638	"AWI"	638	1572	2695	2138	2	0	66	1	3	0	54	15	0	0	0	0	0	3	0	0	0	10	46	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	648	"AWI"	648	1876	2971	2442	1	0	36	1	1	0	82	19	0	1	0	0	2	3	0	0	0	10	46	0	2	3	0	2	0	10	1	0	0	0	1	0	1	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	650	"AWI"	650	1932	3026	2503	3	0	33	0	1	0	56	29	1	0	1	1	0	2	1	0	0	8	46	0	0	1	0	1	0	7	0	0	1	0	0	0	0	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	665	"AWI"	665	2434	3381	2966	3	0	38	0	1	0	67	26	1	0	0	0	0	5	0	0	0	7	34	0	1	1	0	0	0	0	2	1	1	0	0	1	0	0	0	0
484	496	"Coghill Lake"	53.9	-66.76667	682	"AWI"	682	3183	3730	3461	3	0	0	0	2	0	81	19	0	1	0	0	1	5	0	0	0	12	38	0	0	2	0	0	0	10	1	1	0	0	0	0	0	0	1	0
484	496	"Coghill Lake"	53.9	-66.76667	700	"AWI"	700	3669	4331	3980	7	0	59	0	3	0	64	28	0	0	0	0	0	6	1	0	0	8	27	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1
484	496	"Coghill Lake"	53.9	-66.76667	712	"AWI"	712	3999	4634	4332	7	0	0	0	2	0	67	31	0	0	0	0	0	3	0	0	0	14	20	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
