"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
518	532	"Cub Lake"	44.7	-84.95833	1	"AWI"	1	-69	123	40	0	5	1	1	1	0	4	2	0	0	0	1	1	0	0	8	0	3	0	0	1	0	1	1	143	0	1	0	0	25	0	0	0	0	0	0	0	0	17	5	0
518	532	"Cub Lake"	44.7	-84.95833	13	"AWI"	13	-33	527	252	0	28	7	1	3	0	20	2	0	0	0	2	0	0	0	8	1	6	0	0	1	0	1	0	224	1	4	1	1	29	0	0	0	2	0	0	0	4	37	6	0
518	532	"Cub Lake"	44.7	-84.95833	19	"AWI"	19	55	626	370	0	13	5	3	2	16	29	1	0	0	0	0	0	0	0	23	6	1	0	0	2	0	1	0	215	0	2	0	0	25	0	0	0	0	0	0	0	1	33	15	0
518	532	"Cub Lake"	44.7	-84.95833	21	"AWI"	21	77	639	413	0	11	6	0	3	0	17	1	0	0	0	2	1	0	0	9	1	2	1	0	0	1	1	2	136	0	1	0	0	18	0	0	0	1	0	0	0	0	17	0	0
518	532	"Cub Lake"	44.7	-84.95833	24	"AWI"	24	83	663	480	0	15	11	1	2	2	13	2	0	0	0	0	1	0	0	28	0	1	0	0	1	0	4	0	154	2	2	0	0	21	0	0	0	0	0	0	0	1	33	13	0
518	532	"Cub Lake"	44.7	-84.95833	28	"AWI"	28	91	718	563	1	27	3	0	7	0	26	3	0	0	0	2	0	0	0	22	4	2	0	0	2	0	3	2	141	0	1	0	1	21	0	0	0	1	0	0	0	1	54	14	0
518	532	"Cub Lake"	44.7	-84.95833	33	"AWI"	33	128	778	621	0	25	4	0	1	3	18	3	0	0	0	4	1	0	0	38	1	4	1	0	0	0	3	0	91	1	0	0	0	12	0	0	0	0	0	0	0	1	51	7	0
518	532	"Cub Lake"	44.7	-84.95833	35	"AWI"	35	144	791	636	0	31	10	0	3	2	53	1	0	0	0	4	0	1	0	57	3	1	1	0	3	0	8	3	141	0	0	0	0	22	0	0	0	2	0	0	0	0	130	19	0
518	532	"Cub Lake"	44.7	-84.95833	44	"AWI"	44	181	900	702	0	23	7	2	0	2	29	3	0	0	0	3	2	0	0	39	1	3	0	0	2	1	3	1	91	0	0	0	0	23	0	0	0	0	0	0	0	0	86	9	0
518	532	"Cub Lake"	44.7	-84.95833	52	"AWI"	52	297	958	749	2	22	3	1	2	0	30	0	0	0	1	3	0	0	0	44	4	1	0	0	0	0	7	0	186	0	0	0	0	17	0	1	0	1	0	0	0	3	104	9	0
518	532	"Cub Lake"	44.7	-84.95833	61	"AWI"	61	422	1034	800	0	15	1	0	1	0	20	0	0	0	0	2	1	0	0	37	0	3	2	0	1	0	2	1	150	0	0	0	0	21	0	0	0	0	0	0	0	0	73	17	0
518	532	"Cub Lake"	44.7	-84.95833	72	"AWI"	72	519	1102	867	1	30	7	0	4	4	62	3	0	0	0	3	0	0	0	38	1	2	0	0	0	0	6	0	196	0	1	0	0	38	0	0	0	0	0	0	0	0	121	23	0
518	532	"Cub Lake"	44.7	-84.95833	81	"AWI"	81	609	1162	921	0	40	3	0	0	4	68	2	0	0	0	1	0	0	0	35	1	0	0	0	2	0	3	0	171	0	1	0	0	38	0	0	0	0	0	0	0	2	113	21	0
518	532	"Cub Lake"	44.7	-84.95833	96	"AWI"	96	750	1263	1014	0	19	4	1	2	0	26	0	0	0	0	5	0	1	0	32	5	2	0	0	0	0	8	1	129	0	0	0	1	23	0	0	0	1	0	0	0	3	98	5	0
518	532	"Cub Lake"	44.7	-84.95833	106	"AWI"	106	825	1344	1077	0	24	4	0	0	0	17	1	0	0	0	1	0	0	0	34	3	1	1	0	2	0	0	0	77	0	1	0	3	12	0	0	0	0	0	0	0	0	83	3	0
518	532	"Cub Lake"	44.7	-84.95833	116	"AWI"	116	921	1415	1138	0	25	5	2	0	0	40	3	0	0	0	3	1	5	0	64	8	3	0	0	2	0	8	1	116	0	0	0	1	31	0	0	0	1	0	0	0	2	159	2	0
