"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Malvaceae"	"Nyctaginaceae"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Ulmus"
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	29	"AWI"	29	22791	26122	24503	0	0	0	31	403	26	0	5	0	0	0	82	0	0	0	0	64	39	207	20	0	0	0	0	1	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	30	"AWI"	30	22801	26131	24516	0	0	0	11	212	0	0	1	0	0	1	0	0	1	0	0	5	35	61	8	0	0	0	0	0	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	60	"AWI"	60	23164	26413	24829	0	0	0	46	292	40	0	1	0	0	0	51	0	0	0	0	42	28	243	25	0	0	0	0	0	0	0	3	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	72	"AWI"	72	23308	26524	24960	0	0	0	14	117	0	0	1	0	0	0	0	0	0	0	0	14	40	67	7	0	0	0	0	1	0	0	2	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	76	"AWI"	76	23351	26556	25000	0	0	0	7	77	0	0	1	1	0	0	8	0	0	0	0	15	8	30	15	0	0	0	0	0	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	79	"AWI"	79	23375	26574	25031	2	0	0	26	351	49	0	2	0	0	0	51	0	0	0	0	79	29	217	29	0	1	0	0	3	0	0	4	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	84	"AWI"	84	23440	26625	25083	1	0	0	60	375	70	0	2	2	0	0	52	0	1	0	0	0	12	261	28	0	3	0	0	1	0	0	6	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	98	"AWI"	98	23615	26763	25235	0	0	0	52	383	54	0	0	0	0	1	55	0	1	0	0	55	24	237	29	0	0	0	0	1	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	105	"AWI"	105	23690	26823	25305	1	0	0	51	434	48	0	0	0	0	0	63	0	1	0	1	70	27	218	37	0	1	0	2	0	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	131	"AWI"	131	24000	27081	25588	5	0	0	14	155	0	0	1	0	0	1	0	0	0	0	0	34	0	86	25	0	0	0	0	7	1	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	132	"AWI"	132	24010	27086	25597	1	0	0	47	239	32	0	0	4	0	0	38	0	9	0	0	44	20	219	33	0	0	3	1	1	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	157	"AWI"	157	24341	27330	25864	2	0	1	34	131	34	1	1	0	0	0	31	0	2	0	0	15	3	83	7	0	3	0	0	5	0	0	6	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	176	"AWI"	176	24538	27521	26068	3	0	0	50	301	57	0	0	0	0	0	49	0	2	0	1	22	12	179	23	0	0	0	0	1	1	0	6	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	191	"AWI"	191	24718	27662	26221	1	0	0	55	275	62	0	4	0	0	0	13	0	5	0	0	32	10	173	23	0	0	0	2	2	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	226	"AWI"	226	25125	28014	26600	3	0	0	71	285	66	0	1	0	0	1	54	0	0	0	0	29	8	177	32	0	1	0	0	3	0	0	3	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	228	"AWI"	228	25140	28042	26621	2	0	0	54	188	32	0	1	0	0	0	35	0	0	0	1	16	4	69	12	0	1	0	2	1	1	1	5	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	247	"AWI"	247	25377	28226	26825	9	0	0	62	420	77	0	0	1	0	0	75	0	2	0	0	74	26	250	44	0	0	1	2	2	0	1	1	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	259	"AWI"	259	25525	28326	26951	2	2	0	71	345	97	0	2	0	15	0	67	0	0	0	0	62	19	226	34	0	1	0	0	4	0	0	7	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	284	"AWI"	284	25809	28578	27222	5	0	0	26	371	45	0	5	0	0	1	28	0	0	0	0	86	24	247	16	0	0	0	0	2	1	0	2	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	296	"AWI"	296	25954	28691	27344	0	0	0	8	161	0	0	1	0	0	2	0	0	0	0	0	18	11	115	27	0	0	1	0	0	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	305	"AWI"	305	26078	28780	27437	1	0	0	47	353	0	1	4	0	0	0	60	1	0	0	0	45	17	235	5	0	1	1	0	1	0	0	3	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	307	"AWI"	307	26104	28800	27460	6	0	0	51	233	65	0	0	0	2	2	49	0	2	0	0	51	16	195	42	0	0	0	0	5	3	1	6	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	317	"AWI"	317	26222	28889	27568	0	0	0	48	258	47	0	4	1	0	0	29	1	0	0	0	26	11	184	28	0	0	0	0	3	0	0	3	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	325	"AWI"	325	26311	28954	27654	0	0	1	31	212	36	0	4	0	0	0	23	1	0	0	0	51	19	119	7	0	0	0	0	0	0	0	3	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	328	"AWI"	328	26352	28977	27689	1	0	0	30	301	60	0	6	0	0	0	32	0	0	0	0	110	37	412	22	0	0	0	0	3	0	0	5	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	334	"AWI"	334	26425	29035	27755	0	0	0	10	157	16	0	5	0	0	0	12	0	0	0	0	20	12	220	31	0	0	1	0	0	0	0	2	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	337	"AWI"	337	26457	29067	27789	1	0	0	10	187	34	0	1	0	15	0	14	0	0	0	0	28	16	180	29	0	0	0	0	0	0	0	1	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	345	"AWI"	345	26558	29142	27872	4	0	0	20	179	28	0	3	0	0	0	6	0	0	0	0	32	16	124	12	0	0	1	0	1	0	2	1	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	356	"AWI"	356	26677	29251	27987	1	0	0	17	120	0	0	5	1	0	0	9	0	0	0	0	66	23	155	11	0	1	0	0	0	0	0	4	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	363	"AWI"	363	26757	29317	28061	3	0	0	36	385	48	0	4	0	2	0	42	0	0	0	0	67	50	228	24	0	1	0	0	0	1	0	8	2	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	366	"AWI"	366	26783	29347	28094	0	0	0	15	169	28	1	2	0	0	0	18	0	0	0	0	39	8	126	11	0	0	0	0	2	0	0	1	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	380	"AWI"	380	26962	29470	28241	1	0	0	35	259	42	0	2	0	0	0	28	0	1	0	0	57	32	222	38	0	0	0	0	1	0	1	8	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	406	"AWI"	406	27278	29727	28514	5	0	0	59	484	81	0	6	8	1	0	29	0	1	0	0	63	36	279	30	0	0	0	0	0	0	0	11	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	422	"AWI"	422	27464	29881	28678	3	0	0	62	384	63	0	9	0	0	1	42	0	0	0	0	62	28	133	30	0	1	0	0	2	0	0	7	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	433	"AWI"	433	27598	29977	28800	2	0	0	28	421	52	0	1	1	2	1	34	0	2	0	0	80	27	230	48	0	1	0	0	0	0	1	0	2	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	464	"AWI"	464	28003	30267	29126	1	0	0	13	177	0	0	6	3	0	0	0	0	0	0	0	49	12	68	15	0	0	1	1	0	0	0	0	0	0
