"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
661	679	"Demont Lake"	43.48	-85	10	"AWI"	10	-85	110	10	0	3	1	0	0	7	0	0	0	12	0	0	0	2	0	2	0	2	2	3	0	7	7	0	2	0	0	4
661	679	"Demont Lake"	43.48	-85	29	"AWI"	29	-46	326	123	0	0	0	3	0	28	4	1	0	1	0	0	1	2	0	1	0	0	4	19	0	4	9	3	2	0	0	0
661	679	"Demont Lake"	43.48	-85	42	"AWI"	42	-32	491	200	0	4	8	5	4	31	19	4	0	3	4	0	11	5	0	0	0	7	7	37	4	8	18	4	4	0	4	5
661	679	"Demont Lake"	43.48	-85	60	"AWI"	60	-15	714	308	2	5	6	0	1	0	4	4	0	13	0	2	19	7	3	3	0	4	36	92	0	4	49	0	2	0	10	5
661	679	"Demont Lake"	43.48	-85	65	"AWI"	65	22	761	343	0	6	1	4	3	4	13	2	0	3	0	0	6	6	1	2	0	5	8	81	0	5	44	0	0	0	0	6
661	679	"Demont Lake"	43.48	-85	70	"AWI"	70	104	786	387	0	7	1	0	1	10	16	1	0	4	0	0	14	7	0	0	0	2	14	65	0	7	53	0	3	0	2	13
661	679	"Demont Lake"	43.48	-85	75	"AWI"	75	173	808	428	0	5	2	2	3	0	7	1	0	5	0	0	6	6	0	2	0	7	3	61	0	5	64	0	0	1	0	10
661	679	"Demont Lake"	43.48	-85	80	"AWI"	80	237	839	470	0	11	5	0	1	6	13	1	0	15	0	0	11	5	0	0	0	5	11	104	0	5	81	0	3	0	5	10
661	679	"Demont Lake"	43.48	-85	85	"AWI"	85	285	866	513	0	7	1	1	1	5	8	0	0	6	0	0	9	1	0	2	0	8	3	70	0	3	60	0	0	0	1	6
661	679	"Demont Lake"	43.48	-85	90	"AWI"	90	319	907	557	0	4	3	2	1	2	8	1	0	5	0	0	5	3	0	0	0	7	4	83	0	1	69	0	2	0	1	12
661	679	"Demont Lake"	43.48	-85	95	"AWI"	95	352	966	600	0	2	0	1	3	0	8	0	0	40	0	0	5	2	0	10	0	0	3	23	0	31	5	0	1	0	2	6
661	679	"Demont Lake"	43.48	-85	100	"AWI"	100	378	1035	645	0	7	4	2	0	2	3	3	0	7	0	0	7	10	1	1	0	6	1	52	0	3	67	0	1	0	0	10
661	679	"Demont Lake"	43.48	-85	105	"AWI"	105	406	1091	689	0	11	4	2	1	3	6	0	0	7	0	0	13	8	1	0	0	4	1	80	0	7	53	0	4	2	0	10
661	679	"Demont Lake"	43.48	-85	110	"AWI"	110	430	1169	731	0	3	0	2	0	0	8	1	0	7	0	0	6	6	0	1	0	5	0	89	0	2	51	0	1	0	1	6
661	679	"Demont Lake"	43.48	-85	115	"AWI"	115	454	1254	775	0	10	0	1	0	0	13	3	0	5	0	0	11	13	0	2	0	6	6	155	0	3	68	0	3	0	0	9
661	679	"Demont Lake"	43.48	-85	120	"AWI"	120	471	1338	817	0	0	4	0	0	14	8	2	0	7	0	0	10	8	0	0	0	0	0	78	0	3	66	0	3	2	0	10
661	679	"Demont Lake"	43.48	-85	125	"AWI"	125	494	1425	860	0	5	0	2	1	0	5	2	0	8	0	0	9	12	0	0	0	3	0	72	0	1	66	0	1	1	0	16
661	679	"Demont Lake"	43.48	-85	130	"AWI"	130	557	1500	938	0	6	1	1	1	0	6	1	0	4	0	0	10	2	0	1	0	8	6	87	0	1	50	0	0	0	0	14
661	679	"Demont Lake"	43.48	-85	135	"AWI"	135	617	1589	1028	0	9	1	0	1	5	4	0	0	16	0	0	11	6	0	6	0	2	9	19	0	15	25	0	0	0	5	7
661	679	"Demont Lake"	43.48	-85	140	"AWI"	140	659	1700	1115	0	5	3	0	0	3	7	3	0	4	0	0	7	8	3	0	0	7	0	68	0	4	70	0	1	0	0	11
661	679	"Demont Lake"	43.48	-85	145	"AWI"	145	684	1813	1200	0	10	3	0	0	3	11	0	0	2	0	0	14	4	1	0	0	8	3	47	0	0	75	0	0	1	0	21
661	679	"Demont Lake"	43.48	-85	150	"AWI"	150	711	1963	1281	0	8	2	1	0	0	8	7	0	6	0	0	8	11	3	0	0	7	0	56	0	7	75	0	0	1	0	8
661	679	"Demont Lake"	43.48	-85	180	"AWI"	180	849	2996	1742	0	16	2	0	0	0	17	0	0	0	0	0	7	23	0	0	0	3	0	61	0	0	51	0	1	0	0	9
661	679	"Demont Lake"	43.48	-85	195	"AWI"	195	1002	3369	1973	0	3	1	1	0	3	9	6	0	8	0	0	8	4	0	2	0	2	1	80	0	10	45	0	0	1	1	10
661	679	"Demont Lake"	43.48	-85	210	"AWI"	210	1268	3463	2236	0	12	1	0	0	0	6	7	0	0	0	0	15	14	0	0	0	3	2	83	0	1	49	0	0	0	0	17
661	679	"Demont Lake"	43.48	-85	225	"AWI"	225	1438	3589	2512	0	11	5	2	1	4	9	3	0	0	1	0	29	6	0	2	0	3	0	47	0	3	46	0	1	0	1	28
661	679	"Demont Lake"	43.48	-85	240	"AWI"	240	1556	3794	2780	0	16	0	1	0	0	8	5	0	0	0	0	43	1	0	0	0	4	5	55	0	0	52	0	2	1	0	21
661	679	"Demont Lake"	43.48	-85	255	"AWI"	255	1727	4065	3014	0	12	3	0	0	4	8	3	0	7	0	0	34	10	2	2	0	13	0	60	0	8	115	0	5	3	0	25
661	679	"Demont Lake"	43.48	-85	285	"AWI"	285	2657	4182	3485	0	18	2	2	2	0	7	1	0	0	1	0	52	11	3	0	0	7	0	42	0	0	44	0	0	3	0	24
661	679	"Demont Lake"	43.48	-85	300	"AWI"	300	2967	4282	3748	0	10	0	2	3	0	4	0	2	0	0	0	32	9	0	0	0	7	0	49	0	0	68	0	3	3	0	13
