"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
671	691	"Lac du Diable"	48.91083	-66.125	130	"AWI"	130	11637	12866	12251	0	0	16	1	18	3	0	245	2	1	0	1	0	0	46	7	2	0	0	2	0	9	0	0	0	0	6	0	0	50	58	0	2	0	20	37	0	0	0	8	0	1	0	0	0	3	3	0
671	691	"Lac du Diable"	48.91083	-66.125	140	"AWI"	140	11854	13338	12524	0	0	58	0	54	12	0	293	0	0	0	1	0	0	63	7	1	1	0	3	0	18	0	0	0	0	9	0	1	0	88	0	12	0	0	20	0	0	3	46	0	0	0	1	0	2	1	0
671	691	"Lac du Diable"	48.91083	-66.125	145	"AWI"	145	11964	13501	12657	0	0	0	0	4	0	0	47	0	0	0	0	0	0	16	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0
671	691	"Lac du Diable"	48.91083	-66.125	152	"AWI"	152	12081	13805	12846	0	0	0	0	20	5	0	154	0	0	0	0	0	0	26	1	0	0	0	0	0	7	0	0	0	0	1	0	0	0	30	0	5	0	0	2	0	0	5	13	0	0	0	1	0	0	0	0
671	691	"Lac du Diable"	48.91083	-66.125	160	"AWI"	160	12237	14115	13063	0	0	7	0	8	12	0	104	0	0	1	0	0	0	25	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	55	0	7	0	0	4	1	0	0	11	0	1	0	0	0	1	0	0
671	691	"Lac du Diable"	48.91083	-66.125	180	"AWI"	180	12660	14907	13615	0	0	45	1	30	9	0	63	0	0	0	4	0	0	102	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	126	0	20	0	0	4	0	0	1	5	0	0	0	7	0	0	4	0
671	691	"Lac du Diable"	48.91083	-66.125	195	"AWI"	195	12996	15336	14029	0	0	0	0	15	9	0	39	0	0	0	0	0	0	61	0	0	0	0	0	0	6	0	0	0	0	1	0	0	36	83	0	21	0	0	4	0	0	0	1	0	0	0	0	0	1	3	0
671	691	"Lac du Diable"	48.91083	-66.125	215	"AWI"	215	13417	16040	14575	0	0	0	0	35	11	0	30	0	0	1	2	0	0	59	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	75	0	15	0	0	7	0	0	2	28	0	1	0	0	0	0	4	0
671	691	"Lac du Diable"	48.91083	-66.125	230	"AWI"	230	13738	16535	14988	0	0	0	0	2	5	1	11	0	0	0	0	0	0	32	1	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	12	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0
671	691	"Lac du Diable"	48.91083	-66.125	0	"AWI"	0	-147	28	-65	16	0	47	0	2	2	0	215	0	0	0	0	0	1	3	0	1	0	4	0	0	47	0	0	1	0	0	0	1	162	56	0	3	0	0	4	0	0	2	0	0	0	0	0	0	4	5	0
671	691	"Lac du Diable"	48.91083	-66.125	5	"AWI"	5	-36	959	339	4	0	20	1	1	0	0	199	0	0	1	0	1	1	3	0	2	0	0	0	0	42	1	3	1	0	0	0	0	89	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	1	3	0
671	691	"Lac du Diable"	48.91083	-66.125	10	"AWI"	10	15	1976	739	32	0	20	1	1	0	0	191	0	0	0	0	1	1	5	0	1	0	0	0	1	59	0	0	2	0	1	0	6	217	62	0	2	0	0	7	0	0	0	1	0	0	0	0	0	5	6	0
671	691	"Lac du Diable"	48.91083	-66.125	15	"AWI"	15	352	2173	1260	39	0	18	0	0	2	0	160	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	48	0	1	0	0	12	0	0	0	0	0	0	0	0	0	12	3	0
671	691	"Lac du Diable"	48.91083	-66.125	20	"AWI"	20	541	2561	1768	18	0	25	1	1	0	0	173	0	0	0	0	1	1	3	0	1	0	2	0	0	50	1	0	3	0	0	0	4	174	41	0	3	0	0	8	0	0	0	0	0	0	0	0	1	2	6	0
