"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liquidambar"	"Morus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Pyrus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
757	776	"Eagle Lake Bog"	44.16667	-71.66667	0	"AWI"	0	-144	23	-64	12	0	1	2	1	0	145	2	1	0	2	2	6	0	0	37	8	0	0	12	7	0	0	0	1	0	4	21	29	2	9	0	0	18	0	3	1	0	0	0	20	4	0	0	1
757	776	"Eagle Lake Bog"	44.16667	-71.66667	15	"AWI"	15	83	1312	532	14	0	3	0	0	0	155	1	5	0	3	0	1	0	1	37	6	0	0	15	1	0	0	0	0	1	4	19	0	2	1	0	0	14	0	1	1	0	0	0	33	0	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	27	"AWI"	27	369	1918	1065	24	0	5	1	0	2	135	0	3	1	5	0	6	0	0	51	6	0	0	14	9	0	0	0	0	1	7	15	0	0	0	0	0	18	0	2	0	2	0	1	33	2	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	30	"AWI"	30	427	2104	1200	9	0	8	0	0	3	155	0	1	0	4	0	6	0	1	38	8	0	0	20	17	0	0	0	0	0	2	18	0	0	0	0	0	26	0	0	1	0	0	0	31	8	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	52	"AWI"	52	1376	2809	2167	9	0	3	0	0	0	146	1	0	0	2	1	3	0	0	50	12	0	0	3	1	0	0	0	0	0	4	14	0	0	0	0	0	15	0	0	1	0	0	0	31	4	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	77	"AWI"	77	2324	3609	3018	5	0	6	0	0	2	141	0	2	0	3	0	0	0	0	97	11	0	0	13	1	0	0	0	0	1	5	2	0	1	1	0	0	28	0	0	0	0	0	1	33	6	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	102	"AWI"	102	2822	4453	3611	5	0	4	0	0	0	174	0	0	0	4	0	7	0	0	43	11	0	0	19	30	0	0	0	0	0	1	0	0	0	0	0	0	26	0	0	0	0	0	0	26	9	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	127	"AWI"	127	3343	5175	4230	3	0	3	0	1	2	151	0	0	0	2	0	4	0	1	36	4	0	0	8	63	0	1	0	0	0	1	4	0	0	1	0	0	26	0	0	0	0	1	0	45	10	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	142	"AWI"	142	3669	5560	4585	7	0	8	0	0	0	160	0	1	0	0	0	6	0	0	39	7	0	0	3	74	0	0	0	0	0	3	1	0	0	1	0	0	14	2	0	1	0	0	0	37	8	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	152	"AWI"	152	3882	5825	4834	4	0	10	0	0	0	142	0	1	0	2	0	1	0	0	22	0	0	0	16	121	0	0	1	0	0	4	5	0	1	0	0	0	28	0	0	0	1	0	1	48	9	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	167	"AWI"	167	4220	6178	5206	7	0	6	1	1	0	136	2	1	0	2	0	4	0	0	29	7	0	1	17	123	0	0	0	0	0	1	4	46	2	1	0	0	20	0	0	0	1	0	1	68	7	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	177	"AWI"	177	4472	6429	5455	4	0	18	0	1	6	129	1	2	0	4	0	1	0	1	15	11	0	0	15	301	0	0	0	0	1	2	0	0	0	1	0	1	27	9	0	0	0	0	1	51	4	0	1	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	192	"AWI"	192	4813	6784	5832	5	0	13	0	0	0	114	0	0	0	1	0	2	0	0	13	7	0	0	10	310	0	0	0	0	0	3	2	92	0	1	0	0	101	0	0	1	1	0	1	52	4	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	202	"AWI"	202	5064	7001	6075	6	0	19	1	0	0	119	0	0	0	8	0	2	0	0	9	0	0	2	16	292	0	0	0	0	1	13	5	94	1	1	0	0	40	0	0	1	0	1	1	41	6	0	1	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	217	"AWI"	217	5445	7364	6447	9	0	19	0	0	0	80	0	0	0	2	0	5	0	1	15	11	0	0	5	120	0	0	0	0	0	3	1	0	1	2	0	0	43	2	0	0	0	1	1	70	10	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	227	"AWI"	227	5723	7577	6704	7	0	21	1	0	0	82	0	0	0	0	0	3	0	0	8	4	0	0	9	89	0	0	0	0	3	7	4	93	0	0	0	1	35	0	0	0	0	0	0	50	9	0	1	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	252	"AWI"	252	6403	8093	7313	2	0	14	0	0	0	81	0	1	0	2	0	2	0	0	3	5	0	0	18	68	0	0	0	0	1	9	1	93	1	3	0	0	47	6	0	0	0	0	1	37	6	0	0	0
757	776	"Eagle Lake Bog"	44.16667	-71.66667	277	"AWI"	277	7165	8553	7929	7	0	19	2	0	3	70	1	0	0	5	2	1	0	0	9	5	0	0	8	114	0	0	0	0	0	4	1	141	0	4	0	0	41	0	0	0	3	0	2	14	4	0	0	0
