"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
763	782	"East Baltic Bog"	46.40833	-62.15	0	"AWI"	0	-111	55	-24	18	3	19	3	2	11	47	0	0	1	0	42	10	0	1	0	1	0	1	0	2	84	25	44	0	4	0	18	1	0	2	1	3
763	782	"East Baltic Bog"	46.40833	-62.15	10	"AWI"	10	-51	402	87	17	2	26	1	2	0	49	0	0	1	1	63	24	1	3	3	0	1	1	3	3	77	19	78	0	4	0	34	0	1	0	2	0
763	782	"East Baltic Bog"	46.40833	-62.15	20	"AWI"	20	13	621	224	11	2	14	0	0	13	105	0	0	0	0	147	23	0	18	0	0	0	0	3	6	24	15	117	1	6	0	54	1	1	8	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	40	"AWI"	40	177	1013	498	35	1	6	0	0	0	82	0	0	0	0	10	21	0	17	2	0	0	0	1	3	28	14	2	1	11	0	4	0	0	10	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	60	"AWI"	60	364	1319	772	16	3	3	0	0	0	93	1	0	0	1	8	3	0	43	1	0	0	0	1	0	21	20	0	0	6	0	0	0	0	12	1	0
763	782	"East Baltic Bog"	46.40833	-62.15	80	"AWI"	80	564	1664	1050	18	0	3	0	0	0	97	0	1	0	0	8	32	0	28	1	0	0	0	1	4	20	25	0	0	11	0	0	0	0	8	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	100	"AWI"	100	791	1958	1330	17	0	3	0	0	4	99	0	0	0	0	6	21	0	30	0	0	0	1	0	4	23	15	2	0	15	0	3	0	0	6	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	120	"AWI"	120	1020	2256	1602	25	2	1	0	1	0	94	0	0	0	0	0	9	0	44	1	0	0	0	0	3	9	17	0	0	10	0	0	0	0	7	1	0
763	782	"East Baltic Bog"	46.40833	-62.15	140	"AWI"	140	1265	2544	1877	5	1	2	0	0	0	111	0	0	0	0	2	5	0	18	0	1	0	0	0	0	16	15	0	2	29	0	1	0	0	14	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	160	"AWI"	160	1521	2816	2156	13	2	0	0	0	0	88	0	0	0	0	0	24	0	15	1	0	0	1	0	3	19	19	0	1	35	0	0	0	0	9	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	180	"AWI"	180	1781	3080	2429	7	1	2	0	0	0	125	0	0	0	0	0	10	0	17	0	0	0	0	0	2	10	10	0	0	16	0	0	0	0	10	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	200	"AWI"	200	2072	3343	2696	23	2	2	0	0	0	109	0	0	0	0	2	13	0	9	1	0	0	0	2	2	20	5	0	0	23	0	0	0	0	10	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	220	"AWI"	220	2337	3590	2970	10	1	4	0	0	0	128	0	0	0	0	0	16	0	20	0	0	0	0	0	4	12	20	0	0	14	0	0	0	0	6	2	1
763	782	"East Baltic Bog"	46.40833	-62.15	240	"AWI"	240	2642	3839	3243	5	1	3	0	1	0	154	0	0	0	0	0	9	0	2	0	0	0	0	0	3	14	7	0	0	13	0	0	0	0	9	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	260	"AWI"	260	2933	4063	3522	4	2	1	0	1	0	150	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	25	0	0	7	0	0	0	0	7	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	280	"AWI"	280	3232	4273	3794	4	1	3	0	0	0	154	0	0	0	0	0	9	0	1	0	0	0	0	0	1	4	25	0	0	8	0	0	0	0	5	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	300	"AWI"	300	3548	4495	4068	8	0	5	0	1	0	151	0	0	0	0	1	10	0	1	1	0	0	0	0	1	2	21	0	0	12	0	0	0	0	6	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	320	"AWI"	320	3919	4684	4327	1	2	0	0	0	0	120	0	0	0	0	1	17	0	1	0	0	0	0	0	1	5	59	0	0	16	0	0	0	0	3	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	340	"AWI"	340	4328	4873	4585	10	0	2	0	0	0	93	0	0	0	0	0	32	0	0	1	0	0	0	0	3	17	71	0	0	13	0	0	0	0	4	0	0
763	782	"East Baltic Bog"	46.40833	-62.15	360	"AWI"	360	4595	5523	4983	6	2	3	0	0	0	96	0	0	0	0	0	22	0	1	0	0	0	0	1	3	9	41	0	0	19	0	0	0	0	35	0	1
763	782	"East Baltic Bog"	46.40833	-62.15	380	"AWI"	380	4875	6042	5393	1	0	4	0	1	0	87	0	0	0	0	4	5	0	0	1	1	0	0	0	0	7	34	1	0	20	0	0	0	0	60	1	1
