"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Leitneria"	"Liliaceae"	"Liquidambar"	"Magnolia"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
940	969	"Goshen Springs"	31.72111	-86.13417	40	"AWI"	40	-145	23	-56	0	0	13	4	0	0	0	0	1	0	13	0	0	0	0	1	0	0	6	0	0	0	0	0	40	0	0	1	1	0	6	0	0	10	22	5	7	0	0	63	0	14	0	0	68	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	45	"AWI"	45	-74	339	63	0	0	6	1	1	2	0	1	0	0	14	0	2	0	2	0	0	0	19	0	0	1	0	0	25	0	0	0	2	0	5	5	0	5	4	8	6	0	0	34	1	27	0	0	57	0	1	0	0	2	0	7	0	0	0	0	2	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	50	"AWI"	50	-14	579	189	0	0	1	2	0	0	0	1	0	0	5	0	0	0	2	0	1	0	10	4	0	1	0	1	11	0	0	0	3	0	7	7	0	5	2	1	0	0	214	0	1	0	0	0	60	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	55	"AWI"	55	34	750	321	0	0	4	2	1	0	0	1	0	0	4	0	0	0	0	0	0	1	23	0	0	1	0	0	23	0	0	0	0	0	7	5	0	6	5	13	4	0	198	1	0	11	0	1	63	0	1	0	0	1	0	5	0	0	1	0	2	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	60	"AWI"	60	121	867	458	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	1	0	0	19	0	0	0	0	0	4	11	0	0	2	0	3	0	217	1	0	0	0	0	60	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	65	"AWI"	65	243	982	587	0	0	0	0	1	0	0	0	0	0	3	0	5	0	1	0	0	0	1	0	0	2	0	0	17	0	0	0	0	0	4	8	0	2	0	10	3	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	75	"AWI"	75	475	1182	860	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	4	0	0	1	0	0	18	1	0	0	0	0	1	46	0	1	2	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	85	"AWI"	85	801	1374	1123	0	0	2	1	0	0	0	0	0	0	9	0	1	0	0	0	1	0	8	0	0	4	0	0	32	0	0	0	2	0	6	26	0	0	2	0	1	0	0	0	0	0	0	2	72	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	95	"AWI"	95	1216	1913	1473	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	1	10	0	0	3	0	0	26	1	0	0	0	0	5	17	0	3	0	2	4	0	0	0	0	0	0	0	65	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
940	969	"Goshen Springs"	31.72111	-86.13417	105	"AWI"	105	1458	2995	2035	0	0	0	0	0	2	0	2	0	0	4	0	3	0	0	1	0	0	7	0	0	0	0	0	23	0	0	0	0	0	5	17	0	3	1	0	1	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
