"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
943	973	"Graham Lake"	45.18333	-77.35	868	"AWI"	868	-145	26	-54	31	38	66	8	0	2	102	267	0	0	0	1	0	0	14	7	0	0	1	49	22	2	8	0	3	0	17	2	0	14	21	210	3	18	0	0	29	3	0	0	8	11	2	0	0	3	48	30	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	872	"AWI"	872	-89	214	30	18	19	0	0	0	3	0	251	0	2	1	1	0	0	9	11	0	0	1	50	0	1	22	0	0	0	1	0	0	26	0	351	3	17	0	1	23	0	0	0	26	10	1	0	0	2	67	10	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	876	"AWI"	876	-68	460	110	14	38	36	0	0	2	0	296	0	3	0	0	0	0	7	4	0	0	0	27	13	1	23	1	6	0	36	8	0	24	0	366	1	0	0	2	13	3	0	0	16	0	0	0	0	1	58	11	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	880	"AWI"	880	-19	618	198	10	25	0	0	0	4	0	267	0	1	1	3	1	0	10	0	0	0	0	26	0	1	10	0	7	0	2	1	0	16	0	452	7	0	0	1	38	1	0	0	8	4	0	0	0	2	95	12	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	884	"AWI"	884	26	711	297	16	40	0	0	0	6	0	196	0	8	0	2	4	0	4	14	0	0	0	24	16	0	1	0	4	0	0	0	0	26	0	340	0	0	0	6	44	0	0	0	4	18	10	0	4	2	96	26	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	888	"AWI"	888	57	885	388	13	31	26	1	1	2	0	197	0	4	0	0	0	0	4	2	0	0	0	50	12	0	20	0	8	0	0	7	0	11	0	255	2	0	0	0	41	1	0	0	7	0	0	0	0	0	269	19	0	0	1
943	973	"Graham Lake"	45.18333	-77.35	892	"AWI"	892	146	959	494	16	42	0	1	0	1	0	192	1	2	0	1	1	0	8	3	0	0	0	63	14	0	4	0	1	0	1	0	0	26	0	268	3	0	0	0	34	7	0	0	2	10	2	0	0	4	223	25	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	896	"AWI"	896	203	1087	601	10	36	0	0	0	4	0	224	1	0	0	1	0	0	2	8	0	0	0	87	22	2	10	0	2	0	1	1	0	24	0	251	2	0	0	2	43	2	0	0	6	3	0	0	0	6	185	47	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	898	"AWI"	898	225	1178	650	12	45	0	0	0	4	0	197	0	0	0	0	0	0	4	4	0	0	0	104	20	1	2	0	9	1	8	4	0	13	0	212	5	0	0	1	24	11	0	0	5	0	1	0	0	3	252	18	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	902	"AWI"	902	337	1220	743	9	28	0	2	0	3	0	219	0	2	0	1	0	0	3	9	0	0	0	96	8	0	8	0	4	0	2	0	0	16	11	238	4	0	0	4	32	1	0	0	8	4	1	0	0	0	255	23	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	904	"AWI"	904	374	1248	792	5	51	0	0	0	4	0	146	0	5	0	0	0	0	7	2	0	0	0	101	8	1	5	0	5	0	4	4	0	7	0	180	4	0	0	2	16	1	0	0	7	0	0	0	0	3	370	21	0	0	0
