"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
952	982	"Green Lake"	44.88333	-85.11667	10	"AWI"	10	57	893	344	0	47	9	2	4	0	124	8	0	0	3	0	0	0	0	83	8	13	3	0	23	1	34	1	7	49	0	2	0	0	16	31	58
952	982	"Green Lake"	44.88333	-85.11667	15	"AWI"	15	160	1193	543	0	36	4	0	2	0	123	7	0	0	1	0	0	0	0	72	8	5	2	0	10	1	70	2	3	45	0	0	0	0	4	39	73
952	982	"Green Lake"	44.88333	-85.11667	20	"AWI"	20	275	1453	746	0	31	5	1	5	0	170	2	0	2	1	2	0	0	0	52	6	6	1	0	21	2	35	1	5	67	0	1	0	0	11	23	64
952	982	"Green Lake"	44.88333	-85.11667	25	"AWI"	25	406	1683	949	0	32	8	3	3	0	125	5	0	0	1	0	0	0	0	64	17	7	2	0	20	1	53	3	10	54	2	0	0	0	3	52	66
952	982	"Green Lake"	44.88333	-85.11667	30	"AWI"	30	565	1873	1157	2	46	5	2	1	4	96	3	0	0	2	0	0	0	0	57	11	8	0	0	11	4	42	5	11	34	2	0	1	0	4	98	57
952	982	"Green Lake"	44.88333	-85.11667	35	"AWI"	35	738	2062	1370	0	40	10	1	3	4	150	5	0	0	5	0	0	0	0	89	6	8	1	0	19	0	26	4	1	43	0	2	0	0	6	59	67
952	982	"Green Lake"	44.88333	-85.11667	40	"AWI"	40	925	2251	1580	0	39	2	1	4	7	130	6	3	0	2	2	0	0	0	92	8	8	0	0	30	2	46	3	7	34	0	1	0	0	2	52	54
952	982	"Green Lake"	44.88333	-85.11667	45	"AWI"	45	1093	2445	1783	0	44	5	3	4	0	77	5	0	0	1	2	0	0	0	89	8	5	3	0	6	2	66	0	5	38	1	0	0	1	0	101	67
952	982	"Green Lake"	44.88333	-85.11667	50	"AWI"	50	1273	2617	1991	0	36	12	0	8	4	126	3	0	2	2	0	0	0	0	83	11	8	2	0	20	0	37	1	4	41	1	1	0	0	4	58	61
952	982	"Green Lake"	44.88333	-85.11667	55	"AWI"	55	1514	2773	2198	1	25	13	2	4	6	100	2	0	0	1	1	0	0	0	99	7	9	2	0	13	1	31	4	3	45	1	0	0	0	3	58	87
952	982	"Green Lake"	44.88333	-85.11667	60	"AWI"	60	1744	2930	2403	0	26	7	1	1	0	107	5	0	2	4	0	0	0	0	148	7	7	0	0	26	1	42	1	6	49	0	2	0	0	1	39	59
952	982	"Green Lake"	44.88333	-85.11667	65	"AWI"	65	1989	3076	2616	2	37	17	0	1	0	147	4	0	0	10	1	0	0	0	64	7	4	3	0	31	0	59	3	4	46	1	0	0	0	4	32	64
952	982	"Green Lake"	44.88333	-85.11667	70	"AWI"	70	2228	3201	2821	0	35	3	1	3	0	50	3	0	0	3	4	0	0	0	102	10	3	0	0	18	1	99	4	3	62	1	1	0	1	3	71	49
952	982	"Green Lake"	44.88333	-85.11667	75	"AWI"	75	2607	3287	3006	1	22	7	1	3	0	77	2	0	0	5	2	0	0	0	136	6	5	1	0	7	3	83	1	5	61	2	1	0	0	8	49	39
952	982	"Green Lake"	44.88333	-85.11667	80	"AWI"	80	2972	3434	3221	0	34	11	2	3	7	142	2	0	0	2	1	0	0	0	82	6	5	2	1	22	3	54	2	6	50	1	0	0	0	1	27	38
952	982	"Green Lake"	44.88333	-85.11667	90	"AWI"	90	3262	4597	3704	0	18	10	2	7	7	46	6	0	0	1	2	0	0	0	101	8	9	1	0	24	2	119	7	2	94	1	0	1	0	3	11	33
952	982	"Green Lake"	44.88333	-85.11667	95	"AWI"	95	3394	5021	3994	0	19	15	2	4	9	39	3	0	0	2	1	0	0	0	34	6	4	4	0	31	2	173	4	3	107	1	4	1	0	5	25	44
952	982	"Green Lake"	44.88333	-85.11667	100	"AWI"	100	3580	5403	4274	0	16	5	3	3	10	37	2	1	0	2	0	0	0	1	13	5	5	0	0	18	4	154	3	1	131	0	0	1	0	2	70	32
952	982	"Green Lake"	44.88333	-85.11667	105	"AWI"	105	3766	5764	4552	1	18	8	8	6	12	12	3	0	0	3	0	0	0	0	8	7	4	1	0	18	2	250	7	0	97	3	0	0	0	1	20	39
