"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
970	1001	"Hail Lake"	60.03333	-129.01667	3	"AWI"	3	-112	135	-6	7.40740740740741	0	0	0	0	0	0	70.3703703703704	0	0	0	0	11.1111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7037037037037	0	0	0	0	0	0	0	0	7.40740740740741	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	12.5	"AWI"	12.5	-60	681	176	8.33333333333333	0	0	0	0	0	0	70.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6666666666667	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	22.5	"AWI"	22.5	50	1108.5	411	7.40740740740741	0	0	0	0	0	0	70.3703703703704	0	0	0	0	0	0	0	0	0	0	0	0	3.7037037037037	0	0	3.7037037037037	3.7037037037037	0	0	0	3.7037037037037	0	0	0	0	0	0	0	0	7.40740740740741	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	32	"AWI"	32	149	1456	673	0	0	0	0	0	4.54545454545455	0	86.3636363636364	0	0	0	0	2.27272727272727	0	0	0	0	0	2.27272727272727	0	0	0	0	2.27272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27272727272727	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	40	"AWI"	40	286	1692	874	2.94117647058824	0	0	0	0	0	0	79.4117647058823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94117647058824	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	51	"AWI"	51	420	1960	1158	6.81818181818182	0	0	0	0	0	0	63.6363636363636	0	0	0	0	6.81818181818182	0	0	0	0	0	4.54545454545455	0	0	0	0	4.54545454545455	0	0	0	0	2.27272727272727	0	0	0	0	0	0	0	0	11.3636363636364	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	59	"AWI"	59	636	2118	1343	9.61538461538462	0	0	0	0	1.92307692307692	0	67.3076923076923	0	0	0	0	7.69230769230769	0	0	0	0	0	0	0	0	0	0	3.84615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	9.61538461538462	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	69	"AWI"	69	799	2341	1583	1.58730158730159	0	0	0	0	1.58730158730159	0	63.4920634920635	0	0	0	0	1.58730158730159	0	0	0	0	0	4.76190476190476	0	7.93650793650794	0	0	4.76190476190476	0	0	0	0	6.34920634920635	0	0	0	0	0	0	0	0	6.34920634920635	1.58730158730159	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	77	"AWI"	77	1006	2464	1774	2.4390243902439	0	0	0	0	2.4390243902439	0	70.7317073170732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75609756097561	2.4390243902439	0	0	0	0	0	0	0	0	0	0	0	0	12.1951219512195	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	85	"AWI"	85	1138	2592	1969	5.55555555555556	0	0	0	0	3.7037037037037	0	68.5185185185185	0	0	0	0	1.85185185185185	0	0	0	0	0	1.85185185185185	0	3.7037037037037	0	0	3.7037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1111111111111	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	93	"AWI"	93	1364	2722	2165	5.66037735849057	0	0	0	0	0	0	66.0377358490566	0	0	0	0	1.88679245283019	0	0	0	0	0	0	0	1.88679245283019	0	0	11.3207547169811	0	0	0	0	5.66037735849057	0	0	0	0	0	0	0	0	7.54716981132075	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	101	"AWI"	101	1584	2841	2368	3.92156862745098	0	0	0	0	0	0	64.7058823529412	0	0	0	0	7.84313725490196	0	0	0	0	0	0	0	1.96078431372549	0	0	11.7647058823529	0	0	0	0	3.92156862745098	0	0	0	0	0	0	0	0	5.88235294117647	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	109	"AWI"	109	1892	2970	2556	0	0	0	0	0	0	0	67.741935483871	0	0	0	0	3.2258064516129	0	0	0	0	0	0	0	3.2258064516129	0	0	9.67741935483871	0	0	0	0	3.2258064516129	0	0	0	0	0	0	0	0	12.9032258064516	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	117	"AWI"	117	2346	3034	2722	2.7027027027027	0	0	0	0	2.7027027027027	1.35135135135135	64.8648648648649	0	0	0	0	2.7027027027027	0	0	0	0	0	2.7027027027027	0	1.35135135135135	0	0	13.5135135135135	0	0	0	0	0	0	0	0	0	0	0	0	0	8.10810810810811	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	125	"AWI"	125	2687	3155	2919	3.03030303030303	0	0	0	0	3.03030303030303	0	75.7575757575758	0	0	0	0	0	0	0	0	0	0	0	0	3.03030303030303	0	0	15.1515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	126	"AWI"	126	2739	3173	2948	2.32558139534884	0	0	0	0	0	0	76.7441860465116	0	0	0	0	0	0	0	0	0	0	2.32558139534884	0	4.65116279069767	0	0	9.30232558139535	2.32558139534884	0	0	0	0	0	0	0	0	0	0	0	0	2.32558139534884	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	130	"AWI"	130	2884	3306	3073	1.5625	0	0	0	0	3.125	0	65.625	0	0	0	0	4.6875	0	0	0	0	0	1.5625	0	6.25	0	0	7.8125	0	0	0	0	6.25	0	0	0	0	0	0	0	0	3.125	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	138	"AWI"	138	2969	3838	3300	2.12765957446809	0	0	0	0	4.25531914893617	0	72.3404255319149	0	0	0	0	2.12765957446809	0	0	0	2.12765957446809	0	0	0	0	0	0	2.12765957446809	2.12765957446809	0	0	0	0	0	0	0	0	0	0	0	0	12.7659574468085	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	146	"AWI"	146	3116	4212	3570	0	0	0	0	0	0	0	59.0909090909091	0	0	0	0	4.54545454545455	0	0	0	0	0	0	0	0	0	0	22.7272727272727	0	0	0	0	4.54545454545455	0	0	0	0	0	0	0	0	9.09090909090909	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	158	"AWI"	158	3248	4857	3987	9.52380952380952	0	0	0	0	9.52380952380952	0	71.4285714285714	0	0	0	0	0	0	0	0	0	0	4.76190476190476	0	0	0	0	4.76190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	166	"AWI"	166	3518	5012	4254	1.75438596491228	0	0	0	0	0	1.75438596491228	78.9473684210526	0	0	0	0	1.75438596491228	0	0	0	0	0	1.75438596491228	0	0	0	0	3.50877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5263157894737	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	174	"AWI"	174	3630	5229	4536	4.54545454545455	0	0	0	0	4.54545454545455	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	31.8181818181818	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	182	"AWI"	182	4041	5385	4803	0	0	0	0	0	0	0	77.3584905660377	0	0	0	0	0	0	0	0	0	0	1.88679245283019	0	1.88679245283019	0	1.88679245283019	5.66037735849057	0	0	0	0	1.88679245283019	0	0	0	0	0	0	0	1.88679245283019	5.66037735849057	0	0	0	0	1.88679245283019	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	190	"AWI"	190	4373	5501	5099	3.03030303030303	0	0	0	0	3.03030303030303	0	63.6363636363636	0	0	0	0	3.03030303030303	0	0	0	0	0	0	0	6.06060606060606	0	0	12.1212121212121	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06060606060606	0	0	0	0	0	0	0	3.03030303030303
970	1001	"Hail Lake"	60.03333	-129.01667	198	"AWI"	198	4906	5644	5364	3.57142857142857	0	0	0	0	0	0	64.2857142857143	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714	0	0	7.14285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8571428571429	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	206	"AWI"	206	5397	5867	5623	6.25	0	0	0	0	4.16666666666667	0	66.6666666666667	0	0	0	0	2.08333333333333	0	0	0	0	0	0	0	6.25	0	0	6.25	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	214	"AWI"	214	5564	6381	5859	1.96078431372549	0	0	0	0	0	0	78.4313725490196	0	0	0	0	0	0	0	0	0	0	1.96078431372549	0	7.84313725490196	0	0	3.92156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88235294117647	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	218	"AWI"	218	5626	6461	5980	2.5	0	0	0	0	0	7.5	56.25	0	0	0	0	2.5	0	0	0	0	0	2.5	0	11.25	0	0	1.25	0	0	0	0	5	0	0	0	0	0	0	0	0	11.25	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	222	"AWI"	222	5671	6621	6090	0	0	0	0	0	2.38095238095238	0	70.2380952380952	0	0	0	0	2.38095238095238	0	0	0	0	0	0	0	17.8571428571429	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	0	0	0	0	4.76190476190476	0	0	0	1.19047619047619	0	0	0	0
