"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	10	"AWI"	10	671	822	746	0	0	6.76156583629893	6.04982206405694	0	3.55871886120996	3.55871886120996	4.62633451957295	0	74.7330960854093	0.711743772241993	0	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	20	"AWI"	20	1475	1617	1548	0	3.30578512396694	6.61157024793388	19.0082644628099	0	6.61157024793388	13.2231404958678	12.396694214876	0	34.7107438016529	2.47933884297521	1.65289256198347	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	30	"AWI"	30	2278	2415	2350	0	1.40845070422535	11.2676056338028	16.9014084507042	0	2.8169014084507	1.40845070422535	21.1267605633803	0	42.2535211267606	0	1.40845070422535	1.40845070422535
1628	1683	"Lynch's Crater"	-17.3667	145.6881	40	"AWI"	40	3078	3221	3152	0	0	9.83606557377049	27.8688524590164	0	4.91803278688525	4.91803278688525	27.8688524590164	0	1.63934426229508	0	22.9508196721311	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	50	"AWI"	50	3875	4033	3955	0	0	11.3636363636364	18.1818181818182	0	4.54545454545455	11.3636363636364	38.6363636363636	0	0	0	15.9090909090909	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	60	"AWI"	60	4669	4850	4757	0	0	9.09090909090909	40	0	5.45454545454545	14.5454545454545	27.2727272727273	0	0	1.81818181818182	1.81818181818182	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	70	"AWI"	70	5462	5666	5559	0	0	24.7648902821317	1.56739811912226	0	2.19435736677116	7.52351097178683	0.626959247648903	0	61.128526645768	1.88087774294671	0.313479623824451	0
1628	1683	"Lynch's Crater"	-17.3667	145.6881	80	"AWI"	80	6251	6483	6359	0.606060606060606	0	34.5454545454545	0.606060606060606	0	2.42424242424242	41.2121212121212	6.06060606060606	0	13.9393939393939	0	0	0.606060606060606
1628	1683	"Lynch's Crater"	-17.3667	145.6881	100	"AWI"	100	7827	8119	7961	0	0	6.37342908438061	0.0897666068222621	0	0.0897666068222621	5.83482944344704	0	0	87.5224416517056	0	0	0.0897666068222621
1628	1683	"Lynch's Crater"	-17.3667	145.6881	125	"AWI"	125	9924	10543	10217	0	0	56.9148936170213	0	0	0	22.3404255319149	0	0	20.7446808510638	0	0	0
