"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
263	269	"Banks Island 74MS15"	73.53333	-120.21667	2.5	"AWI"	2.5	-89	316	54.5	0	4.76190476190476	0	3.80952380952381	3.17460317460317	0	19.047619047619	0	1.58730158730159	1.9047619047619	0.634920634920635	25.3968253968254	11.1111111111111	17.4603174603175	7.93650793650794	3.17460317460317
263	269	"Banks Island 74MS15"	73.53333	-120.21667	7.5	"AWI"	7.5	-46.5	1045.5	290.5	1.03806228373702	7.26643598615917	0	5.19031141868512	3.80622837370242	1.03806228373702	23.5294117647059	0	2.42214532871972	2.42214532871972	1.03806228373702	32.8719723183391	8.30449826989619	0	5.88235294117647	5.19031141868512
263	269	"Banks Island 74MS15"	73.53333	-120.21667	12.5	"AWI"	12.5	78.5	1516	558.5	0	6.06060606060606	0	4.24242424242424	2.12121212121212	2.12121212121212	42.4242424242424	0	0.909090909090909	7.27272727272727	0.303030303030303	25.4545454545455	2.12121212121212	0	1.51515151515152	5.45454545454545
263	269	"Banks Island 74MS15"	73.53333	-120.21667	17.5	"AWI"	17.5	194.5	1856	853.5	0	5.6379821958457	0	3.56083086053412	1.48367952522255	0.890207715133531	40.3560830860534	0	1.48367952522255	6.23145400593472	1.18694362017804	28.7833827893175	2.67062314540059	0	2.67062314540059	5.04451038575668
263	269	"Banks Island 74MS15"	73.53333	-120.21667	21	"AWI"	21	305	2138	1048	0	3.41614906832298	3.72670807453416	5.59006211180124	1.86335403726708	0	26.0869565217391	1.86335403726708	0.93167701863354	1.86335403726708	3.72670807453416	46.583850931677	0	0	2.17391304347826	2.17391304347826
263	269	"Banks Island 74MS15"	73.53333	-120.21667	25	"AWI"	25	471	2303	1284	0	3.15457413249211	2.8391167192429	5.99369085173502	1.57728706624606	0	31.2302839116719	0.946372239747634	1.57728706624606	4.10094637223975	2.8391167192429	41.0094637223975	0	0	2.8391167192429	1.89274447949527
263	269	"Banks Island 74MS15"	73.53333	-120.21667	30	"AWI"	30	597	2598	1592	0	5.16129032258065	1.93548387096774	7.74193548387097	1.93548387096774	0	34.8387096774194	0	0.645161290322581	5.80645161290323	0.32258064516129	36.7741935483871	0	0	4.19354838709677	0.645161290322581
263	269	"Banks Island 74MS15"	73.53333	-120.21667	35	"AWI"	35	909	2748	1886	0	3.52564102564103	2.24358974358974	7.37179487179487	1.6025641025641	0	32.0512820512821	0	1.6025641025641	6.08974358974359	0.641025641025641	36.8589743589744	2.56410256410256	0	3.84615384615385	1.6025641025641
263	269	"Banks Island 74MS15"	73.53333	-120.21667	40	"AWI"	40	1098	3007	2182	0	5.11945392491468	0	6.14334470989761	2.04778156996587	0	40.9556313993174	0	1.02389078498294	4.09556313993174	0	27.9863481228669	4.77815699658703	0	5.46075085324232	2.38907849829352
263	269	"Banks Island 74MS15"	73.53333	-120.21667	45	"AWI"	45	1583	3129	2476	0	4.52961672473868	0	6.96864111498258	1.74216027874564	0	41.1149825783972	0	0.348432055749129	4.8780487804878	0.348432055749129	29.616724738676	4.18118466898955	0	2.78745644599303	3.48432055749129
