"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cercocarpus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Ulmus"
520	534	"Cub Lake"	44.125	-111.18333	0	"AWI"	0	-148	28	-64	0	0	0.323624595469256	0.647249190938511	0	4.53074433656958	0	0	0	0	17.7993527508091	0	0	0	0	0.323624595469256	0	0.323624595469256	0.323624595469256	0	0	75.0809061488673	0	0	0	0	0	0.323624595469256	0	0	0	0	0.323624595469256	0	0	0
520	534	"Cub Lake"	44.125	-111.18333	10	"AWI"	10	131	5061	1864	0	0	0.16025641025641	1.76282051282051	0	8.17307692307692	0	0	0	0.32051282051282	25.3205128205128	0	0	0	0	0.32051282051282	0	0	0	0	0	54.9679487179487	0	5.60897435897436	0	0	0	2.56410256410256	0.32051282051282	0	0	0	0.16025641025641	0.32051282051282	0	0
520	534	"Cub Lake"	44.125	-111.18333	20	"AWI"	20	1042	6798	4105	0.155038759689922	0	0.62015503875969	1.70542635658915	0.155038759689922	12.4031007751938	1.08527131782946	0	0	0	13.0232558139535	0	0	0	0	0	0	0	0.930232558139535	0	0.155038759689922	63.7209302325581	0	3.72093023255814	0	0	0	1.70542635658915	0	0	0	0	0.155038759689922	0.155038759689922	0.310077519379845	0
520	534	"Cub Lake"	44.125	-111.18333	30	"AWI"	30	2813	8159	6251	0	0	0	2.5531914893617	0.425531914893617	11.7021276595745	1.27659574468085	0	0	0	7.87234042553191	0	0	0	0	0.212765957446809	0	0	1.70212765957447	0	0.212765957446809	68.0851063829787	0	3.19148936170213	0	0	0	1.48936170212766	0.425531914893617	0	0	0	0.425531914893617	0.212765957446809	0.212765957446809	0
520	534	"Cub Lake"	44.125	-111.18333	40	"AWI"	40	6919	8752	8157	0	0	0.155763239875389	4.20560747663551	0	18.380062305296	0	0	0	0	10.1246105919003	0	0	0	0	0	0	0	0.155763239875389	0	0.155763239875389	59.6573208722741	0	1.55763239875389	0	0	0	4.82866043613707	0	0	0	0	0	0.778816199376947	0	0
520	534	"Cub Lake"	44.125	-111.18333	50	"AWI"	50	8498	9351	8867	0	0	0	3.9647577092511	0.293685756240822	8.66372980910426	0	0	0	0.293685756240822	28.4875183553598	0	0	0	0	0.293685756240822	0	0	0.293685756240822	0	0.440528634361234	32.0117474302496	0	24.3759177679883	0	0	0	0	0	0	0	0	0.293685756240822	0.587371512481645	0	0
520	534	"Cub Lake"	44.125	-111.18333	100	"AWI"	100	9598	11390	10489	0.324149108589951	0	0	1.62074554294976	0	7.29335494327391	0	0	0	0	41.3290113452188	0	0	0	0	0.324149108589951	0	0	0	0	0.162074554294976	31.9286871961102	0	16.6936790923825	0	0	0	0.162074554294976	0	0	0	0	0	0.162074554294976	0	0
520	534	"Cub Lake"	44.125	-111.18333	110	"AWI"	110	9912	11692	10817	0.538599640933573	0	0.359066427289048	0.897666068222621	0	14.1831238779174	0	0	0.179533213644524	0	37.8815080789946	0	0	0	0	0.897666068222621	0.179533213644524	0	0	0	1.43626570915619	29.2639138240575	0	10.7719928186715	0	0	0	0.179533213644524	0.359066427289048	0	0	1.79533213644524	0.897666068222621	0.179533213644524	0	0
520	534	"Cub Lake"	44.125	-111.18333	120	"AWI"	120	10237	11937	11149	0.263852242744063	0	0.263852242744063	4.74934036939314	0	27.1767810026385	4.22163588390501	0.263852242744063	0	0	11.8733509234828	0	0	0	0	7.12401055408971	0	0	0.79155672823219	0	1.58311345646438	27.7044854881267	0	6.59630606860158	0	0	0	0	0.527704485488127	0	0	2.11081794195251	3.43007915567282	1.31926121372032	0	0
520	534	"Cub Lake"	44.125	-111.18333	130	"AWI"	130	10564	12204	11501	0	0	0.185528756957328	1.11317254174397	0.185528756957328	26.7161410018553	0	0	0.185528756957328	0	40.2597402597403	0	0	0	0	0.371057513914657	0	0	0.556586270871985	0	2.5974025974026	21.5213358070501	0	4.26716141001855	0	0	0	0	0	0	0.371057513914657	0.556586270871985	0.371057513914657	0.556586270871985	0.185528756957328	0
520	534	"Cub Lake"	44.125	-111.18333	140	"AWI"	140	10940	12420	11823	0.416666666666667	0	0	1.25	0	18.3333333333333	1.25	0	0	0	55.2083333333333	0	0	0	0	1.66666666666667	0	0	0.625	0	2.5	14.5833333333333	0	3.125	0	0	0	0	0	0	0	0.208333333333333	0.416666666666667	0.416666666666667	0	0
520	534	"Cub Lake"	44.125	-111.18333	150	"AWI"	150	11359	12596	12151	0	0	0.169779286926995	1.35823429541596	0	17.4872665534805	0	1.01867572156197	0	0	68.9303904923599	0	0	0	0	0	0	0	1.35823429541596	0	0.509337860780985	3.3955857385399	0	4.24448217317487	0	0	0	0	0	0	0	0.848896434634975	0.169779286926995	0.509337860780985	0	0
520	534	"Cub Lake"	44.125	-111.18333	160	"AWI"	160	11906	12757	12483	0.241545893719807	0	0	2.41545893719807	0.241545893719807	26.5700483091787	0	2.41545893719807	0	0	29.7101449275362	0	0	0	0	0.966183574879227	1.93236714975845	0.241545893719807	4.34782608695652	0	0.966183574879227	14.4927536231884	0	12.8019323671498	0	0	0	0	0	0	0	0.72463768115942	1.69082125603865	0.241545893719807	0	0
520	534	"Cub Lake"	44.125	-111.18333	170	"AWI"	170	12158	13415	12771	0	0	0.32258064516129	4.51612903225806	0.32258064516129	45.4838709677419	0	1.61290322580645	0	0	10	0	0	0	0.32258064516129	0.645161290322581	1.61290322580645	0	1.29032258064516	0	0.967741935483871	16.4516129032258	0	10	0	0	0	0	0.645161290322581	0	0.32258064516129	1.93548387096774	0.967741935483871	2.58064516129032	0	0
520	534	"Cub Lake"	44.125	-111.18333	180	"AWI"	180	12357	14012	13070	0	0	0.315457413249211	1.89274447949527	0.315457413249211	55.5205047318612	0	2.20820189274448	0	0	6.30914826498423	0	0	0	0	0.315457413249211	1.26182965299685	0	0.946372239747634	0	0.630914826498423	12.9337539432177	0	10.410094637224	0	0	0	0	0.315457413249211	0	0	2.52365930599369	0.946372239747634	2.8391167192429	0	0.315457413249211
520	534	"Cub Lake"	44.125	-111.18333	200	"AWI"	200	12804	14999	13721	0	0	0.588235294117647	2.64705882352941	0.294117647058824	50.5882352941176	3.23529411764706	0.294117647058824	0	0	6.47058823529412	0	0	0	0	1.17647058823529	1.17647058823529	0	2.05882352941176	0	0.588235294117647	15	0	10.5882352941176	0	0	0	0	0	0	0.294117647058824	1.47058823529412	2.05882352941176	1.47058823529412	0	0
520	534	"Cub Lake"	44.125	-111.18333	210	"AWI"	210	13056	15467	14035	0	0	0	2.42424242424242	0	39.0909090909091	5.45454545454545	0.909090909090909	0	0	11.5151515151515	0	0	0	0	0.303030303030303	0	0	4.54545454545455	0	0.606060606060606	13.9393939393939	0	13.030303030303	0	0	0	0	0.303030303030303	0.606060606060606	2.42424242424242	0.606060606060606	3.63636363636364	0.606060606060606	0	0
520	534	"Cub Lake"	44.125	-111.18333	220	"AWI"	220	13270	15898	14372	0.328947368421053	0	0	1.64473684210526	0.328947368421053	31.9078947368421	0	0	0.328947368421053	0.328947368421053	13.4868421052632	0	0	0	0	1.64473684210526	0	0	6.90789473684211	0	0.657894736842105	9.86842105263158	0	22.0394736842105	0.328947368421053	0	0	0	0	0	0.328947368421053	1.64473684210526	6.90789473684211	1.31578947368421	0	0
520	534	"Cub Lake"	44.125	-111.18333	230	"AWI"	230	13496	16340	14676	0	0	0	3.44827586206897	0.344827586206897	33.448275862069	0	0.344827586206897	0.344827586206897	0	13.1034482758621	0	0	0	0	0.689655172413793	0	0	6.89655172413793	0	0.689655172413793	8.96551724137931	0	23.448275862069	0	0	0	0	1.03448275862069	0	1.72413793103448	0.344827586206897	3.44827586206897	1.37931034482759	0.344827586206897	0
520	534	"Cub Lake"	44.125	-111.18333	240	"AWI"	240	13710	16771	15016	0	0	0	0.677966101694915	0.338983050847458	40	0	0.677966101694915	0	0.677966101694915	14.5762711864407	0	0	0	0	1.01694915254237	0	0	2.3728813559322	0	0.677966101694915	16.6101694915254	0	15.5932203389831	0	0	0	0	0.677966101694915	0	1.35593220338983	0	3.72881355932203	1.01694915254237	0	0
520	534	"Cub Lake"	44.125	-111.18333	250	"AWI"	250	13981	17179	15349	0	0	0	1.9774011299435	0	41.5254237288136	0	0	0	0.282485875706215	15.2542372881356	0.282485875706215	0	0	0	0.282485875706215	0	0	2.54237288135593	0	1.41242937853107	19.2090395480226	0.282485875706215	11.2994350282486	0	0	0	0	0.282485875706215	0	1.41242937853107	0	2.54237288135593	0.847457627118644	0.564971751412429	0
520	534	"Cub Lake"	44.125	-111.18333	260	"AWI"	260	14259	17598	15674	0	0	0.314465408805031	0.943396226415094	0	46.8553459119497	0	0	0.628930817610063	0	15.4088050314465	0	0	0	0	0	0	0	1.88679245283019	0	0.628930817610063	17.9245283018868	0	13.2075471698113	0.314465408805031	0	0	0	0.314465408805031	0	0	0	1.25786163522013	0.314465408805031	0	0
520	534	"Cub Lake"	44.125	-111.18333	270	"AWI"	270	14498	17987	16003	0	0	0	1.91693290734824	0	40.5750798722045	4.15335463258786	0	0	0	12.4600638977636	0	0	0	0	1.2779552715655	0	0.319488817891374	0.638977635782748	0	0.638977635782748	16.6134185303514	0	19.8083067092652	0	0	0	0	0	0	0	0	1.2779552715655	0.319488817891374	0	0
