"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Cleomaceae"	"Cupressaceae"	"Cyperaceae"	"Fabaceae"	"Geraniaceae"	"Lamiaceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	0	"AWI"	0	-128	29	-48	54.8161120840631	0	2.62697022767075	11.5586690017513	1.75131348511384	0.525394045534151	0.175131348511384	1.75131348511384	0.350262697022767	0	4.2031523642732	8.40630472854641	0.350262697022767	11.2084063047285	2.27670753064799
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	10	"AWI"	10	-93	83	-10	48.0672268907563	0	4.36974789915966	17.6470588235294	0.672268907563025	0.504201680672269	0.168067226890756	0.336134453781513	0.336134453781513	0	1.51260504201681	11.0924369747899	0.504201680672269	10.5882352941176	4.20168067226891
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	20	"AWI"	20	-74	166	25	7.60233918128655	1.46198830409357	2.04678362573099	58.4795321637427	1.16959064327485	0.87719298245614	0.292397660818713	0.584795321637427	3.50877192982456	0	3.21637426900585	8.7719298245614	2.33918128654971	7.01754385964912	2.63157894736842
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	30	"AWI"	30	-60	263	59	37.5711574952562	1.70777988614801	1.89753320683112	25.2371916508539	1.70777988614801	0.379506641366224	0.189753320683112	0.379506641366224	0.759013282732448	0.189753320683112	5.69259962049336	6.83111954459203	1.13851992409867	11.5749525616698	4.7438330170778
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	40	"AWI"	40	-32	333	98	9.77443609022556	5.26315789473684	4.13533834586466	56.390977443609	2.25563909774436	0	0	0.75187969924812	5.26315789473684	0	5.26315789473684	4.13533834586466	0.37593984962406	2.63157894736842	3.7593984962406
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	50	"AWI"	50	2	370	145	2.82485875706215	2.82485875706215	4.23728813559322	64.9717514124294	1.69491525423729	0	0	0.847457627118644	3.38983050847458	0	3.38983050847458	2.25988700564972	5.93220338983051	4.23728813559322	3.38983050847458
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	60	"AWI"	60	23	422	190	16.4179104477612	0.426439232409382	7.67590618336887	41.1513859275053	3.41151385927505	0	0.213219616204691	4.05117270788913	1.91897654584222	0	4.47761194029851	8.52878464818763	2.77185501066098	3.62473347547974	5.33049040511727
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	80	"AWI"	80	87	547	276	10.0864553314121	0	11.8155619596542	40.0576368876081	2.59365994236311	0	0.288184438040346	2.01729106628242	0.576368876080692	0.288184438040346	4.32276657060519	13.8328530259366	3.1700288184438	7.78097982708934	3.1700288184438
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	100	"AWI"	100	145	686	372	14.7368421052632	0	4.42105263157895	36.6315789473684	0.842105263157895	0	0.631578947368421	3.15789473684211	0	1.05263157894737	4.84210526315789	24.4210526315789	1.05263157894737	5.89473684210526	2.31578947368421
8	8	"Abalone Rocks Marsh"	33.95639	-119.97667	120	"AWI"	120	266	828	472	20.8430913348946	0.234192037470726	1.17096018735363	54.3325526932084	0.936768149882904	0	0.936768149882904	1.63934426229508	0	0.468384074941452	6.08899297423888	4.91803278688525	0.936768149882904	6.3231850117096	1.17096018735363
