NeotomaTaxonName,MHVar.2
Abies,Abies
Abies alba,Abies
Abies undiff.,Abies
Acacia,Acacia
Acanthus,Acanthaceae
Acer,Acer
Acer-type,Acer
Acer campestre,Acer
Acer campestre-type,Acer
Acer cf. A. campestre,Acer
Acer negundo,Acer
Acer platanoides,Acer
Acer undiff.,Acer
Achillea,Compositae subfam. Asteroideae
Achillea-type,Compositae subfam. Asteroideae
Aconitum,Aconitum
Aconitum-type,Aconitum
Aconitum group,Aconitum
Aconitum napellus-type,Aconitum
Actaea spicata,Actaea
Adenostyles,Compositae subfam. Asteroideae
Adonis,Adonis
Adonis-type,Adonis
Adonis aestivalis,Adonis
Adonis aestivalis-type,Adonis
Adonis annua-type,Adonis
Adoxa,Adoxa moschatellina
Adoxa moschatellina,Adoxa moschatellina
Aegopodium podagraria,Apiaceae
Aesculus,Aesculus
Aesculus hippocastanum,Aesculus
Aethusa-type,Apiaceae
Aethusa cynapium,Apiaceae
Aethusa cynapium-type,Apiaceae
Agrimonia,Agrimonia/Aremonia
Agrimonia-type,Agrimonia/Aremonia
Agrimonia eupatoria,Agrimonia/Aremonia
Agrimonia eupatoria-type,Agrimonia/Aremonia
Agropyron-type,Poaceae
Agrostemma,Caryophyllaceae (periporate excl. Paronychioideae)
Agrostemma-type,Caryophyllaceae (periporate excl. Paronychioideae)
Agrostemma githago,Caryophyllaceae (periporate excl. Paronychioideae)
Ailanthus,Apiaceae
Alchemilla,Alchemilla/Aphanes
Alchemilla-type,Alchemilla/Aphanes
Alchemilla cf. A. glabra,Alchemilla/Aphanes
Alchemilla group,Alchemilla/Aphanes
Alchemilla pentaphyllea-type,Alchemilla/Aphanes
Alchemilla/Aphanes,Alchemilla/Aphanes
Alkanna,Alkanna-type
Allium,Liliaceae-type
Allium-type,Liliaceae-type
Allium ursinum-type,Liliaceae-type
Allium vineale-type,Liliaceae-type
Alnus,Alnus
Alnus cf. A. viridis,Alnus
Alnus glutinosa,Alnus
Alnus glutinosa-type,Alnus
Alnus glutinosa/A. incana,Alnus
Alnus incana,Alnus
Alnus undiff.,Alnus
Alnus viridis,Alnus
Alnus viridis-type,Alnus
Amaranthaceae,Chenopodiaceae/Amaranthaceae
Amaranthaceae-type,Chenopodiaceae/Amaranthaceae
Ambrosia,Ambrosia/Xanthium
Ambrosia-type,Ambrosia/Xanthium
Ammi,Apiaceae
Ammi-type,Apiaceae
Anagallis,Anagallis-type
Anagallis-type,Anagallis-type
Anagallis arvensis,Anagallis-type
Anagallis arvensis-type,Anagallis-type
Anagallis tenella,Anagallis-type
Anagallis tenella-type,Anagallis-type
Anarrhinum,Anarrhinum bellidifolium
Anchusa,Anchusa arvensis-type
Anchusa-type,Boraginaceae
Anchusa azurea,Boraginaceae
Anchusa azurea-type,Boraginaceae
Anchusa/Pulmonaria,Boraginaceae
Andromeda,Ericales (tetrads)
Andromeda polifolia,Ericales (tetrads)
Andropogon,Poaceae
Androsace,Androsace
Androsace-type,Androsace
Androsace alpina-type,Androsace
Androsace elongata-type,Androsace
Anemone,Ranunculus-type
Anemone-type,Ranunculus-type
Anemone alpina,Ranunculus-type
Anemone montana,Ranunculus-type
Anemone nemorosa,Ranunculus-type
Anemone nemorosa-type,Ranunculus-type
Anemone nemorosa/A. ranunculoides,Ranunculus-type
Anemone pulsatilla group,Ranunculus-type
Anemone sect. Hepatica,Hepatica
Anemone sect. Hepatica-type,Hepatica
Anemone sect. Pulsatilla,Ranunculus-type
Anemone sect. Pulsatilla-type,Ranunculus-type
Anemone subg. Anemone-type,Ranunculus-type
Anethum-type,Apiaceae
Anethum graveolens,Apiaceae
Angelica,Apiaceae
Angelica-type,Apiaceae
Angelica archangelica-type,Apiaceae
Angelica palustris,Apiaceae
Angelica palustris-type,Apiaceae
Angelica sylvestris,Apiaceae
Antennaria-type,Compositae subfam. Asteroideae
Anthemis,Compositae subfam. Asteroideae
Anthemis-type,Compositae subfam. Asteroideae
Anthemis-type (small),Compositae subfam. Asteroideae
Anthericum,Liliaceae-type
Anthericum-type,Liliaceae-type
Anthriscus,Apiaceae
Anthriscus caucalis,Apiaceae
Anthriscus cerefolium,Apiaceae
Anthriscus nitida/sylvestris,Apiaceae
Anthriscus sylvestris,Apiaceae
Anthriscus sylvestris-type,Apiaceae
Anthyllis,Anthyllis
Anthyllis-type,Anthyllis
Anthyllis vulneraria,Anthyllis
Aphanes,Alchemilla/Aphanes
Aphanes-type,Alchemilla/Aphanes
Aphanes arvensis-type,Alchemilla/Aphanes
Apiaceae,Apiaceae
Apiaceae (type 2),Apiaceae
Apiaceae undiff.,Apiaceae
Apium,Apiaceae
Apium-type,Apiaceae
Apium graveolens,Apiaceae
Apium inundatum-type,Apiaceae
Apium nodiflorum,Apiaceae
Aquilegia,Caltha-type
Aquilegia-type,Caltha-type
Araliaceae undiff.,Araliaceae
Arbutus,Ericales (tetrads)
Arbutus unedo,Ericales (tetrads)
Arceuthobium,Arceuthobium oxycedri
Arceuthobium oxycedri,Arceuthobium oxycedri
Arctium,Cynareae
Arctium-type,Cynareae
Arctium lappa,Cynareae
Arctium lappa-type,Cynareae
Arctium/Jurinea,Cynareae
Arctostaphylos,Ericales (tetrads)
Arctostaphylos uva-ursi,Ericales (tetrads)
Arctostaphylos uva-ursi-type,Ericales (tetrads)
Arctous alpina,Ericales (tetrads)
Arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria-type,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria serpyllifolia-type,Caryophyllaceae (periporate excl. Paronychioideae)
Armeria,Plumbaginaceae
Armeria-type,Plumbaginaceae
Armeria (type A),Plumbaginaceae
Armeria (type B),Plumbaginaceae
Armeria alliacea,Plumbaginaceae
Armeria maritima,Plumbaginaceae
Armeria maritima-type,Plumbaginaceae
Armeria maritima (type A),Plumbaginaceae
Armeria maritima (type B),Plumbaginaceae
Armeria maritima subsp. elongata,Plumbaginaceae
Armeria/Limonium,Plumbaginaceae
Arnica,Compositae subfam. Asteroideae
Arnica-type,Compositae subfam. Asteroideae
Arnica montana,Compositae subfam. Asteroideae
Artemisia,Artemisia
Artemisia-type,Artemisia
Artemisia (type B),Artemisia
Artemisia campestris-type,Artemisia
Artemisia cf. A. norvegica,Artemisia
Artemisia herba-alba,Artemisia
Artemisia herba-alba-type,Artemisia
Artemisia norvegica,Artemisia
Artemisia norvegica-type,Artemisia
Artemisia sensu lato,Artemisia
Artemisia sensu stricto,Artemisia
Artemisia undiff.,Artemisia
Artemisia vulgaris-type,Artemisia
Aruncus,Aruncus/Spiraea
Aruncus-type,Aruncus/Spiraea
Aruncus dioicus,Aruncus/Spiraea
Asarum europaeum,Aristolochiaceae
Asparagus,Liliaceae-type
Asparagus-type,Liliaceae-type
Asparagus acutifolius,Liliaceae-type
Asperula-type,Rubiaceae
Asphodeline,Liliaceae-type
Asphodelus,Liliaceae-type
Asphodelus-type,Liliaceae-type
Asphodelus albus,Liliaceae-type
Asphodelus albus-type,Liliaceae-type
Asphodelus fistulosus,Liliaceae-type
Asphodelus fistulosus-type,Liliaceae-type
Aster,Compositae subfam. Asteroideae
Aster-type,Compositae subfam. Asteroideae
Aster/Achillea,Compositae subfam. Asteroideae
Aster/Achillea-type,Compositae subfam. Asteroideae
Asteraceae,Asteraceae
Asteraceae undiff.,Asteraceae
Astragalus,Astragalus-type
Astragalus-type,Astragalus-type
Astragalus alpinus,Astragalus-type
Astragalus alpinus-type,Astragalus-type
Astragalus cf. A. alpinus,Astragalus-type
Astragalus cf. A. glycyphyllos,Astragalus-type
Astragalus danicus-type,Astragalus-type
Astragalus depressus,Astragalus-type
Astragalus frigidus,Astragalus-type
Astragalus/Oxytropis-type,Astragalus-type
Astrantia,Apiaceae
Astrantia-type,Apiaceae
Astrantia major,Apiaceae
Astrantia major-type,Apiaceae
Athamanta cretensis,Apiaceae
Atractylis,Compositae subfam. Asteroideae
Atriplex,Chenopodiaceae/Amaranthaceae
Atriplex-type,Chenopodiaceae/Amaranthaceae
Atropa belladonna,Atropa-type
Avena,Poaceae
Avena-type,Poaceae
Avena sativa,Poaceae
Avena/Triticum,Poaceae
Avena/Triticum-type,Poaceae
Ballota,Galeopsis/Ballota-type
Ballota-type,Galeopsis/Ballota-type
Ballota group,Galeopsis/Ballota-type
Ballota nigra-type,Galeopsis/Ballota-type
Balsaminaceae,Impatiens
Bambusa-type,Poaceae
Barbarea-type,Brassicaceae
