"cluster.id" "x" "y"
"23978" "clust.2" 5.754167 45.32083
"23981" "clust.2" 5.7125 45.15417
"23970" "clust.2" 6.129167 45.87917
"23970.1" "clust.2" 6.129167 45.87917
"23978.1" "clust.2" 5.754167 45.32083
"23970.2" "clust.2" 6.129167 45.87917
"23978.2" "clust.2" 5.754167 45.32083
"23970.3" "clust.2" 6.129167 45.87917
"23978.3" "clust.2" 5.754167 45.32083
"23978.4" "clust.2" 5.754167 45.32083
"23981.1" "clust.2" 5.7125 45.15417
"23970.4" "clust.2" 6.129167 45.87917
"23970.5" "clust.2" 6.129167 45.87917
"23970.6" "clust.2" 6.129167 45.87917
"23970.7" "clust.2" 6.129167 45.87917
"23970.8" "clust.2" 6.129167 45.87917
"23981.2" "clust.2" 5.7125 45.15417
"23978.5" "clust.2" 5.754167 45.32083
"23970.9" "clust.2" 6.129167 45.87917
"23978.6" "clust.2" 5.754167 45.32083
"23981.3" "clust.2" 5.7125 45.15417
"23978.7" "clust.2" 5.754167 45.32083
"23978.8" "clust.2" 5.754167 45.32083
"23970.10" "clust.2" 6.129167 45.87917
"23978.9" "clust.2" 5.754167 45.32083
"23981.4" "clust.2" 5.7125 45.15417
"23981.5" "clust.2" 5.7125 45.15417
"23978.10" "clust.2" 5.754167 45.32083
"23978.11" "clust.2" 5.754167 45.32083
"23978.12" "clust.2" 5.754167 45.32083
"23981.6" "clust.2" 5.7125 45.15417
"23981.7" "clust.2" 5.7125 45.15417
"23970.11" "clust.2" 6.129167 45.87917
"23969" "clust.3" 6.195833 45.8875
"23965" "clust.3" 6.170833 45.90417
"23965.1" "clust.3" 6.170833 45.90417
"23965.2" "clust.3" 6.170833 45.90417
"23965.3" "clust.3" 6.170833 45.90417
"23969.1" "clust.3" 6.195833 45.8875
"23969.2" "clust.3" 6.195833 45.8875
"23968" "clust.3" 6.1875 45.89583
"23969.3" "clust.3" 6.195833 45.8875
"23968.1" "clust.3" 6.1875 45.89583
"23966" "clust.3" 6.179167 45.90417
"23968.2" "clust.3" 6.1875 45.89583
"23968.3" "clust.3" 6.1875 45.89583
"23966.1" "clust.3" 6.179167 45.90417
"23965.4" "clust.3" 6.170833 45.90417
"23969.4" "clust.3" 6.195833 45.8875
"23969.5" "clust.3" 6.195833 45.8875
"23967" "clust.3" 6.1875 45.90417
"23968.4" "clust.3" 6.1875 45.89583
"23966.2" "clust.3" 6.179167 45.90417
"23968.5" "clust.3" 6.1875 45.89583
"23965.5" "clust.3" 6.170833 45.90417
"23966.3" "clust.3" 6.179167 45.90417
"23968.6" "clust.3" 6.1875 45.89583
"23968.7" "clust.3" 6.1875 45.89583
"23966.4" "clust.3" 6.179167 45.90417
"23969.6" "clust.3" 6.195833 45.8875
"23968.8" "clust.3" 6.1875 45.89583
"23965.6" "clust.3" 6.170833 45.90417
"23966.5" "clust.3" 6.179167 45.90417
"23966.6" "clust.3" 6.179167 45.90417
"23968.9" "clust.3" 6.1875 45.89583
"23969.7" "clust.3" 6.195833 45.8875
"23965.7" "clust.3" 6.170833 45.90417
"23968.10" "clust.3" 6.1875 45.89583
"23969.8" "clust.3" 6.195833 45.8875
"23967.1" "clust.3" 6.1875 45.90417
"23969.9" "clust.3" 6.195833 45.8875
"23967.2" "clust.3" 6.1875 45.90417
"23965.8" "clust.3" 6.170833 45.90417
"23967.3" "clust.3" 6.1875 45.90417
"23966.7" "clust.3" 6.179167 45.90417
"23965.9" "clust.3" 6.170833 45.90417
"23968.11" "clust.3" 6.1875 45.89583
"23966.8" "clust.3" 6.179167 45.90417
"23966.9" "clust.3" 6.179167 45.90417
"23966.10" "clust.3" 6.179167 45.90417
"23969.10" "clust.3" 6.195833 45.8875
"23966.11" "clust.3" 6.179167 45.90417
"23968.12" "clust.3" 6.1875 45.89583
"23966.12" "clust.3" 6.179167 45.90417
"23967.4" "clust.3" 6.1875 45.90417
"23968.13" "clust.3" 6.1875 45.89583
"23967.5" "clust.3" 6.1875 45.90417
"23965.10" "clust.3" 6.170833 45.90417
"23965.11" "clust.3" 6.170833 45.90417
"23968.14" "clust.3" 6.1875 45.89583
"23969.11" "clust.3" 6.195833 45.8875
"23969.12" "clust.3" 6.195833 45.8875
"23966.13" "clust.3" 6.179167 45.90417
"23965.12" "clust.3" 6.170833 45.90417
"23967.6" "clust.3" 6.1875 45.90417
"23966.14" "clust.3" 6.179167 45.90417
"23967.7" "clust.3" 6.1875 45.90417
"23966.15" "clust.3" 6.179167 45.90417
"23965.13" "clust.3" 6.170833 45.90417
"23969.13" "clust.3" 6.195833 45.8875
"23966.16" "clust.3" 6.179167 45.90417
"23968.15" "clust.3" 6.1875 45.89583
"23969.14" "clust.3" 6.195833 45.8875
"23969.15" "clust.3" 6.195833 45.8875
"23967.8" "clust.3" 6.1875 45.90417
"23968.16" "clust.3" 6.1875 45.89583
"23965.14" "clust.3" 6.170833 45.90417
"23969.16" "clust.3" 6.195833 45.8875
"23968.17" "clust.3" 6.1875 45.89583
"23966.17" "clust.3" 6.179167 45.90417
"23966.18" "clust.3" 6.179167 45.90417
"23968.18" "clust.3" 6.1875 45.89583
"23969.17" "clust.3" 6.195833 45.8875
"23966.19" "clust.3" 6.179167 45.90417
"23969.18" "clust.3" 6.195833 45.8875
"23966.20" "clust.3" 6.179167 45.90417
"23966.21" "clust.3" 6.179167 45.90417
"23968.19" "clust.3" 6.1875 45.89583
"23969.19" "clust.3" 6.195833 45.8875
"23968.20" "clust.3" 6.1875 45.89583
"23967.9" "clust.3" 6.1875 45.90417
"23968.21" "clust.3" 6.1875 45.89583
"23966.22" "clust.3" 6.179167 45.90417
"23969.20" "clust.3" 6.195833 45.8875
"23967.10" "clust.3" 6.1875 45.90417
"23967.11" "clust.3" 6.1875 45.90417
"23965.15" "clust.3" 6.170833 45.90417
"23967.12" "clust.3" 6.1875 45.90417
"23969.21" "clust.3" 6.195833 45.8875
"23966.23" "clust.3" 6.179167 45.90417
"23968.22" "clust.3" 6.1875 45.89583
"23969.22" "clust.3" 6.195833 45.8875
"23969.23" "clust.3" 6.195833 45.8875
"23899" "clust.4" 7.3625 47.25417
"23899.1" "clust.4" 7.3625 47.25417
"23899.2" "clust.4" 7.3625 47.25417
"23899.3" "clust.4" 7.3625 47.25417
"23899.4" "clust.4" 7.3625 47.25417
"23899.5" "clust.4" 7.3625 47.25417
"23899.6" "clust.4" 7.3625 47.25417
"23899.7" "clust.4" 7.3625 47.25417
"23899.8" "clust.4" 7.3625 47.25417
"23899.9" "clust.4" 7.3625 47.25417
"23899.10" "clust.4" 7.3625 47.25417
"23899.11" "clust.4" 7.3625 47.25417
"23899.12" "clust.4" 7.3625 47.25417
"23899.13" "clust.4" 7.3625 47.25417
"23899.14" "clust.4" 7.3625 47.25417
"23899.15" "clust.4" 7.3625 47.25417
"23899.16" "clust.4" 7.3625 47.25417
"23899.17" "clust.4" 7.3625 47.25417
"23899.18" "clust.4" 7.3625 47.25417
"23899.19" "clust.4" 7.3625 47.25417
"23899.20" "clust.4" 7.3625 47.25417
"23899.21" "clust.4" 7.3625 47.25417
"23899.22" "clust.4" 7.3625 47.25417
"23899.23" "clust.4" 7.3625 47.25417
"23899.24" "clust.4" 7.3625 47.25417
"23899.25" "clust.4" 7.3625 47.25417
"23964" "clust.5" 6.2375 45.95417
"23964.1" "clust.5" 6.2375 45.95417
"23964.2" "clust.5" 6.2375 45.95417
"23964.3" "clust.5" 6.2375 45.95417
"23964.4" "clust.5" 6.2375 45.95417
"23776" "clust.6" 16.229167 48.1875
"23781" "clust.6" 16.204167 48.12083
"23781.1" "clust.6" 16.204167 48.12083
"23776.1" "clust.6" 16.229167 48.1875
"23781.2" "clust.6" 16.204167 48.12083
"23934" "clust.6" 11.129167 46.6625
"23778" "clust.6" 16.229167 48.17917
"23818" "clust.6" 10.270833 47.6375
"23781.3" "clust.6" 16.204167 48.12083
"23781.4" "clust.6" 16.204167 48.12083
"23781.5" "clust.6" 16.204167 48.12083
"23781.6" "clust.6" 16.204167 48.12083
"23934.1" "clust.6" 11.129167 46.6625
"23776.2" "clust.6" 16.229167 48.1875
"23781.7" "clust.6" 16.204167 48.12083
"23778.1" "clust.6" 16.229167 48.17917
"23818.1" "clust.6" 10.270833 47.6375
"23776.3" "clust.6" 16.229167 48.1875
"23818.2" "clust.6" 10.270833 47.6375
"23818.3" "clust.6" 10.270833 47.6375
"23781.8" "clust.6" 16.204167 48.12083
"23818.4" "clust.6" 10.270833 47.6375
"23781.9" "clust.6" 16.204167 48.12083
"23776.4" "clust.6" 16.229167 48.1875
"23934.2" "clust.6" 11.129167 46.6625
"23778.2" "clust.6" 16.229167 48.17917
"23776.5" "clust.6" 16.229167 48.1875
"23781.10" "clust.6" 16.204167 48.12083
"23781.11" "clust.6" 16.204167 48.12083
"23934.3" "clust.6" 11.129167 46.6625
"23781.12" "clust.6" 16.204167 48.12083
"23778.3" "clust.6" 16.229167 48.17917
"23776.6" "clust.6" 16.229167 48.1875
"23781.13" "clust.6" 16.204167 48.12083
"23934.4" "clust.6" 11.129167 46.6625
"23781.14" "clust.6" 16.204167 48.12083
"23934.5" "clust.6" 11.129167 46.6625
"23934.6" "clust.6" 11.129167 46.6625
"23934.7" "clust.6" 11.129167 46.6625
"23778.4" "clust.6" 16.229167 48.17917
"23776.7" "clust.6" 16.229167 48.1875
"23776.8" "clust.6" 16.229167 48.1875
"23778.5" "clust.6" 16.229167 48.17917
"23781.15" "clust.6" 16.204167 48.12083
"23781.16" "clust.6" 16.204167 48.12083
"23818.5" "clust.6" 10.270833 47.6375
"23781.17" "clust.6" 16.204167 48.12083
"23776.9" "clust.6" 16.229167 48.1875
"23781.18" "clust.6" 16.204167 48.12083
"23778.6" "clust.6" 16.229167 48.17917
"23934.8" "clust.6" 11.129167 46.6625
"23818.6" "clust.6" 10.270833 47.6375
"23781.19" "clust.6" 16.204167 48.12083
"23781.20" "clust.6" 16.204167 48.12083
"23934.9" "clust.6" 11.129167 46.6625
"23934.10" "clust.6" 11.129167 46.6625
"23781.21" "clust.6" 16.204167 48.12083
